,mean_rank
UMass-MechBayes,12.0
COVIDhub-ensemble,13.0
SteveMcConnell-CovidComplete,13.0
JCB-PRM,13.6
YYG-ParamSearch,13.7
Karlen-pypm,13.9
OliverWyman-Navigator,15.5
CMU-TimeSeries,15.8
LNQ-ens1,16.3
USC-SI_kJalpha,16.5
LANL-GrowthRate,16.7
DDS-NBDS,17.5
Covid19Sim-Simulator,17.7
UCLA-SuEIR,17.9
Columbia_UNC-SurvCon,18.3
COVIDhub-baseline,18.6
CEID-Walk,18.8
MOBS-GLEAM_COVID,19.2
UA-EpiCovDA,19.3
MITCovAlliance-SIR,19.4
GT-DeepCOVID,19.6
IQVIA_ACOE-STAN,20.3
NotreDame-mobility,20.7
IowaStateLW-STEM,20.8
MIT_CritData-GBCF,20.9
UMich-RidgeTfReg,21.2
JHU_IDD-CovidSP,21.6
CovidAnalytics-DELPHI,22.0
Google_Harvard-CPF,22.1
CU-select,22.3
IHME-CurveFit,23.3
UCSD_NEU-DeepGLEAM,23.8
RobertWalraven-ESG,24.3
PSI-DRAFT,24.9
USACE-ERDC_SEIR,25.7
WalmartLabsML-LogForecasting,26.4
JHUAPL-Bucky,27.1
epiforecasts-ensemble1,27.5
