,actual_deaths,Baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2437,2593.9,,2535.0,2393.8,2251.3,,3023.2,2206.0,,,2438.2,2688.8,2352.0,2523.6,156.9,,98.0,-43.2,-185.7,,586.2,-231.0,,,1.2,251.8,-85.0,86.6,,True,True,False,,False,False,,,True,False,True,True
Alaska,45,37.7,,60.0,33.8,33.7,,108.3,80.0,,,35.4,45.1,27.0,45.0,-7.3,,15.0,-11.2,-11.3,,63.3,35.0,,,-9.6,0.1,-18.0,0.0,,False,False,False,,False,False,,,False,True,False,True
Arizona,5467,6405.0,,6223.0,5785.7,4966.1,,6404.5,5360.5,,,5521.9,5346.2,4897.0,5978.7,938.0,,756.0,318.7,-500.9,,937.5,-106.5,,,54.9,-120.8,-570.0,511.7,,True,True,True,,True,True,,,True,True,True,True
Arkansas,1181,1012.6,,873.0,935.2,786.9,,1095.8,971.0,,,859.6,847.9,950.0,904.3,-168.4,,-308.0,-245.8,-394.1,,-85.2,-210.0,,,-321.4,-333.1,-231.0,-276.7,,False,False,False,,True,False,,,False,False,False,False
California,15018,16122.9,,16481.0,15912.0,12866.6,,13319.2,19403.0,,,14479.2,15297.9,13631.0,15428.4,1104.9,,1463.0,894.0,-2151.4,,-1698.8,4385.0,,,-538.8,279.9,-1387.0,410.4,,False,True,False,,False,False,,,True,True,False,True
Colorado,2013,1940.0,,2022.0,2385.5,1958.8,,1991.2,2157.0,,,1928.5,2457.7,1967.0,2116.9,-73.0,,9.0,372.5,-54.2,,-21.8,144.0,,,-84.5,444.7,-46.0,103.9,,True,False,True,,True,False,,,False,False,True,False
Connecticut,4492,4493.7,,4449.0,4566.0,4466.6,,4464.1,4495.0,,,4493.2,4733.3,4466.0,4514.8,1.7,,-43.0,74.0,-25.4,,-27.9,3.0,,,1.2,241.3,-26.0,22.8,,False,False,False,,False,False,,,True,False,False,False
Delaware,621,626.1,,626.0,625.3,606.3,,832.5,615.0,,,629.1,718.3,599.0,634.3,5.1,,5.0,4.3,-14.7,,211.5,-6.0,,,8.1,97.3,-22.0,13.3,,True,True,False,,False,False,,,False,False,False,False
District of Columbia,619,620.3,,612.0,593.7,621.3,,597.8,592.0,,,625.5,734.2,615.0,625.8,1.3,,-7.0,-25.3,2.3,,-21.2,-27.0,,,6.5,115.2,-4.0,6.8,,False,False,False,,False,False,,,False,False,False,False
Florida,13287,14640.6,,12589.0,14448.0,11489.2,,15442.7,11009.5,,,12009.3,12087.1,12283.0,13765.5,1353.6,,-698.0,1161.0,-1797.8,,2155.7,-2277.5,,,-1277.7,-1199.9,-1004.0,478.5,,True,True,False,,False,False,,,True,True,True,True
