,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2437,2934.4,,2968.1,2713.3,2502.0,2204.8,,2469.1,2722.7,2347.0,3068.4,497.4,,531.1,276.3,65.0,-232.2,,32.1,285.7,-90.0,631.4,,False,True,True,True,,True,True,True,False
Alaska,45,35.7,,83.5,19.0,,64.2,,41.1,112.5,60.0,45.0,-9.3,,38.5,-26.0,,19.2,,-3.9,67.5,15.0,0.0,,False,False,,False,,True,False,False,True
Arizona,5467,7579.3,,5623.3,5348.3,6085.0,3405.3,,5767.9,5666.8,5382.0,6321.8,2112.3,,156.3,-118.7,618.0,-2061.7,,300.9,199.8,-85.0,854.8,,True,True,True,True,,True,True,True,True
Arkansas,1181,746.7,,1007.3,721.9,743.0,558.5,,635.1,796.4,667.0,764.1,-434.3,,-173.7,-459.1,-438.0,-622.5,,-545.9,-384.6,-514.0,-416.9,,True,False,False,False,,False,True,False,True
California,15018,14207.3,,16552.4,15320.4,13449.0,17012.0,,12978.7,15398.0,12312.0,14395.2,-810.7,,1534.4,302.4,-1569.0,1994.0,,-2039.3,380.0,-2706.0,-622.8,,False,True,False,False,,False,True,False,True
Colorado,2013,2124.0,,2269.4,2278.1,1998.0,2496.9,,2214.1,3948.7,2202.0,2240.2,111.0,,256.4,265.1,-15.0,483.9,,201.1,1935.7,189.0,227.2,,False,False,True,False,,False,False,False,False
Connecticut,4492,4546.6,,4466.7,4645.4,4483.0,4507.9,,4419.8,5036.3,4835.0,4559.2,54.6,,-25.3,153.4,-9.0,15.9,,-72.2,544.3,343.0,67.2,,True,False,True,True,,False,False,False,False
Delaware,621,1019.0,,640.9,551.3,612.0,590.9,,1113.0,814.6,765.0,638.9,398.0,,19.9,-69.7,-9.0,-30.1,,492.0,193.6,144.0,17.9,,True,True,True,True,,False,True,True,True
District of Columbia,619,604.6,,620.6,647.5,591.0,585.3,,584.0,819.0,616.0,621.9,-14.4,,1.6,28.5,-28.0,-33.7,,-35.0,200.0,-3.0,2.9,,True,False,False,False,,False,False,True,True
Florida,13287,12705.4,,16888.9,13210.7,11118.0,6265.1,,11789.3,12611.8,9264.0,11986.4,-581.6,,3601.9,-76.3,-2169.0,-7021.9,,-1497.7,-675.2,-4023.0,-1300.6,,False,True,False,False,,False,False,False,False
Georgia,6599,6043.7,,6819.8,5817.8,4702.0,4046.5,,6400.6,6605.3,5316.0,6076.0,-555.3,,220.8,-781.2,-1897.0,-2552.5,,-198.4,6.3,-1283.0,-523.0,,True,False,False,False,,True,True,False,True
Hawaii,120,41.7,,53.4,27.6,,31.2,,29.7,253.2,103.0,57.0,-78.3,,-66.6,-92.4,,-88.8,,-90.3,133.2,-17.0,-63.0,,True,False,,False,,False,False,True,True
Idaho,441,358.1,,789.8,257.7,291.0,297.7,,294.2,303.0,326.0,439.8,-82.9,,348.8,-183.3,-150.0,-143.3,,-146.8,-138.0,-115.0,-1.2,,False,False,False,False,,False,False,False,True
Illinois,8672,8391.4,,8689.5,8193.7,8180.0,9007.1,,8575.5,12433.6,8534.0,8610.8,-280.6,,17.5,-478.3,-492.0,335.1,,-96.5,3761.6,-138.0,-61.2,,True,False,False,False,,True,False,True,True
Indiana,3503,3539.4,,3479.0,3220.5,3290.0,3652.3,,3545.7,5595.3,3838.0,3901.9,36.4,,-24.0,-282.5,-213.0,149.3,,42.7,2092.3,335.0,398.9,,True,False,False,False,,False,False,False,False
Iowa,1265,1111.9,,1308.2,1309.5,1026.0,1019.6,,978.0,1315.7,1029.0,1230.4,-153.1,,43.2,44.5,-239.0,-245.4,,-287.0,50.7,-236.0,-34.6,,True,True,False,False,,False,True,False,True
Kansas,596,503.9,,804.4,383.1,488.0,439.3,,486.6,626.6,454.0,507.2,-92.1,,208.4,-212.9,-108.0,-156.7,,-109.4,30.6,-142.0,-88.8,,False,False,False,False,,False,True,False,True
Kentucky,1108,935.7,,1250.6,962.7,853.0,1428.7,,924.7,1714.4,954.0,1268.3,-172.3,,142.6,-145.3,-255.0,320.7,,-183.3,606.4,-154.0,160.3,,True,True,False,False,,False,False,True,True
Louisiana,5342,5491.6,,5414.7,4563.4,5572.0,3943.4,,5491.5,6920.2,4970.0,5088.5,149.6,,72.7,-778.6,230.0,-1398.6,,149.5,1578.2,-372.0,-253.5,,True,False,False,False,,True,False,False,False
Maine,139,134.7,,125.3,151.6,154.0,170.2,,120.7,168.1,143.0,144.3,-4.3,,-13.7,12.6,15.0,31.2,,-18.3,29.1,4.0,5.3,,False,False,False,False,,False,False,True,False
