,count,mean,median,std,min,25%,75%,max
CMU-TimeSeries,50,3890.4,729.0,9723.6,0.0,64.0,3204.5,63001.0
COVIDhub-ensemble,51,6554.0,484.0,17842.6,0.0,42.5,3389.0,91204.0
LNQ-ens1,51,7179.1,469.1,31461.2,0.0,195.6,2334.8,223447.3
YYG-ParamSearch,51,9594.7,485.0,38807.3,0.7,48.2,3036.5,271890.1
UCLA-SuEIR,51,9785.8,1171.0,20461.5,0.0,149.9,9470.6,93095.4
UMich-RidgeTfReg,43,12015.3,2034.5,30057.7,0.3,451.5,8743.4,189458.2
JCB-PRM,51,12047.0,444.8,49628.6,0.0,22.4,3772.6,328210.8
OliverWyman-Navigator,51,12907.6,659.0,38323.4,0.0,70.0,5169.3,205973.3
USC-SI_kJalpha,51,13925.7,400.0,57271.7,0.0,42.5,3969.0,393129.0
Baseline,51,14027.6,1107.9,40465.9,0.0,48.1,8501.8,251001.0
DDS-NBDS,51,14071.5,704.4,75284.9,1.1,92.0,4094.5,539500.8
Google_Harvard-CPF,51,14139.4,4396.6,28428.6,0.6,566.6,13646.0,155750.5
UMass-MechBayes,51,15331.7,729.0,48457.9,0.0,110.5,4296.5,252004.0
NotreDame-mobility,51,16802.2,1157.0,36122.4,1.4,80.6,10027.9,173519.8
Covid19Sim-Simulator,51,20576.6,749.8,94718.6,0.3,73.7,3447.4,638440.8
JHU_IDD-CovidSP,51,22166.7,1872.9,46056.3,0.2,132.1,22843.6,215865.5
IowaStateLW-STEM,49,25011.5,1849.0,104122.9,1.0,290.0,9802.0,729316.0
CEID-Walk,51,25041.5,1294.8,83145.3,0.0,92.8,7641.7,540863.2
COVIDhub-baseline,51,25483.3,1285.9,77442.9,0.0,105.5,8505.5,477262.5
PSI-DRAFT,51,26925.4,2601.0,71712.1,0.0,156.5,17030.5,373321.0
Karlen-pypm,51,27087.1,557.0,124817.3,0.5,62.9,5052.6,859329.0
SteveMcConnell-CovidComplete,51,30858.9,1089.0,173274.1,0.0,122.0,6482.5,1240996.0
MOBS-GLEAM_COVID,50,31615.8,2574.0,91592.8,1.2,122.0,12863.6,521557.3
LANL-GrowthRate,51,31839.1,856.2,109840.9,0.0,282.8,8836.7,603960.1
CovidAnalytics-DELPHI,51,32399.8,1089.0,129032.1,1.0,169.0,8513.0,806404.0
CU-select,51,32843.6,2401.0,108753.5,0.0,144.0,16004.5,632025.0
RobertWalraven-ESG,51,41237.2,3030.5,131354.4,0.0,378.7,14482.3,818373.5
GT-DeepCOVID,47,44972.7,627.1,173844.5,0.2,147.6,8562.4,1052454.2
epiforecasts-ensemble1,46,52254.7,1024.0,163606.8,1.0,196.0,25596.5,1034289.0
USACE-ERDC_SEIR,51,65750.3,3972.4,156908.2,0.4,298.8,29089.7,821010.4
UA-EpiCovDA,51,129374.1,784.0,589148.0,0.0,182.5,10820.0,3968064.0
IHME-CurveFit,51,136291.3,3728.2,700968.8,0.0,214.2,12617.2,4954942.1
JHUAPL-Bucky,51,138121.5,3356.1,508508.7,0.1,709.7,43404.9,3277439.5
