,total_deaths_2020-08-02,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IHME-CurveFit,155637,197710.3,199263,42850.3,43626,-775.7,-1.8%
Covid19Sim-Simulator,155637,197473.3,199263,42613.3,43626,-1012.7,-2.3%
UCLA-SuEIR,155637,201302.7,199263,46442.7,43626,2816.7,6.5%
YYG-ParamSearch,155637,201411.9,199263,46551.9,43626,2925.9,6.7%
USC-SI_kJalpha,155637,203038.0,199263,48178.0,43626,4552.0,10.4%
IowaStateLW-STEM,155637,193549.0,199263,38689.0,43626,-4937.0,-11.3%
Columbia_UNC-SurvCon,155637,189725.0,199263,34865.0,43626,-8761.0,-20.1%
Baseline,155637,209202.9,199263,54342.9,43626,10716.9,24.6%
USACE-ERDC_SEIR,155637,214568.6,199263,59708.6,43626,16082.6,36.9%
LANL-GrowthRate,155637,179448.6,199263,24588.6,43626,-19037.4,-43.6%
MITCovAlliance-SIR,155637,178790.0,199263,23930.0,43626,-19696.0,-45.1%
STH-3PU,155637,272703.0,199263,117843.0,43626,74217.0,170.1%
