,mean_rank
JCB-PRM,14.1
COVIDhub-ensemble,14.1
UMass-MechBayes,14.3
OliverWyman-Navigator,14.8
YYG-ParamSearch,15.4
DDS-NBDS,15.8
Covid19Sim-Simulator,16.1
USC-SI_kJalpha,16.5
COVIDhub-baseline,16.5
Karlen-pypm,16.9
CMU-TimeSeries,17.0
IQVIA_ACOE-STAN,17.0
CEID-Walk,17.2
SteveMcConnell-CovidComplete,17.2
UCLA-SuEIR,17.3
LANL-GrowthRate,17.5
GT-DeepCOVID,17.8
Geneva-DetGrowth,18.5
UA-EpiCovDA,18.8
LNQ-ens1,19.4
UT-Mobility,19.5
Columbia_UNC-SurvCon,19.5
MITCovAlliance-SIR,20.0
PSI-DRAFT,20.0
JHU_IDD-CovidSP,20.8
CovidAnalytics-DELPHI,21.9
MOBS-GLEAM_COVID,21.9
MIT_CritData-GBCF,22.4
Google_Harvard-CPF,22.5
UCSD_NEU-DeepGLEAM,23.3
UMich-RidgeTfReg,23.9
WalmartLabsML-LogForecasting,23.9
IowaStateLW-STEM,24.7
RobertWalraven-ESG,25.0
CU-select,26.2
USACE-ERDC_SEIR,26.5
NotreDame-mobility,28.0
JHUAPL-Bucky,30.4
epiforecasts-ensemble1,33.1
TTU-squider,34.2
