,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,2437,2184.4,768.0,-252.6,-1669.0,False
Alaska,45,10.0,,-35.0,,
Arizona,5467,3251.4,1368.0,-2215.6,-4099.0,False
Arkansas,1181,223.0,521.0,-958.0,-660.0,True
California,15018,12597.1,5013.0,-2420.9,-10005.0,False
Colorado,2013,5572.1,1439.0,3559.1,-574.0,True
Connecticut,4492,11283.0,3971.0,6791.0,-521.0,True
Delaware,621,1522.1,432.0,901.1,-189.0,True
District of Columbia,619,1454.4,556.0,835.4,-63.0,True
Florida,13287,6473.0,2726.0,-6814.0,-10561.0,False
Georgia,6599,5252.9,1908.0,-1346.1,-4691.0,False
Hawaii,120,17.0,,-103.0,,
Idaho,441,180.1,79.0,-260.9,-362.0,False
Illinois,8672,17944.9,7527.0,9272.9,-1145.0,True
Indiana,3503,6090.3,2465.0,2587.3,-1038.0,True
Iowa,1265,1886.7,650.5,621.7,-614.5,True
Kansas,594,570.0,287.0,-24.0,-307.0,False
Kentucky,1108,869.7,518.0,-238.3,-590.0,False
Louisiana,5342,6151.7,3646.0,809.7,-1696.0,False
Maine,139,177.1,2308.0,38.1,2169.0,False
Maryland,3876,8206.3,3069.0,4330.3,-807.0,True
Massachusetts,9295,20404.1,8453.5,11109.1,-841.5,True
Michigan,6969,10891.0,5966.0,4155.0,-770.0,True
Minnesota,2015,3463.1,6819.5,1448.1,4804.5,False
Mississippi,2809,2146.0,1312.5,-663.0,-1496.5,False
Missouri,1825,2332.1,1159.0,605.1,-568.0,True
Montana,156,16.0,16.0,-140.0,-140.0,False
Nebraska,442,712.3,399.0,270.3,-43.0,True
Nevada,1528,1064.3,516.0,-463.7,-1012.0,False
New Hampshire,438,868.4,405.5,430.4,-32.5,True
New Jersey,16064,30130.9,13139.0,15821.9,-1170.0,True
New Mexico,847,1425.7,330.0,578.7,-517.0,True
New York,33081,56642.7,32771.0,24300.7,429.0,True
North Carolina,3235,2864.6,805.0,-370.4,-2430.0,False
North Dakota,192,185.9,89.0,-6.1,-103.0,False
Ohio,4612,6696.4,2145.0,2084.4,-2467.0,False
Oklahoma,943,573.7,316.0,-369.3,-627.0,False
Oregon,525,315.6,161.0,-209.4,-364.0,False
Pennsylvania,7940,16798.6,6371.0,8858.6,-1569.0,True
Rhode Island,1088,1874.0,1655.0,835.0,616.0,True
South Carolina,3188,1349.3,451.0,-1838.7,-2737.0,False
South Dakota,200,222.6,529.5,22.6,329.5,False
Tennessee,2216,1280.1,1114.5,-935.9,-1101.5,False
Texas,15051,5789.4,3118.0,-9193.6,-11865.0,False
Utah,440,312.1,88.0,-127.9,-352.0,False
Vermont,58,71.9,54.0,13.9,-4.0,True
Virginia,2990,4063.6,1460.0,1073.6,-1530.0,False
Washington,2037,2251.0,1257.0,214.0,-780.0,False
West Virginia,311,299.1,64.0,-11.9,-247.0,False
Wisconsin,1241,1399.4,2009.5,158.4,768.5,False
Wyoming,49,25.9,7.0,-23.1,-42.0,False
US,199284,268776.3,132546.0,72434.3,-63796.0,True
