,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51,129.9,52.4,204.7,0.0,18.6,121.3,1159.7
IHME-CurveFit,51,178.4,116.1,223.2,0.9,36.3,195.5,1161.0
UCLA-SuEIR,51,180.8,84.5,306.7,0.2,18.9,184.2,1655.2
USC-SI_kJalpha,51,183.4,82.0,276.9,0.0,26.0,209.5,1387.0
CovidAnalytics-DELPHI,51,205.2,86.0,289.6,1.0,25.0,253.0,1463.0
Baseline,51,211.1,48.9,532.4,1.0,20.2,158.6,3430.9
LANL-GrowthRate,51,264.3,154.0,411.4,1.8,42.5,346.7,2151.4
USACE-ERDC_SEIR,51,388.7,126.2,525.4,0.1,37.2,542.5,2193.0
NotreDame-mobility,51,448.5,135.6,1043.8,0.8,43.8,372.9,7017.6
PSI-DRAFT,51,569.5,210.0,850.0,2.0,49.0,738.5,4385.0
