,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2437,1882.7,1754.3,785.0,-554.3,-682.7,-1652.0,False,False
Alaska,45,10.0,11.7,,-35.0,-33.3,,True,
Arizona,5467,2587.9,1683.9,1760.0,-2879.1,-3783.1,-3707.0,False,False
Arkansas,1181,402.6,427.0,1149.0,-778.4,-754.0,-32.0,True,True
California,15018,10816.1,9515.4,7810.0,-4201.9,-5502.6,-7208.0,False,False
Colorado,2013,3236.9,1839.4,1938.0,1223.9,-173.6,-75.0,True,True
Connecticut,4492,7924.1,4779.4,4356.0,3432.1,287.4,-136.0,True,True
Delaware,621,1000.3,486.2,460.0,379.3,-134.8,-161.0,True,True
District of Columbia,619,1005.1,603.7,722.0,386.1,-15.3,103.0,True,True
Florida,13287,5844.4,3636.0,3324.0,-7442.6,-9651.0,-9963.0,False,False
Georgia,6599,5636.7,3049.5,2641.0,-962.3,-3549.5,-3958.0,False,False
Hawaii,120,17.0,17.8,,-103.0,-102.2,,True,
Idaho,441,129.6,151.2,88.0,-311.4,-289.8,-353.0,True,False
Illinois,8672,13857.7,7814.8,8021.0,5185.7,-857.2,-651.0,True,True
Indiana,3503,4639.4,2721.6,2864.0,1136.4,-781.4,-639.0,True,True
Iowa,1265,1787.7,904.9,878.0,522.7,-360.1,-387.0,True,True
Kansas,594,373.6,317.2,352.0,-220.4,-276.8,-242.0,False,False
Kentucky,1108,1065.3,589.2,509.0,-42.7,-518.8,-599.0,False,False
Louisiana,5342,4376.7,3473.8,3476.0,-965.3,-1868.2,-1866.0,False,False
Maine,139,263.4,170.3,914.0,124.4,31.3,775.0,True,False
Maryland,3876,6575.6,4532.0,3798.0,2699.6,656.0,-78.0,True,True
Massachusetts,9295,14362.3,8358.0,8746.0,5067.3,-937.0,-549.0,True,True
Michigan,6969,9661.4,6157.1,6170.0,2932.4,-571.9,-559.0,True,True
Minnesota,2015,3777.4,2002.7,14028.0,1762.4,-12.3,12013.0,True,False
Mississippi,2809,2462.4,1197.7,1090.0,-346.6,-1611.3,-1719.0,False,False
Missouri,1825,2203.1,941.9,1089.0,416.1,-845.1,-698.0,False,False
Montana,156,32.9,18.3,18.0,-123.1,-137.7,-138.0,False,False
Nebraska,442,534.7,484.8,408.0,92.7,42.8,-34.0,True,True
Nevada,1528,1003.7,542.6,632.0,-524.3,-985.4,-896.0,False,False
New Hampshire,438,815.9,320.3,287.0,377.9,-117.7,-151.0,True,True
New Jersey,16064,20578.0,12761.3,13404.0,6334.0,-1482.7,-840.0,True,True
New Mexico,847,974.4,516.3,488.0,127.4,-330.7,-359.0,False,False
New York,33081,39980.1,32220.4,32990.0,7814.1,54.4,824.0,True,True
North Carolina,3235,3363.1,2766.4,1817.0,128.1,-468.6,-1418.0,False,False
North Dakota,192,187.9,133.8,606.0,-4.1,-58.2,414.0,False,False
Ohio,4612,5104.4,3154.8,2856.0,492.4,-1457.2,-1756.0,False,False
Oklahoma,943,698.7,420.4,523.0,-244.3,-522.6,-420.0,False,False
Oregon,525,232.3,173.1,177.0,-292.7,-351.9,-348.0,False,False
Pennsylvania,7940,12199.1,6672.4,5944.0,4259.1,-1267.6,-1996.0,True,True
Rhode Island,1088,2462.3,866.9,991.0,1481.3,-114.1,10.0,True,True
South Carolina,3188,1429.6,872.7,679.0,-1758.4,-2315.3,-2509.0,False,False
South Dakota,200,252.3,157.3,232.0,52.3,-42.7,32.0,True,True
Tennessee,2216,808.0,700.5,788.0,-1408.0,-1515.5,-1428.0,False,False
Texas,15051,4006.0,3721.0,3855.0,-10932.0,-11217.0,-11083.0,False,False
Utah,440,366.7,593.5,198.0,-73.3,153.5,-242.0,False,False
Vermont,58,70.9,57.0,56.0,12.9,-1.0,-2.0,True,True
Virginia,2988,4609.9,2206.9,2210.0,1621.9,-781.1,-778.0,True,True
Washington,2037,2021.9,1578.2,1308.0,-15.1,-458.8,-729.0,False,False
West Virginia,311,122.6,144.7,78.0,-188.4,-166.3,-233.0,True,False
Wisconsin,1241,1892.3,1361.4,1374.0,651.3,120.4,133.0,True,True
Wyoming,49,79.4,29.4,19.0,30.4,-19.6,-30.0,True,True
US,199282,210021.3,139863.1,149301.0,13972.3,-56185.9,-46748.0,False,False
