,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,80939,62232.0,,77134.3,86312.0,67839.0,85759.1,46144.1,76034.1,-18707.0,,-3804.7,5373.0,-13100.0,4820.1,-34794.9,-4904.9,,True,True,True,True,False,True
Alaska,4737,2048.0,,2186.3,812.0,,1900.3,4101.8,21392.5,-2689.0,,-2550.7,-3925.0,,-2836.7,-635.2,16655.5,,True,False,,False,True,False
Arizona,106720,195544.0,,353680.6,312231.0,200901.0,110130.3,113793.1,131385.3,88824.0,,246960.6,205511.0,94181.0,3410.3,7073.1,24665.3,,False,False,False,True,True,True
Arkansas,37569,31192.0,,38504.9,41630.0,57321.0,39114.1,22474.3,25052.4,-6377.0,,935.9,4061.0,19752.0,1545.1,-15094.7,-12516.6,,True,True,False,True,False,False
California,442258,337624.0,,625439.2,383212.0,463432.0,448448.4,263516.5,131935.5,-104634.0,,183181.2,-59046.0,21174.0,6190.4,-178741.5,-310322.5,,False,True,True,True,False,False
Colorado,23174,14744.0,,13863.8,3469.0,16380.0,10190.3,3332.9,23243.5,-8430.0,,-9310.2,-19705.0,-6794.0,-12983.7,-19841.1,69.5,,False,False,True,False,False,True
Connecticut,5790,4088.0,,640.0,577.0,1595.0,2439.1,381.8,2220.3,-1702.0,,-5150.0,-5213.0,-4195.0,-3350.9,-5408.2,-3569.7,,False,False,False,False,False,False
Delaware,5390,7240.0,,5796.0,1302.0,3220.0,3085.1,455.8,9623.9,1850.0,,406.0,-4088.0,-2170.0,-2304.9,-4934.2,4233.9,,True,False,False,False,False,False
District of Columbia,3478,1848.0,,677.5,408.0,2353.0,989.9,329.4,836.7,-1630.0,,-2800.5,-3070.0,-1125.0,-2488.1,-3148.6,-2641.3,,False,False,True,False,False,False
Florida,428951,460056.0,,1243544.7,456345.0,558083.0,296695.5,433169.0,346934.9,31105.0,,814593.7,27394.0,129132.0,-132255.5,4218.0,-82016.1,,False,True,False,False,True,False
Georgia,174439,146672.0,,195515.1,101635.0,101322.0,121325.4,90420.6,282998.6,-27767.0,,21076.1,-72804.0,-73117.0,-53113.6,-84018.4,108559.6,,True,False,False,False,False,False
Hawaii,7140,1016.0,,1847.0,109.0,,1496.5,20.9,4115.3,-6124.0,,-5293.0,-7031.0,,-5643.5,-7119.1,-3024.7,,True,False,,True,False,True
Idaho,24298,16384.0,,39242.0,9574.0,49605.0,25820.1,42976.1,26101.2,-7914.0,,14944.0,-14724.0,25307.0,1522.1,18678.1,1803.2,,False,False,False,True,False,True
Illinois,86454,44280.0,,17698.2,3320.0,59746.0,25466.3,4137.5,69245.2,-42174.0,,-68755.8,-83134.0,-26708.0,-60987.7,-82316.5,-17208.8,,False,False,True,False,False,True
Indiana,45002,22856.0,,23688.2,6471.0,13521.0,17739.3,6403.4,37095.1,-22146.0,,-21313.8,-38531.0,-31481.0,-27262.7,-38598.6,-7906.9,,True,False,False,False,False,True
Iowa,32551,23904.0,,25935.7,4556.0,13122.0,25494.9,6566.6,43054.7,-8647.0,,-6615.3,-27995.0,-19429.0,-7056.1,-25984.4,10503.7,,True,False,False,True,False,False
Kansas,25659,18352.0,,25702.8,3033.0,18399.0,13280.9,3719.9,69308.5,-7307.0,,43.8,-22626.0,-7260.0,-12378.1,-21939.1,43649.5,,True,False,True,False,False,False
Kentucky,31201,9672.0,,10335.9,8070.0,10057.0,10310.2,6754.4,10919.3,-21529.0,,-20865.1,-23131.0,-21144.0,-20890.8,-24446.6,-20281.7,,True,False,True,True,False,True
Louisiana,83655,68160.0,,83012.6,23044.0,120461.0,88345.3,12439.9,51936.5,-15495.0,,-642.4,-60611.0,36806.0,4690.3,-71215.1,-31718.5,,True,False,False,True,False,False
Maine,1096,1944.0,,1222.2,813.0,1942.0,1845.6,929.4,2925.2,848.0,,126.2,-283.0,846.0,749.6,-166.6,1829.2,,True,True,True,True,True,False
Maryland,37953,23128.0,,11037.8,3853.0,10273.0,13597.4,5385.5,35616.0,-14825.0,,-26915.2,-34100.0,-27680.0,-24355.6,-32567.5,-2337.0,,False,False,False,False,False,True
Massachusetts,15334,11160.0,,3988.2,1217.0,6734.0,4993.4,904.8,15171.2,-4174.0,,-11345.8,-14117.0,-8600.0,-10340.6,-14429.2,-162.8,,False,False,False,False,False,True
Michigan,38555,23216.0,,21928.9,5827.0,27560.0,18813.0,3297.7,73785.0,-15339.0,,-16626.1,-32728.0,-10995.0,-19742.0,-35257.3,35230.0,,False,False,True,False,False,False
Minnesota,36633,20728.0,,16017.4,6177.0,31728.0,17100.4,2992.8,11921.6,-15905.0,,-20615.6,-30456.0,-4905.0,-19532.6,-33640.2,-24711.4,,False,False,True,False,False,False
Mississippi,51355,41144.0,,48103.7,27609.0,50241.0,54425.4,19751.0,46646.7,-10211.0,,-3251.3,-23746.0,-1114.0,3070.4,-31604.0,-4708.3,,True,False,True,True,False,True
