,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,34540,44876.0,48079.0,,71958.4,58524.0,39840.4,80475.8,47760.0,43876.0,103973.2,45030.5,43663.5,,55901.3,83371.6,79772.7,39770.6,26435.0,10336.0,13539.0,,37418.4,23984.0,5300.4,45935.8,13220.0,9336.0,69433.2,10490.5,9123.5,,21361.3,48831.6,45232.7,5230.6,-8105.0,False,,False,False,True,False,False,True,False,False,True,,False,False,False,True,True
Alaska,2220,3188.0,3751.0,,3940.5,3487.0,2741.4,41.6,,5089.7,10724.7,3336.8,3403.1,,5575.9,5280.9,,6278.5,3918.0,968.0,1531.0,,1720.5,1267.0,521.4,-2178.4,,2869.7,8504.7,1116.8,1183.1,,3355.9,3060.9,,4058.5,1698.0,False,,False,False,True,False,,False,False,False,False,,False,False,,False,False
Arizona,24285,67844.0,52122.0,,48594.4,51338.0,58463.8,159325.5,64246.0,34107.9,61933.4,38852.9,58944.8,,53930.4,50843.0,101130.9,41874.2,35251.0,43559.0,27837.0,,24309.4,27053.0,34178.8,135040.5,39961.0,9822.9,37648.4,14567.9,34659.8,,29645.4,26558.0,76845.9,17589.2,10966.0,True,,True,True,True,False,True,True,True,True,True,,True,True,False,True,True
Arkansas,17605,20768.0,20568.0,,22013.8,25869.0,16489.6,18226.4,24379.0,21481.0,34839.3,14448.3,17469.8,,23127.7,18562.8,32750.8,15215.0,14609.0,3163.0,2963.0,,4408.8,8264.0,-1115.4,621.4,6774.0,3876.0,17234.3,-3156.7,-135.2,,5522.7,957.8,15145.8,-2390.0,-2996.0,True,,False,False,True,True,False,False,False,True,True,,False,True,False,True,True
California,195425,240644.0,248544.0,,264125.0,294604.0,179871.1,281363.3,267442.0,298793.0,238427.8,123654.8,189086.4,,302681.2,271676.5,391660.6,141810.2,159665.0,45219.0,53119.0,,68700.0,99179.0,-15553.9,85938.3,72017.0,103368.0,43002.8,-71770.2,-6338.6,,107256.2,76251.5,196235.6,-53614.8,-35760.0,False,,False,False,True,False,False,False,True,False,True,,False,False,False,False,True
Colorado,9771,13912.0,12531.0,,20392.2,4011.0,13380.5,24893.6,12607.0,23085.6,40058.9,9159.1,12949.7,,11005.7,11426.7,,10350.2,11376.0,4141.0,2760.0,,10621.2,-5760.0,3609.5,15122.6,2836.0,13314.6,30287.9,-611.9,3178.7,,1234.7,1655.7,,579.2,1605.0,True,,False,False,True,False,True,False,False,True,True,,True,True,,True,True
Connecticut,2697,4136.0,3820.0,,3942.9,121.0,1985.4,13531.8,2543.0,6667.6,5726.4,2290.6,2601.3,,1728.1,3862.7,,4708.3,6895.0,1439.0,1123.0,,1245.9,-2576.0,-711.6,10834.8,-154.0,3970.6,3029.4,-406.4,-95.7,,-968.9,1165.7,,2011.3,4198.0,True,,True,False,True,False,True,False,False,True,True,,True,True,,False,False
Delaware,2482,2808.0,2560.0,,2761.7,359.0,2952.9,3625.5,2414.0,2788.9,4392.2,1537.4,2353.3,,2457.0,3760.7,,1915.7,2658.0,326.0,78.0,,279.7,-2123.0,470.9,1143.5,-68.0,306.9,1910.2,-944.6,-128.7,,-25.0,1278.7,,-566.3,176.0,True,,True,False,False,False,True,True,False,False,True,,True,False,,False,True
District of Columbia,1720,1360.0,1336.0,,2683.0,410.0,1401.1,2401.7,2099.0,1872.5,3121.9,334.1,723.9,,,2178.1,,524.2,686.0,-360.0,-384.0,,963.0,-1310.0,-318.9,681.7,379.0,152.5,1401.9,-1385.9,-996.1,,,458.1,,-1195.8,-1034.0,False,,False,False,True,False,False,True,False,False,False,,,False,,False,False
Florida,138975,262068.0,217462.0,,301530.5,281256.0,236012.9,404393.4,252608.0,189089.5,356695.1,151396.8,204371.4,,201258.4,191024.1,331213.7,137017.3,149237.0,123093.0,78487.0,,162555.5,142281.0,97037.9,265418.4,113633.0,50114.5,217720.1,12421.8,65396.4,,62283.4,52049.1,192238.7,-1957.7,10262.0,True,,False,False,True,False,True,True,False,True,True,,True,True,False,True,True
Georgia,77746,99296.0,86919.0,,104462.1,79949.0,83908.3,260992.6,85398.0,87055.4,83122.5,71547.3,85703.5,,99969.8,92728.2,150483.5,76076.7,76431.0,21550.0,9173.0,,26716.1,2203.0,6162.3,183246.6,7652.0,9309.4,5376.5,-6198.7,7957.5,,22223.8,14982.2,72737.5,-1669.3,-1315.0,True,,False,True,True,False,True,True,True,True,True,,False,True,False,True,True
Hawaii,5942,2308.0,2248.0,,2059.6,416.0,1812.0,65.0,,8664.7,3664.2,2622.0,2247.3,,4171.2,2230.0,,8336.4,6080.0,-3634.0,-3694.0,,-3882.4,-5526.0,-4130.0,-5877.0,,2722.7,-2277.8,-3320.0,-3694.7,,-1770.8,-3712.0,,2394.4,138.0,False,,False,False,False,False,,True,True,True,False,,True,False,,True,True
Idaho,10558,13136.0,11654.0,,18288.7,11730.0,28590.5,9310.0,11671.0,19867.2,18235.3,5423.3,8337.4,,7022.9,10418.4,,5233.3,10037.0,2578.0,1096.0,,7730.7,1172.0,18032.5,-1248.0,1113.0,9309.2,7677.3,-5134.7,-2220.6,,-3535.1,-139.6,,-5324.7,-521.0,True,,False,True,False,True,True,False,False,False,True,,False,True,,False,True
