,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,24301,32472.0,30446.5,29630.0,28075.0,,32180.0,28417.2,34317.6,31929.2,34861.4,22932.6,22619.7,28612.0,,22477.9,25829.9,47592.5,22834.5,22899.0,8171.0,6145.5,5329.0,3774.0,,7879.0,4116.2,10016.6,7628.2,10560.4,-1368.4,-1681.3,4311.0,,-1823.1,1528.9,23291.5,-1466.5,-1402.0,True,True,True,,True,True,False,True,False,True,True,True,,True,True,False,True,True
Alaska,1665,1431.0,1385.8,1418.0,805.0,,2447.0,1759.3,180.6,3508.4,2784.9,1069.7,1245.5,1438.0,,837.6,2001.5,2808.3,1001.7,1358.0,-234.0,-279.2,-247.0,-860.0,,782.0,94.3,-1484.4,1843.4,1119.9,-595.3,-419.5,-227.0,,-827.4,336.5,1143.3,-663.3,-307.0,False,False,False,,False,True,False,False,False,False,False,True,,False,False,False,False,False
Arizona,15180,27315.0,26746.9,20690.0,15895.0,,29693.0,17863.8,66023.2,19429.3,40828.2,15882.3,17148.9,16717.0,,20879.3,24884.1,11603.4,13289.2,12667.0,12135.0,11566.9,5510.0,715.0,,14513.0,2683.8,50843.2,4249.3,25648.2,702.3,1968.9,1537.0,,5699.3,9704.1,-3576.6,-1890.8,-2513.0,True,True,True,,False,True,False,True,False,True,True,True,,True,True,True,True,True
Arkansas,11967,16914.0,16951.6,16856.0,18468.0,,18391.0,11868.3,23843.1,14910.1,19529.1,11851.7,13732.6,16596.0,,41241.5,14234.4,21590.5,13330.9,14048.0,4947.0,4984.6,4889.0,6501.0,,6424.0,-98.7,11876.1,2943.1,7562.1,-115.3,1765.6,4629.0,,29274.5,2267.4,9623.5,1363.9,2081.0,False,True,False,,False,True,False,True,False,True,True,True,,False,True,False,True,True
California,147650,143325.0,144381.1,139734.0,137667.0,,268499.0,115453.0,359220.3,178624.0,133249.7,85161.2,116773.4,113171.0,,107730.2,153140.6,231630.0,108527.7,102776.0,-4325.0,-3268.9,-7916.0,-9983.0,,120849.0,-32197.0,211570.3,30974.0,-14400.3,-62488.8,-30876.6,-34479.0,,-39919.8,5490.6,83980.0,-39122.3,-44874.0,True,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Colorado,6716,9171.0,9249.4,9151.0,8046.0,,2976.0,11118.3,34297.8,14237.1,10855.0,6934.2,7201.5,8024.0,,9441.5,6382.3,7780.5,6719.3,7394.0,2455.0,2533.4,2435.0,1330.0,,-3740.0,4402.3,27581.8,7521.1,4139.0,218.2,485.5,1308.0,,2725.5,-333.7,1064.5,3.3,678.0,False,True,True,,False,False,False,False,False,True,True,True,,False,True,True,True,True
Connecticut,2187,1530.0,1567.0,1382.0,1205.0,,50.0,1152.4,6621.0,3626.8,4440.1,520.6,1236.9,1389.0,,1253.2,3338.4,697.5,1409.4,987.0,-657.0,-620.0,-805.0,-982.0,,-2137.0,-1034.6,4434.0,1439.8,2253.1,-1666.4,-950.1,-798.0,,-933.8,1151.4,-1489.5,-777.6,-1200.0,True,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Delaware,1857,1875.0,1910.8,1627.0,1486.0,,250.0,2063.4,2089.7,1940.2,3101.8,1293.9,1605.4,1522.0,,1536.5,2632.6,1454.9,1523.2,1225.0,18.0,53.8,-230.0,-371.0,,-1607.0,206.4,232.7,83.2,1244.8,-563.1,-251.6,-335.0,,-320.5,775.6,-402.1,-333.8,-632.0,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
District of Columbia,1272,1344.0,1315.6,1412.0,1637.0,,335.0,2147.3,555.8,1371.2,2273.3,1111.4,1510.0,1466.0,,,1845.1,,1637.7,1115.0,72.0,43.6,140.0,365.0,,-937.0,875.3,-716.2,99.2,1001.3,-160.6,238.0,194.0,,,573.1,,365.7,-157.0,True,False,False,,False,False,False,False,False,False,False,False,,,False,,False,False
Florida,92426,139647.0,151041.9,122115.0,114889.0,,157216.0,106841.2,251235.6,124416.5,152162.8,98913.2,99498.2,92736.0,,164649.6,114189.3,193724.4,83579.1,96041.0,47221.0,58615.9,29689.0,22463.0,,64790.0,14415.2,158809.6,31990.5,59736.8,6487.2,7072.2,310.0,,72223.6,21763.3,101298.4,-8846.9,3615.0,False,True,True,,False,True,False,True,False,True,True,True,,False,True,False,True,True
