,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,106,58.0,61.6,,48.0,46.0,,,,,,78.0,51.0,,17.8,34.5,49.0,,62.5,,50.9,,,,,83.1,-48.0,-44.4,,-58.0,-60.0,,,,,,-28.0,-55.0,,-88.2,-71.5,-57.0,,-43.5,,-55.1,,,,,-22.9,True,,False,False,,,,,,True,False,,False,False,False,,True,,False,,,,,True
01003,370,198.0,218.6,,194.0,152.0,,,,,,299.0,375.3,,194.4,195.0,181.0,,142.0,,185.3,142.0,,,,252.4,-172.0,-151.4,,-176.0,-218.0,,,,,,-71.0,5.3,,-175.6,-175.0,-189.0,,-228.0,,-184.7,-228.0,,,,-117.6,True,,False,False,,,,,,True,True,,False,False,False,,False,,False,False,,,,True
01005,40,28.0,27.4,,20.0,14.0,,,,,,46.0,25.2,,14.9,23.3,27.0,,5.5,,28.7,,,,,38.2,-12.0,-12.6,,-20.0,-26.0,,,,,,6.0,-14.8,,-25.1,-16.7,-13.0,,-34.5,,-11.3,,,,,-1.8,False,,False,False,,,,,,True,False,,False,False,False,,False,,True,,,,,True
01007,29,34.0,31.4,,33.0,28.0,,,,,,37.0,42.1,,29.7,34.3,32.0,,25.6,,36.7,,,,,32.3,5.0,2.4,,4.0,-1.0,,,,,,8.0,13.1,,0.7,5.3,3.0,,-3.4,,7.7,,,,,3.3,True,,True,True,,,,,,False,False,,True,False,True,,True,,False,,,,,True
01009,152,77.0,78.3,,69.0,60.0,,,,,,88.0,111.3,,35.8,51.1,58.0,,26.3,,82.3,,,,,84.2,-75.0,-73.7,,-83.0,-92.0,,,,,,-64.0,-40.7,,-116.2,-100.9,-94.0,,-125.7,,-69.7,,,,,-67.8,True,,False,False,,,,,,True,True,,False,False,False,,False,,True,,,,,True
01011,16,32.0,32.0,,20.0,9.0,,,,,,27.0,10.4,,8.8,16.4,26.0,,23.2,,27.0,,,,,27.9,16.0,16.0,,4.0,-7.0,,,,,,11.0,-5.6,,-7.2,0.4,10.0,,7.2,,11.0,,,,,11.9,False,,True,True,,,,,,True,True,,True,True,True,,True,,True,,,,,True
01013,40,14.0,16.2,,15.0,16.0,,,,,,35.0,10.7,,4.3,11.0,19.0,,16.8,,13.8,,,,,21.2,-26.0,-23.8,,-25.0,-24.0,,,,,,-5.0,-29.3,,-35.7,-29.0,-21.0,,-23.2,,-26.2,,,,,-18.8,True,,True,True,,,,,,True,False,,False,False,True,,True,,False,,,,,True
01015,240,231.0,238.2,,202.0,258.0,,,,,,158.0,317.1,,166.6,161.7,161.0,,150.2,,243.6,,,,,212.7,-9.0,-1.8,,-38.0,18.0,,,,,,-82.0,77.1,,-73.4,-78.3,-79.0,,-89.8,,3.6,,,,,-27.3,True,,False,False,,,,,,False,False,,False,False,False,,False,,True,,,,,False
01017,54,15.0,15.7,,14.0,7.0,,,,,,46.0,30.6,,5.4,12.3,23.0,,12.1,,16.8,,,,,21.2,-39.0,-38.3,,-40.0,-47.0,,,,,,-8.0,-23.4,,-48.6,-41.7,-31.0,,-41.9,,-37.2,,,,,-32.8,True,,False,False,,,,,,True,True,,False,False,True,,False,,True,,,,,True
01019,33,31.0,30.7,,29.0,28.0,,,,,,36.0,42.1,,10.3,22.6,20.0,,14.1,,30.1,,,,,28.0,-2.0,-2.3,,-4.0,-5.0,,,,,,3.0,9.1,,-22.7,-10.4,-13.0,,-18.9,,-2.9,,,,,-5.0,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01021,169,66.0,68.2,,66.0,49.0,,,,,,71.0,77.5,,56.0,68.8,61.0,,46.6,,71.6,,,,,61.8,-103.0,-100.8,,-103.0,-120.0,,,,,,-98.0,-91.5,,-113.0,-100.2,-108.0,,-122.4,,-97.4,,,,,-107.2,True,,False,False,,,,,,True,True,,False,True,False,,False,,True,,,,,False
01023,10,12.0,11.8,,10.0,7.0,,,,,,22.0,11.7,,5.3,9.5,12.0,,11.0,,11.9,,,,,13.4,2.0,1.8,,0.0,-3.0,,,,,,12.0,1.7,,-4.7,-0.5,2.0,,1.0,,1.9,,,,,3.4,True,,True,False,,,,,,False,True,,False,True,False,,True,,True,,,,,False
01025,53,47.0,29.8,,40.0,95.0,,,,,,54.0,41.6,,25.0,35.3,43.0,,48.7,,44.6,,,,,58.3,-6.0,-23.2,,-13.0,42.0,,,,,,1.0,-11.4,,-28.0,-17.7,-10.0,,-4.3,,-8.4,,,,,5.3,False,,False,False,,,,,,True,False,,False,False,False,,True,,False,,,,,True
01027,43,20.0,18.7,,15.0,26.0,,,,,,19.0,23.1,,2.6,10.9,12.0,,9.1,,20.4,,,,,30.2,-23.0,-24.3,,-28.0,-17.0,,,,,,-24.0,-19.9,,-40.4,-32.1,-31.0,,-33.9,,-22.6,,,,,-12.8,False,,False,True,,,,,,False,True,,False,False,False,,False,,True,,,,,True
