,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,57974,79722.0,,85387.7,84068.0,58552.1,83272.0,59734.6,97677.8,72724.5,54650.1,21748.0,,27413.7,26094.0,578.1,25298.0,1760.6,39703.8,14750.5,-3323.9,,False,False,True,False,True,False,True,True
Alaska,3907,2466.0,,4319.6,1949.0,91.3,,2204.6,4172.9,4428.4,20053.8,-1441.0,,412.6,-1958.0,-3815.7,,-1702.4,265.9,521.4,16146.8,,True,False,False,,False,True,True,False
Arizona,60022,128010.0,,198651.3,152573.0,123055.9,115501.0,60492.3,96267.1,65132.2,75904.6,67988.0,,138629.3,92551.0,63033.9,55479.0,470.3,36245.1,5110.2,15882.6,,False,False,True,True,True,True,True,True
Arkansas,28245,28014.0,,30124.2,28383.0,12712.6,35277.0,20170.9,20053.1,23093.5,16402.3,-231.0,,1879.2,138.0,-15532.4,7032.0,-8074.1,-8191.9,-5151.5,-11842.7,,False,True,False,False,False,False,False,False
California,321293,371904.0,,498218.1,385072.0,701144.3,382978.0,178892.9,395389.8,134597.8,70186.6,50611.0,,176925.1,63779.0,379851.3,61685.0,-142400.1,74096.8,-186695.2,-251106.4,,False,False,False,False,False,False,False,False
Colorado,17252,19182.0,,26196.1,3808.0,14636.0,16819.0,11726.9,40129.0,27690.0,18667.6,1930.0,,8944.1,-13444.0,-2616.0,-433.0,-5525.1,22877.0,10438.0,1415.6,,False,False,False,True,False,False,False,True
Connecticut,4614,3636.0,,2100.7,150.0,3967.8,1713.0,1609.8,6274.5,3090.0,1387.8,-978.0,,-2513.3,-4464.0,-646.2,-2901.0,-3004.2,1660.5,-1524.0,-3226.2,,False,False,True,False,False,False,False,False
Delaware,3957,4116.0,,5058.7,668.0,1389.4,2002.0,2578.9,6704.7,3694.7,7208.5,159.0,,1101.7,-3289.0,-2567.6,-1955.0,-1378.1,2747.7,-262.3,3251.5,,False,False,False,False,False,False,False,False
District of Columbia,2731,2358.0,,1539.2,562.0,5634.6,2231.0,1497.5,2866.7,4564.2,488.3,-373.0,,-1191.8,-2169.0,2903.6,-500.0,-1233.5,135.7,1833.2,-2242.7,,False,False,False,False,False,True,False,False
Florida,281434,498348.0,,796036.2,381810.0,508934.4,688775.0,442961.6,389423.2,303460.5,194296.7,216914.0,,514602.2,100376.0,227500.4,407341.0,161527.6,107989.2,22026.5,-87137.3,,False,True,False,False,True,True,True,True
Georgia,127878,152874.0,,241030.0,105006.0,91792.3,114810.0,105669.2,340112.5,99232.1,218639.9,24996.0,,113152.0,-22872.0,-36085.7,-13068.0,-22208.8,212234.5,-28645.9,90761.9,,False,True,False,True,True,False,False,False
Hawaii,6785,924.0,,1773.1,160.0,15.2,,643.5,1579.1,695.6,3730.1,-5861.0,,-5011.9,-6625.0,-6769.8,,-6141.5,-5205.9,-6089.4,-3054.9,,True,False,False,,False,True,False,True
Idaho,17365,22782.0,,49996.9,12527.0,13714.9,24532.0,22450.0,25068.3,24677.4,19578.6,5417.0,,32631.9,-4838.0,-3650.1,7167.0,5085.0,7703.3,7312.4,2213.6,,False,True,True,False,True,False,False,True
Illinois,71281,46146.0,,48556.0,1056.0,49864.0,45965.0,29190.8,59916.1,70139.1,55257.2,-25135.0,,-22725.0,-70225.0,-21417.0,-25316.0,-42090.2,-11364.9,-1141.9,-16023.8,,True,False,True,False,False,True,True,True
