,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,2875146.2,3120187,-245040.8,-7.9%
COVIDhub-baseline,2633416.0,3120187,-486771.0,-15.6%
IowaStateLW-STEM,3634535.0,3120187,514348.0,16.5%
CovidAnalytics-DELPHI,2447634.0,3120187,-672553.0,-21.6%
Columbia_UNC-SurvCon,4254372.0,3120187,1134185.0,36.3%
USACE-ERDC_SEIR,1914077.5,3120187,-1206109.5,-38.7%
USC-SI_kJalpha,4383441.7,3120187,1263254.7,40.5%
Covid19Sim-Simulator,4398037.1,3120187,1277850.1,41.0%
JHU_IDD-CovidSP,1721099.7,3120187,-1399087.3,-44.8%
OliverWyman-Navigator,1640900.0,3120187,-1479287.0,-47.4%
LANL-GrowthRate,1494616.0,3120187,-1625571.0,-52.1%
UMich-RidgeTfReg,1176563.1,3120187,-1943623.9,-62.3%
Geneva-DetGrowth,362289.8,3120187,-2757897.2,-88.4%
RobertWalraven-ESG,108281.8,3120187,-3011905.2,-96.5%
CovidActNow-SEIR_CAN,,3120187,,
