,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,298931.9,294024,4907.9,1.7%
UCLA-SuEIR,283940.0,294024,-10084.0,-3.4%
CEID-Walk,304970.0,294024,10946.0,3.7%
DDS-NBDS,282461.6,294024,-11562.4,-3.9%
COVIDhub-baseline,305947.0,294024,11923.0,4.1%
CU-select,281317.0,294024,-12707.0,-4.3%
OliverWyman-Navigator,277602.0,294024,-16422.0,-5.6%
COVIDhub-ensemble,276838.0,294024,-17186.0,-5.8%
Karlen-pypm,312430.5,294024,18406.5,6.3%
CovidAnalytics-DELPHI,275395.0,294024,-18629.0,-6.3%
USC-SI_kJalpha,272571.0,294024,-21453.0,-7.3%
JHU_IDD-CovidSP,316460.8,294024,22436.8,7.6%
LNQ-ens1,267232.0,294024,-26792.0,-9.1%
Columbia_UNC-SurvCon,266615.0,294024,-27409.0,-9.3%
Geneva-DetGrowth,264866.5,294024,-29157.5,-9.9%
USACE-ERDC_SEIR,262956.9,294024,-31067.1,-10.6%
IowaStateLW-STEM,343082.0,294024,49058.0,16.7%
RobertWalraven-ESG,237615.5,294024,-56408.5,-19.2%
LANL-GrowthRate,233325.0,294024,-60699.0,-20.6%
Covid19Sim-Simulator,207496.1,294024,-86527.9,-29.4%
TTU-squider,401857.7,294024,107833.7,36.7%
UMich-RidgeTfReg,180814.3,294024,-113209.7,-38.5%
IQVIA_ACOE-STAN,,294024,,
