,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,427,450.0,539.4,327.0,418.0,,,,,,,733.0,475.2,,324.1,386.1,,546.0,,,247.6,,,,,,23.0,112.4,-100.0,-9.0,,,,,,,306.0,48.2,,-102.9,-40.9,,119.0,,,-179.4,,,,,,False,False,True,,,,,,,False,False,,False,False,,False,,,False,,,,,
01003,1687,4120.0,4493.7,3201.0,6998.0,,,,,,,3488.0,3785.9,,7068.8,2821.9,,2626.0,,,3596.2,4328.0,,,,,2433.0,2806.7,1514.0,5311.0,,,,,,,1801.0,2098.9,,5381.8,1134.9,,939.0,,,1909.2,2641.0,,,,,False,True,False,,,,,,,True,True,,False,True,,True,,,True,False,,,,
01005,127,255.0,,189.0,358.0,,,,,,,286.0,230.9,,134.9,225.6,,316.0,,,193.3,,,,,,128.0,,62.0,231.0,,,,,,,159.0,103.9,,7.9,98.6,,189.0,,,66.3,,,,,,,True,False,,,,,,,False,True,,True,True,,False,,,True,,,,,
01007,211,260.0,,187.0,333.0,,,,,,,209.0,277.9,,206.8,225.9,,222.0,,,287.2,,,,,,49.0,,-24.0,122.0,,,,,,,-2.0,66.9,,-4.2,14.9,,11.0,,,76.2,,,,,,,True,False,,,,,,,True,False,,True,True,,True,,,False,,,,,
01009,435,740.0,762.1,588.0,1194.0,,,,,,,619.0,1019.9,,887.3,529.5,,483.0,,,838.7,,,,,,305.0,327.1,153.0,759.0,,,,,,,184.0,584.9,,452.3,94.5,,48.0,,,403.7,,,,,,False,True,False,,,,,,,True,False,,False,True,,True,,,False,,,,,
01011,129,80.0,,31.0,0.0,,,,,,,121.0,43.6,,23.4,61.1,,215.0,,,48.3,,,,,,-49.0,,-98.0,-129.0,,,,,,,-8.0,-85.4,,-105.6,-67.9,,86.0,,,-80.7,,,,,,,False,False,,,,,,,True,False,,False,False,,False,,,False,,,,,
01013,120,195.0,,110.0,140.0,,,,,,,384.0,61.9,,59.9,147.5,,391.0,,,135.1,,,,,,75.0,,-10.0,20.0,,,,,,,264.0,-58.1,,-60.1,27.5,,271.0,,,15.1,,,,,,,True,True,,,,,,,False,True,,True,True,,False,,,True,,,,,
01015,1287,1525.0,1622.6,1235.0,1931.0,,,,,,,1422.0,1765.5,,1929.8,1379.7,,972.0,,,683.0,,,,,,238.0,335.6,-52.0,644.0,,,,,,,135.0,478.5,,642.8,92.7,,-315.0,,,-604.0,,,,,,False,True,False,,,,,,,True,False,,False,True,,False,,,False,,,,,
01017,110,185.0,,154.0,137.0,,,,,,,353.0,313.1,,124.5,184.0,,421.0,,,158.2,,,,,,75.0,,44.0,27.0,,,,,,,243.0,203.1,,14.5,74.0,,311.0,,,48.2,,,,,,,True,True,,,,,,,False,False,,True,True,,False,,,True,,,,,
01019,154,170.0,,137.0,215.0,,,,,,,169.0,305.4,,71.9,131.1,,129.0,,,166.8,,,,,,16.0,,-17.0,61.0,,,,,,,15.0,151.4,,-82.1,-22.9,,-25.0,,,12.8,,,,,,,False,False,,,,,,,True,False,,False,False,,False,,,True,,,,,
01021,466,715.0,,523.0,1035.0,,,,,,,597.0,583.2,,730.8,489.1,,458.0,,,1552.0,,,,,,249.0,,57.0,569.0,,,,,,,131.0,117.2,,264.8,23.1,,-8.0,,,1086.0,,,,,,,True,False,,,,,,,True,True,,False,True,,True,,,False,,,,,
01023,61,105.0,,64.0,105.0,,,,,,,229.0,68.6,,34.2,97.9,,153.0,,,57.6,,,,,,44.0,,3.0,44.0,,,,,,,168.0,7.6,,-26.8,36.9,,92.0,,,-3.4,,,,,,,True,False,,,,,,,False,True,,True,True,,False,,,True,,,,,
01025,490,275.0,,176.0,397.0,,,,,,,503.0,227.5,,140.2,192.1,,284.0,,,192.2,,,,,,-215.0,,-314.0,-93.0,,,,,,,13.0,-262.5,,-349.8,-297.9,,-206.0,,,-297.8,,,,,,,False,True,,,,,,,True,False,,False,False,,True,,,False,,,,,
01027,199,200.0,,125.0,233.0,,,,,,,74.0,117.3,,168.4,210.7,,134.0,,,137.3,,,,,,1.0,,-74.0,34.0,,,,,,,-125.0,-81.7,,-30.6,11.7,,-65.0,,,-61.7,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,,False,,,,,
01029,105,115.0,,69.0,183.0,,,,,,,75.0,83.5,,43.6,78.5,,77.0,,,278.1,,,,,,10.0,,-36.0,78.0,,,,,,,-30.0,-21.5,,-61.4,-26.5,,-28.0,,,173.1,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,,False,,,,,
01031,330,495.0,264.3,365.0,902.0,,,,,,,889.0,447.5,,454.0,433.1,,439.0,,,413.3,,,,,,165.0,-65.7,35.0,572.0,,,,,,,559.0,117.5,,124.0,103.1,,109.0,,,83.3,,,,,,True,True,False,,,,,,,False,True,,True,True,,True,,,True,,,,,
01033,552,820.0,827.8,571.0,487.0,,,,,,,863.0,611.3,,462.9,549.5,,618.0,,,995.6,,,,,,268.0,275.8,19.0,-65.0,,,,,,,311.0,59.3,,-89.1,-2.5,,66.0,,,443.6,,,,,,False,True,True,,,,,,,False,True,,True,True,,True,,,False,,,,,
01035,106,250.0,,136.0,303.0,,,,,,,239.0,183.1,,124.0,215.3,79.9,231.0,,,182.2,,,,,,144.0,,30.0,197.0,,,,,,,133.0,77.1,,18.0,109.3,-26.1,125.0,,,76.2,,,,,,,True,False,,,,,,,True,True,,True,True,True,True,,,True,,,,,
01037,33,60.0,,34.0,26.0,,,,,,,37.0,53.0,,49.5,56.6,,57.0,,,46.4,,,,,,27.0,,1.0,-7.0,,,,,,,4.0,20.0,,16.5,23.6,,24.0,,,13.4,,,,,,,True,True,,,,,,,True,True,,True,True,,True,,,True,,,,,
01039,210,525.0,,409.0,731.0,,,,,,,823.0,648.7,,331.8,415.6,238.0,435.0,,,405.0,,,,,,315.0,,199.0,521.0,,,,,,,613.0,438.7,,121.8,205.6,28.0,225.0,,,195.0,,,,,,,True,False,,,,,,,False,False,,True,True,True,True,,,True,,,,,
01041,167,360.0,,114.0,839.0,,,,,,,203.0,72.3,,80.2,176.5,65.1,216.0,,,147.2,,,,,,193.0,,-53.0,672.0,,,,,,,36.0,-94.7,,-86.8,9.5,-101.9,49.0,,,-19.8,,,,,,,True,False,,,,,,,True,True,,True,True,True,True,,,True,,,,,
01043,493,790.0,1002.5,599.0,470.0,,,,,,,1207.0,1152.4,,353.8,552.2,686.8,646.0,,,1033.9,,,,,,297.0,509.5,106.0,-23.0,,,,,,,714.0,659.4,,-139.2,59.2,193.8,153.0,,,540.9,,,,,,False,True,True,,,,,,,False,False,,True,True,True,True,,,False,,,,,
01045,333,845.0,,581.0,1283.0,,,,,,,754.0,658.4,,868.2,523.2,339.3,591.0,,,1152.5,,,,,,512.0,,248.0,950.0,,,,,,,421.0,325.4,,535.2,190.2,6.3,258.0,,,819.5,,,,,,,True,False,,,,,,,True,True,,False,True,True,True,,,False,,,,,
01047,247,415.0,,247.0,450.0,,,,,,,671.0,390.7,,89.8,241.2,108.5,638.0,,,281.5,,,,,,168.0,,0.0,203.0,,,,,,,424.0,143.7,,-157.2,-5.8,-138.5,391.0,,,34.5,,,,,,,True,False,,,,,,,False,True,,True,True,True,False,,,True,,,,,
01049,575,990.0,1318.8,732.0,364.0,,,,,,,1267.0,1104.3,,924.4,754.8,496.1,971.0,,,644.0,,,,,,415.0,743.8,157.0,-211.0,,,,,,,692.0,529.3,,349.4,179.8,-78.9,396.0,,,69.0,,,,,,False,True,True,,,,,,,False,False,,True,True,True,True,,,True,,,,,
01051,566,1040.0,707.8,639.0,1388.0,,,,,,,1068.0,747.2,,851.3,722.6,469.0,979.0,,,634.9,,,,,,474.0,141.8,73.0,822.0,,,,,,,502.0,181.2,,285.3,156.6,-97.0,413.0,,,68.9,,,,,,True,True,False,,,,,,,False,True,,True,True,True,True,,,True,,,,,
01053,405,1080.0,,616.0,1310.0,,,,,,,1033.0,838.7,,568.9,738.5,264.1,732.0,,,653.2,,,,,,675.0,,211.0,905.0,,,,,,,628.0,433.7,,163.9,333.5,-140.9,327.0,,,248.2,,,,,,,True,False,,,,,,,True,True,,True,True,True,True,,,True,,,,,
01055,1029,1755.0,1724.2,1281.0,1698.0,,,,,,,1594.0,1859.9,,1627.4,1270.7,792.7,1286.0,,,1409.0,,,,,,726.0,695.2,252.0,669.0,,,,,,,565.0,830.9,,598.4,241.7,-236.3,257.0,,,380.0,,,,,,True,True,True,,,,,,,True,False,,True,True,True,True,,,True,,,,,
