,count,mean,median,std,min,25%,75%,max
LANL-GrowthRate,2951,7925.7,94.7,69802.2,0.0,7.1,682.6,1723681.1
LNQ-ens1,3141,8134.5,41.5,90710.0,0.0,3.7,311.7,2719614.3
OliverWyman-Navigator,2413,10130.4,49.0,131213.1,0.0,5.4,361.0,4289041.0
COVIDhub-ensemble,3141,10710.0,36.0,160071.5,0.0,4.0,324.0,7562500.0
JHU_IDD-CovidSP,3139,11597.7,97.7,86584.9,0.0,7.7,948.8,1914745.6
RobertWalraven-ESG,3141,14240.7,70.1,161714.0,0.0,5.5,678.6,6819984.5
CU-select,3097,22086.8,64.0,400641.5,0.0,9.0,529.0,18610596.0
CEID-Walk,3141,22836.0,49.0,585309.6,0.0,4.4,400.6,31921155.3
UCLA-SuEIR,2820,23396.2,49.0,517676.4,0.0,5.0,386.0,27275211.4
COVIDhub-baseline,3141,24022.3,49.0,618258.8,0.0,4.0,361.0,33593616.0
USC-SI_kJalpha,2781,30244.5,64.0,673459.4,0.0,4.0,472.6,28590409.0
UVA-Ensemble,2781,53194.5,56.6,945266.3,0.0,5.1,554.1,43600853.2
IowaStateLW-STEM,3103,63873.9,64.0,1130005.6,0.0,9.0,729.0,40627876.0
