,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,149815.7,418.4,2121155.9,0.0,43.5,3421.0,80972728.4
COVIDhub-ensemble,3141,195943.2,441.0,3482934.5,0.0,49.0,4096.0,139665124.0
OliverWyman-Navigator,2550,244107.1,576.0,4293004.0,0.0,64.0,5630.2,196224064.0
LANL-GrowthRate,2951,289622.4,1216.6,5202407.0,0.0,104.9,8461.1,267675853.3
CEID-Walk,3141,293528.1,569.5,5438121.8,0.0,52.2,5486.8,232415421.8
COVIDhub-baseline,3141,312581.6,529.0,5474527.2,0.0,49.0,5329.0,218596225.0
USC-SI_kJalpha,2774,319689.8,841.0,8703064.4,0.0,64.0,6084.0,443818489.0
UCLA-SuEIR,2716,323472.2,653.6,5505438.3,0.0,56.6,6902.3,168098081.1
JHU_IDD-CovidSP,3139,330316.2,1348.8,6470852.3,0.0,100.1,13679.6,322538132.7
CU-select,3103,476721.9,1089.0,6940145.8,0.0,100.0,9409.0,281199361.0
RobertWalraven-ESG,3141,4706571.1,923.6,159024484.4,0.0,68.6,9676.7,8629425288.1
