,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,172.2,36.3,803.6,0.0,11.3,111.1,23463.3
COVIDhub-ensemble,3141,176.0,43.0,935.9,0.0,14.0,125.0,38467.0
OliverWyman-Navigator,2705,189.6,45.0,609.3,0.0,14.0,145.0,12760.0
USC-SI_kJalpha,2769,239.4,59.0,1084.1,0.0,17.0,168.0,34772.0
COVIDhub-baseline,3141,270.9,41.0,1609.0,0.0,13.0,139.0,49956.0
UCLA-SuEIR,2895,313.4,50.6,2004.0,0.0,14.2,168.1,68211.9
LANL-GrowthRate,2950,329.9,63.9,1936.9,0.0,19.4,186.7,69974.6
JHU_IDD-CovidSP,3139,354.7,67.8,1265.8,0.0,18.0,235.4,37901.4
IowaStateLW-STEM,3103,365.6,48.0,2193.0,0.0,13.0,164.0,63580.0
CU-select,3072,454.3,72.0,2778.1,0.0,20.0,265.0,96741.0
