,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,9357,6952.0,6735.5,5808.0,5340.0,,3529.0,7614.0,5969.7,7217.0,8401.0,6946.0,6857.1,6063.8,4876.7,5076.6,5127.0,,3965.8,14603.9,7723.0,5352.0,5285.9,5356.0,-2405.0,-2621.5,-3549.0,-4017.0,,-5828.0,-1743.0,-3387.3,-2140.0,-956.0,-2411.0,-2499.9,-3293.2,-4480.3,-4280.4,-4230.0,,-5391.2,5246.9,-1634.0,-4005.0,-4071.1,-4001.0,False,False,False,,False,True,False,True,True,False,False,False,False,False,False,,False,False,True,False,False,False
Alaska,505,521.0,551.3,493.0,388.0,,332.1,525.0,562.8,509.9,,,924.5,418.7,475.8,422.4,512.0,,398.1,1036.4,534.4,,511.1,534.0,16.0,46.3,-12.0,-117.0,,-172.9,20.0,57.8,4.9,,,419.5,-86.3,-29.2,-82.6,7.0,,-106.9,531.4,29.4,,6.1,29.0,False,True,False,,False,False,False,True,,,False,False,False,False,True,,False,False,False,,True,False
Arizona,3392,5241.0,5481.8,3533.0,5123.0,,1901.9,5556.0,3277.3,4494.1,5324.0,5718.0,4063.0,3146.9,3223.2,3275.4,3463.0,,2410.3,7301.1,6292.8,6620.5,3533.1,3871.0,1849.0,2089.8,141.0,1731.0,,-1490.1,2164.0,-114.7,1102.1,1932.0,2326.0,671.0,-245.1,-168.8,-116.6,71.0,,-981.7,3909.1,2900.8,3228.5,141.1,479.0,False,True,True,,True,False,True,True,False,False,True,True,True,True,True,,True,False,False,False,True,True
Arkansas,4179,4207.0,4132.8,3581.0,3581.0,,3104.6,5308.0,3145.3,4152.5,4608.0,4318.0,3729.1,3157.9,3441.4,3147.5,3099.0,,2630.5,4086.7,4174.2,2872.7,3598.5,3496.0,28.0,-46.2,-598.0,-598.0,,-1074.4,1129.0,-1033.7,-26.5,429.0,139.0,-449.9,-1021.1,-737.6,-1031.5,-1080.0,,-1548.5,-92.3,-4.8,-1306.3,-580.5,-683.0,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,,False,False,True,False,False,False
California,37603,46441.0,47172.2,41599.0,43324.0,,37480.6,49862.0,37768.9,46870.2,45701.0,66996.0,45487.7,46924.8,32000.5,41599.1,45117.0,,37292.3,48641.2,45336.7,35428.4,33013.1,41005.0,8838.0,9569.2,3996.0,5721.0,,-122.4,12259.0,165.9,9267.2,8098.0,29393.0,7884.7,9321.8,-5602.5,3996.1,7514.0,,-310.7,11038.2,7733.7,-2174.6,-4589.9,3402.0,False,True,True,,True,False,True,False,True,False,True,False,True,True,True,,True,False,True,True,True,True
Colorado,2156,2045.0,2039.0,1933.0,1933.0,,1230.2,925.0,2352.5,1998.1,2443.0,1831.0,3145.4,1880.7,1914.0,1689.3,1662.0,,2109.9,2103.6,1752.3,1226.7,2175.3,1770.0,-111.0,-117.0,-223.0,-223.0,,-925.8,-1231.0,196.5,-157.9,287.0,-325.0,989.4,-275.3,-242.0,-466.7,-494.0,,-46.1,-52.4,-403.7,-929.3,19.3,-386.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,True,True,False,False,True,False
Connecticut,976,622.0,555.1,518.0,784.0,,579.5,97.0,440.3,667.6,315.0,496.0,1052.6,958.8,267.7,383.3,468.0,,231.9,0.0,656.7,,518.3,315.0,-354.0,-420.9,-458.0,-192.0,,-396.5,-879.0,-535.7,-308.4,-661.0,-480.0,76.6,-17.2,-708.3,-592.7,-508.0,,-744.1,-976.0,-319.3,,-457.7,-661.0,False,False,True,,False,False,False,True,False,False,True,True,False,False,False,,False,False,True,,False,False
Delaware,531,432.0,463.9,463.0,459.0,,473.3,47.0,541.4,409.3,455.0,587.0,539.2,865.0,353.6,379.3,560.0,,435.2,265.7,463.4,516.0,464.2,390.0,-99.0,-67.1,-68.0,-72.0,,-57.7,-484.0,10.4,-121.7,-76.0,56.0,8.2,334.0,-177.4,-151.7,29.0,,-95.8,-265.3,-67.6,-15.0,-66.8,-141.0,True,True,True,,True,False,True,False,True,True,True,False,False,False,True,,True,False,True,True,True,False
District of Columbia,391,375.0,382.3,300.0,300.0,,336.3,125.0,378.6,336.1,236.0,491.0,402.2,380.5,203.2,224.9,304.0,,71.1,131.6,363.1,,256.2,311.0,-16.0,-8.7,-91.0,-91.0,,-54.7,-266.0,-12.4,-54.9,-155.0,100.0,11.2,-10.5,-187.8,-166.1,-87.0,,-319.9,-259.4,-27.9,,-134.8,-80.0,True,False,False,,False,False,True,False,False,False,True,True,False,False,False,,False,False,False,,False,False
Florida,21406,27960.0,28013.6,25187.0,24472.0,,12205.4,29401.0,26015.5,14620.8,31330.0,42237.0,27968.2,32279.4,20814.2,22781.3,22843.0,,22148.5,42003.7,30182.1,22074.0,22303.4,23412.0,6554.0,6607.6,3781.0,3066.0,,-9200.6,7995.0,4609.5,-6785.2,9924.0,20831.0,6562.2,10873.4,-591.8,1375.3,1437.0,,742.5,20597.7,8776.1,668.0,897.4,2006.0,False,True,True,,False,False,True,False,False,False,False,False,True,True,True,,True,False,False,True,True,True
