,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,109,240.0,252.9,247.0,,174.0,340.0,,,,,,174.0,136.1,,59.9,116.2,,120.0,,134.0,,216.6,,,,,,271.3,131.0,143.9,138.0,,65.0,231.0,,,,,,65.0,27.1,,-49.1,7.2,,11.0,,25.0,,107.6,,,,,,162.3,False,False,,True,False,,,,,,True,True,,True,True,,True,,True,,True,,,,,,False
01003,468,674.0,1829.4,671.8,,590.0,652.0,,,,,,957.0,917.4,,504.3,451.4,,469.0,,370.9,,577.6,345.0,,,,,1391.9,206.0,1361.4,203.8,,122.0,184.0,,,,,,489.0,449.4,,36.3,-16.6,,1.0,,-97.1,,109.6,-123.0,,,,,923.9,False,True,,True,True,,,,,,False,False,,True,True,,True,,True,,True,True,,,,,False
01005,45,50.0,,46.0,,42.0,17.0,,,,,,96.0,53.6,,32.9,50.2,,66.0,,23.9,,62.6,,,,,,152.1,5.0,,1.0,,-3.0,-28.0,,,,,,51.0,8.6,,-12.1,5.2,,21.0,,-21.1,,17.6,,,,,,107.1,,True,,True,False,,,,,,False,False,,False,False,,False,,False,,False,,,,,,False
01007,54,86.0,,80.6,,74.0,97.0,,,,,,69.0,100.6,,33.2,54.1,,57.0,,27.6,,92.6,,,,,,253.5,32.0,,26.6,,20.0,43.0,,,,,,15.0,46.6,,-20.8,0.1,,3.0,,-26.4,,38.6,,,,,,199.5,,True,,True,False,,,,,,True,False,,True,True,,True,,True,,False,,,,,,False
01009,150,132.0,355.9,131.4,,132.0,76.0,,,,,,161.0,260.6,,77.0,86.8,,101.0,,77.6,,217.2,,,,,,392.3,-18.0,205.9,-18.6,,-18.0,-74.0,,,,,,11.0,110.6,,-73.0,-63.2,,-49.0,,-72.4,,67.2,,,,,,242.3,False,False,,False,False,,,,,,True,False,,False,False,,False,,False,,False,,,,,,False
01011,42,64.0,,63.0,,40.0,14.0,,,,,,55.0,25.3,,11.2,38.7,,61.0,,44.1,,48.2,,,,,,102.6,22.0,,21.0,,-2.0,-28.0,,,,,,13.0,-16.7,,-30.8,-3.3,,19.0,,2.1,,6.2,,,,,,60.6,,True,,True,False,,,,,,True,True,,False,True,,True,,True,,True,,,,,,False
01013,40,60.0,,65.1,,46.0,45.0,,,,,,84.0,24.5,,24.3,44.9,,75.0,,46.8,,60.0,,,,,,90.9,20.0,,25.1,,6.0,5.0,,,,,,44.0,-15.5,,-15.7,4.9,,35.0,,6.8,,20.0,,,,,,50.9,,False,,True,True,,,,,,False,True,,True,True,,False,,True,,True,,,,,,False
01015,413,284.0,835.5,267.6,,268.0,141.0,,,,,,373.0,715.6,,194.2,225.8,,233.0,,140.5,,335.3,,,,,,733.0,-129.0,422.5,-145.4,,-145.0,-272.0,,,,,,-40.0,302.6,,-218.8,-187.2,,-180.0,,-272.5,,-77.7,,,,,,320.0,False,False,,False,False,,,,,,True,False,,False,False,,False,,False,,True,,,,,,False
01017,23,28.0,,27.2,,26.0,18.0,,,,,,106.0,75.8,,5.8,20.0,,63.0,,24.6,,33.3,,,,,,51.8,5.0,,4.2,,3.0,-5.0,,,,,,83.0,52.8,,-17.2,-3.0,,40.0,,1.6,,10.3,,,,,,28.8,,True,,True,False,,,,,,False,False,,False,True,,False,,True,,False,,,,,,False
01019,47,58.0,,55.7,,55.0,54.0,,,,,,70.0,95.5,,37.0,51.6,,48.0,,61.2,,48.0,,,,,,228.1,11.0,,8.7,,8.0,7.0,,,,,,23.0,48.5,,-10.0,4.6,,1.0,,14.2,,1.0,,,,,,181.1,,True,,True,True,,,,,,False,False,,True,True,,True,,False,,True,,,,,,False
