,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,71353,63595.0,,70754.2,79738.0,95628.0,57919.4,94082.7,49923.9,66106.7,-7758.0,,-598.8,8385.0,24275.0,-13433.6,22729.7,-21429.1,-5246.3,,True,False,False,False,False,False,True
Alaska,4418,1946.0,,3209.8,1334.0,,3086.3,4227.2,5671.2,20912.1,-2472.0,,-1208.2,-3084.0,,-1331.7,-190.8,1253.2,16494.1,,True,False,,True,True,True,False
Arizona,81357,177541.0,,289827.1,233972.0,171629.0,67685.8,135210.9,85771.7,103402.0,96184.0,,208470.1,152615.0,90272.0,-13671.2,53853.9,4414.7,22045.0,,False,False,True,True,True,True,True
Arkansas,32914,32585.0,,28103.6,30815.0,52737.0,21632.5,23179.5,20042.0,20735.4,-329.0,,-4810.4,-2099.0,19823.0,-11281.5,-9734.5,-12872.0,-12178.6,,False,False,False,False,False,False,False
California,383277,461062.0,,592911.9,401718.0,446560.0,180339.8,503210.9,385300.6,97621.9,77785.0,,209634.9,18441.0,63283.0,-202937.2,119933.9,2023.6,-285655.1,,False,True,True,False,False,True,False
Colorado,20449,19068.0,,19969.8,3446.0,12610.0,11257.0,14044.0,5041.8,21073.4,-1381.0,,-479.2,-17003.0,-7839.0,-9192.0,-6405.0,-15407.2,624.4,,True,False,False,False,False,False,True
Connecticut,5220,3990.0,,1032.5,274.0,30967.0,1106.4,3016.1,234.7,1757.6,-1230.0,,-4187.5,-4946.0,25747.0,-4113.6,-2203.9,-4985.3,-3462.4,,False,False,False,False,False,False,False
Delaware,4643,5229.0,,7758.2,1032.0,4003.0,1570.6,9374.2,512.1,8517.6,586.0,,3115.2,-3611.0,-640.0,-3072.4,4731.2,-4130.9,3874.6,,False,False,False,False,False,False,False
District of Columbia,3124,2478.0,,796.1,349.0,2711.0,1281.7,1430.1,287.1,646.5,-646.0,,-2327.9,-2775.0,-413.0,-1842.3,-1693.9,-2836.9,-2477.5,,False,False,True,False,False,False,False
Florida,364492,451213.0,,1011526.9,354502.0,646585.0,802698.1,704330.7,313588.8,272661.4,86721.0,,647034.9,-9990.0,282093.0,438206.1,339838.7,-50903.2,-91830.6,,False,True,False,False,False,True,False
Georgia,153357,147574.0,,234050.5,103644.0,146369.0,83296.6,129029.6,99433.5,255503.7,-5783.0,,80693.5,-49713.0,-6988.0,-70060.4,-24327.4,-53923.5,102146.7,,False,False,False,False,False,False,False
Hawaii,6939,1407.0,,2470.8,142.0,,983.5,1969.0,485.0,3952.2,-5532.0,,-4468.2,-6797.0,,-5955.5,-4970.0,-6454.0,-2986.8,,True,False,,False,True,False,True
Idaho,21162,21952.0,,43798.3,11206.0,44919.0,19708.3,26795.3,8006.1,23191.2,790.0,,22636.3,-9956.0,23757.0,-1453.7,5633.3,-13155.9,2029.2,,False,False,False,False,False,False,False
Illinois,78972,52374.0,,36546.1,1898.0,38129.0,25353.2,82379.1,3835.9,62650.5,-26598.0,,-42425.9,-77074.0,-40843.0,-53618.8,3407.1,-75136.1,-16321.5,,False,False,False,False,True,False,True
Indiana,41355,25529.0,,37269.0,6034.0,25101.0,16795.4,46821.6,8420.6,33578.0,-15826.0,,-4086.0,-35321.0,-16254.0,-24559.6,5466.6,-32934.4,-7777.0,,True,False,False,False,True,False,True
Iowa,28954,25179.0,,33724.6,3824.0,36568.0,20371.6,38756.4,10206.4,39269.8,-3775.0,,4770.6,-25130.0,7614.0,-8582.4,9802.4,-18747.6,10315.8,,False,False,False,False,False,False,False
