,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,651,651.0,1511.8,,,,1176.0,429.9,,,,,0.0,860.8,,,,525.0,-221.1,,,,,False,,,,False,False,,,,
01003,3100,2527.0,2378.2,,,,2771.0,5788.0,,3646.3,,,-573.0,-721.8,,,,-329.0,2688.0,,546.3,,,False,,,,True,False,,True,,
01005,249,329.0,,,,,248.0,193.8,,,,,80.0,,,,,-1.0,-55.2,,,,,,,,,True,True,,,,
01007,302,238.0,,,,,141.0,174.0,,,,,-64.0,,,,,-161.0,-128.0,,,,,,,,,False,False,,,,
01009,708,462.0,695.7,,,,534.0,1172.6,,,,,-246.0,-12.3,,,,-174.0,464.6,,,,,True,,,,True,False,,,,
01011,160,63.0,,,,,151.0,14.0,,,,,-97.0,,,,,-9.0,-146.0,,,,,,,,,True,False,,,,
01013,179,189.0,,,,,543.0,24.5,,,,,10.0,,,,,364.0,-154.5,,,,,,,,,False,False,,,,
01015,1826,1106.0,468.4,,,,2008.0,1483.9,,,,,-720.0,-1357.6,,,,182.0,-342.1,,,,,False,,,,True,True,,,,
01017,203,350.0,,,,,470.0,137.5,,,,,147.0,,,,,267.0,-65.5,,,,,,,,,False,True,,,,
01019,223,266.0,,,,,143.0,120.7,,,,,43.0,,,,,-80.0,-102.3,,,,,,,,,False,False,,,,
01021,713,588.0,,,,,521.0,1089.3,,,,,-125.0,,,,,-192.0,376.3,,,,,,,,,False,False,,,,
01023,105,119.0,,,,,157.0,54.6,,,,,14.0,,,,,52.0,-50.4,,,,,,,,,False,False,,,,
01025,609,273.0,,,,,594.0,249.5,,,,,-336.0,,,,,-15.0,-359.5,,,,,,,,,True,False,,,,
01027,262,147.0,,,,,38.0,34.6,,,,,-115.0,,,,,-224.0,-227.4,,,,,,,,,False,False,,,,
01029,158,42.0,,,,,32.0,18.1,,,,,-116.0,,,,,-126.0,-139.9,,,,,,,,,False,False,,,,
01031,524,357.0,323.4,,,,1124.0,274.2,,,,,-167.0,-200.6,,,,600.0,-249.8,,,,,False,,,,False,False,,,,
01033,923,728.0,408.8,,,,1106.0,756.7,,,,,-195.0,-514.2,,,,183.0,-166.3,,,,,False,,,,True,True,,,,
01035,205,182.0,,,,,209.0,25.8,62.2,,,,-23.0,,,,,4.0,-179.2,-142.8,,,,,,,,True,False,False,,,
01037,50,49.0,,,,,14.0,40.8,,,,,-1.0,,,,,-36.0,-9.2,,,,,,,,,False,False,,,,
01039,421,420.0,,,,,1001.0,259.4,363.2,,,,-1.0,,,,,580.0,-161.6,-57.8,,,,,,,,False,False,False,,,
01041,263,14.0,,,,,201.0,6.8,35.4,,,,-249.0,,,,,-62.0,-256.2,-227.6,,,,,,,,True,False,True,,,
01043,854,924.0,1415.8,,,,1467.0,661.8,622.0,,,,70.0,561.8,,,,613.0,-192.2,-232.0,,,,False,,,,False,False,False,,,
01045,614,763.0,,,,,967.0,1319.9,381.6,,,,149.0,,,,,353.0,705.9,-232.4,,,,,,,,False,False,False,,,
01047,438,819.0,,,,,1016.0,396.7,163.2,,,,381.0,,,,,578.0,-41.3,-274.8,,,,,,,,False,True,True,,,
01049,1103,1638.0,976.5,,,,1705.0,3493.5,749.2,,,,535.0,-126.5,,,,602.0,2390.5,-353.8,,,,True,,,,False,False,True,,,
01051,967,882.0,2603.9,,,,1493.0,820.9,411.3,780.2,,,-85.0,1636.9,,,,526.0,-146.1,-555.7,-186.8,,,False,,,,False,False,False,False,,
01053,735,1001.0,,,,,1270.0,332.6,244.2,,,,266.0,,,,,535.0,-402.4,-490.8,,,,,,,,False,False,False,,,
01055,1693,1568.0,2079.3,,,,3266.0,2744.5,946.3,1508.7,,,-125.0,386.3,,,,1573.0,1051.5,-746.7,-184.3,,,False,,,,False,False,False,False,,
01057,202,98.0,,,,,64.0,84.3,,,,,-104.0,,,,,-138.0,-117.7,,,,,,,,,False,False,,,,
01059,596,301.0,,,,,1368.0,119.6,93.4,,,,-295.0,,,,,772.0,-476.4,-502.6,,,,,,,,False,False,False,,,
01061,279,119.0,,,,,601.0,24.6,,,,,-160.0,,,,,322.0,-254.4,,,,,,,,,False,False,,,,
01063,81,84.0,,,,,42.0,22.3,2.7,,,,3.0,,,,,-39.0,-58.7,-78.3,,,,,,,,False,False,False,,,
01065,183,266.0,,,,,257.0,105.4,83.6,,,,83.0,,,,,74.0,-77.6,-99.4,,,,,,,,True,True,False,,,
01067,169,147.0,,,,,112.0,35.1,50.8,,,,-22.0,,,,,-57.0,-133.9,-118.2,,,,,,,,False,False,False,,,
01069,1222,742.0,1132.3,,,,2290.0,675.8,634.9,,,,-480.0,-89.7,,,,1068.0,-546.2,-587.1,,,,True,,,,False,False,False,,,
01071,841,1050.0,792.1,,,,816.0,2631.4,568.8,,,,209.0,-48.9,,,,-25.0,1790.4,-272.2,,,,True,,,,True,False,False,,,
01073,9158,10423.0,14021.5,,,,21217.0,17601.9,6717.9,42397.7,,,1265.0,4863.5,,,,12059.0,8443.9,-2440.1,33239.7,,,False,,,,False,False,False,False,,
01075,182,84.0,,,,,51.0,67.6,,,,,-98.0,,,,,-131.0,-114.4,,,,,,,,,False,False,,,,
01077,830,553.0,908.5,,,,1618.0,633.6,766.5,,,,-277.0,78.5,,,,788.0,-196.4,-63.5,,,,True,,,,False,True,True,,,
01079,317,126.0,,,,,140.0,313.1,148.1,,,,-191.0,,,,,-177.0,-3.9,-168.9,,,,,,,,True,True,True,,,
01081,1629,1491.0,1811.9,,,,2693.0,1604.2,1317.5,918.2,,,-138.0,182.9,,,,1064.0,-24.8,-311.5,-710.8,,,False,,,,False,True,False,False,,
01083,996,987.0,1238.0,,,,1752.0,1377.1,886.7,,,,-9.0,242.0,,,,756.0,381.1,-109.3,,,,False,,,,False,False,False,,,
01085,126,98.0,,,,,104.0,3.2,3.8,,,,-28.0,,,,,-22.0,-122.8,-122.2,,,,,,,,True,False,False,,,
01087,177,210.0,,,,,67.0,23.4,111.3,,,,33.0,,,,,-110.0,-153.6,-65.7,,,,,,,,False,False,False,,,
