,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,249,294.0,548.8,308.3,,296.0,279.0,,,,,260.2,,599.3,472.6,374.0,,222.2,278.1,,,,,,45.0,299.8,59.3,,47.0,30.0,,,,,11.2,,350.3,223.6,125.0,,-26.8,29.1,,,,,,False,False,,False,True,,,,,True,,False,False,False,,True,True,,,,,
01003,927,1221.0,3111.9,1224.4,,979.0,776.0,,,,,1996.4,,1116.3,828.9,1092.0,,590.2,726.7,671.0,,,,,294.0,2184.9,297.4,,52.0,-151.0,,,,,1069.4,,189.3,-98.1,165.0,,-336.8,-200.3,-256.0,,,,,False,False,,True,True,,,,,False,,True,True,True,,False,True,True,,,,
01005,120,57.0,,44.7,,47.0,35.0,,,,,87.4,,13.7,45.3,,,36.0,117.7,,,,,,-63.0,,-75.3,,-73.0,-85.0,,,,,-32.6,,-106.3,-74.7,,,-84.0,-2.3,,,,,,,False,,False,False,,,,,True,,False,False,,,False,True,,,,,
01007,104,198.0,,194.8,,183.0,232.0,,,,,167.7,,189.8,169.9,161.0,,70.2,187.2,,,,,,94.0,,90.8,,79.0,128.0,,,,,63.7,,85.8,65.9,57.0,,-33.8,83.2,,,,,,,True,,True,False,,,,,True,,True,True,True,,True,True,,,,,
01009,356,252.0,485.1,245.4,,243.0,117.0,,,,,490.5,,180.5,203.3,232.0,,136.5,568.5,,,,,,-104.0,129.1,-110.6,,-113.0,-239.0,,,,,134.5,,-175.5,-152.7,-124.0,,-219.5,212.5,,,,,,False,False,,False,False,,,,,False,,False,False,False,,False,False,,,,,
01011,87,81.0,,78.7,,39.0,21.0,,,,,29.5,,33.8,86.6,122.0,,31.0,42.0,,,,,,-6.0,,-8.3,,-48.0,-66.0,,,,,-57.5,,-53.2,-0.4,35.0,,-56.0,-45.0,,,,,,,False,,False,False,,,,,False,,False,True,False,,False,False,,,,,
01013,84,45.0,,50.0,,47.0,66.0,,,,,32.6,,16.6,62.1,167.0,,115.1,40.6,,,,,,-39.0,,-34.0,,-37.0,-18.0,,,,,-51.4,,-67.4,-21.9,83.0,,31.1,-43.4,,,,,,,True,,True,True,,,,,False,,False,True,False,,True,False,,,,,
01015,679,969.0,1332.4,919.5,,748.0,653.0,,,,,1272.1,,675.2,640.5,621.0,,471.4,737.4,,,,,,290.0,653.4,240.5,,69.0,-26.0,,,,,593.1,,-3.8,-38.5,-58.0,,-207.6,58.4,,,,,,False,True,,True,True,,,,,False,,True,True,True,,True,True,,,,,
01017,118,99.0,,102.1,,90.0,72.0,,,,,168.0,,17.7,68.9,195.0,,94.2,86.2,,,,,,-19.0,,-15.9,,-28.0,-46.0,,,,,50.0,,-100.3,-49.1,77.0,,-23.8,-31.8,,,,,,,True,,False,False,,,,,False,,False,False,False,,False,False,,,,,
01019,101,144.0,,140.0,,130.0,151.0,,,,,174.0,,54.8,101.8,91.0,,111.9,139.7,,,,,,43.0,,39.0,,29.0,50.0,,,,,73.0,,-46.2,0.8,-10.0,,10.9,38.7,,,,,,,True,,True,False,,,,,False,,False,True,True,,True,True,,,,,
