,count,mean,median,std,min,25%,75%,max
OliverWyman-Navigator,2705,407375.1,2025.0,4559766.6,0.0,196.0,21316.0,162817600.0
LNQ-ens1,3141,675290.0,1320.3,14031500.0,0.0,126.4,12374.8,550525131.2
COVIDhub-ensemble,3141,906645.7,1849.0,28059443.0,0.0,196.0,15876.0,1479710089.0
USC-SI_kJalpha,2769,1232904.4,3481.0,25604920.5,0.0,305.9,28796.8,1209091984.0
JHU_IDD-CovidSP,3139,1726553.3,4595.0,28985566.1,0.0,322.0,55112.3,1436517890.7
COVIDhub-baseline,3141,2660751.8,1681.0,58745155.3,0.0,169.0,19321.0,2495601936.0
LANL-GrowthRate,2950,3859285.2,4089.2,100755716.6,0.0,374.7,35238.4,4896447206.2
UCLA-SuEIR,2895,4112575.3,2599.6,109897810.9,0.0,202.9,28366.6,4652866410.0
IowaStateLW-STEM,3103,4939817.7,2304.0,109072833.0,0.0,169.0,27225.0,4042416400.0
CU-select,3072,7920850.3,5184.0,208043207.3,0.0,400.0,69169.0,9358821081.0
