,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,574,804.0,875.3,1692.0,,,,,706.0,664.2,,,,,230.0,301.3,1118.0,,,,,132.0,90.2,,,,,False,False,,,,,True,True,,,,
01003,2577,3534.0,3400.1,9414.0,,,,,3801.0,11024.0,,4635.5,,,957.0,823.1,6837.0,,,,,1224.0,8447.0,,2058.5,,,True,False,,,,,False,False,,False,,
01005,255,426.0,,865.0,,,,,321.0,328.9,,,,,171.0,,610.0,,,,,66.0,73.9,,,,,,False,,,,,True,True,,,,
01007,280,234.0,,350.0,,,,,231.0,211.5,,,,,-46.0,,70.0,,,,,-49.0,-68.5,,,,,,False,,,,,False,False,,,,
01009,814,750.0,780.6,1822.0,,,,,887.0,1518.0,,,,,-64.0,-33.4,1008.0,,,,,73.0,704.0,,,,,True,False,,,,,False,False,,,,
01011,165,90.0,,27.0,,,,,132.0,26.0,,,,,-75.0,,-138.0,,,,,-33.0,-139.0,,,,,,False,,,,,True,False,,,,
01013,179,120.0,,153.0,,,,,281.0,53.9,,,,,-59.0,,-26.0,,,,,102.0,-125.1,,,,,,True,,,,,False,False,,,,
01015,1728,1404.0,615.4,1736.0,,,,,1871.0,2391.7,,,,,-324.0,-1112.6,8.0,,,,,143.0,663.7,,,,,False,True,,,,,True,False,,,,
01017,262,336.0,,437.0,,,,,334.0,179.0,,,,,74.0,,175.0,,,,,72.0,-83.0,,,,,,False,,,,,True,False,,,,
01019,231,210.0,,505.0,,,,,223.0,204.8,,,,,-21.0,,274.0,,,,,-8.0,-26.2,,,,,,False,,,,,True,False,,,,
