,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,16309,14814.0,14186.8,13562.0,10480.0,,11884.2,15311.0,16178.1,5967.5,17108.0,17039.8,12476.0,10045.2,10384.0,11332.0,,8856.4,17240.7,16794.3,,7800.4,9504.0,-1495.0,-2122.2,-2747.0,-5829.0,,-4424.8,-998.0,-130.9,-10341.5,799.0,730.8,-3833.0,-6263.8,-5925.0,-4977.0,,-7452.6,931.7,485.3,,-8508.6,-6805.0,False,False,False,,False,True,True,False,True,True,False,False,False,False,,False,True,True,,False,False
Alaska,1026,1086.0,1158.7,1101.0,873.0,,1041.8,1105.0,1541.8,572.6,,2010.2,776.5,1179.7,974.6,920.0,,913.6,1998.1,1299.9,1769.9,1635.8,884.0,60.0,132.7,75.0,-153.0,,15.8,79.0,515.8,-453.4,,984.2,-249.5,153.7,-51.4,-106.0,,-112.4,972.1,273.9,743.9,609.8,-142.0,False,False,False,,True,False,False,False,,False,False,False,True,False,,False,False,False,False,False,False
Arizona,8633,13094.0,12561.2,10416.0,11036.0,,6936.6,14894.0,10475.5,6227.0,13287.0,11478.2,16361.8,9913.1,9869.5,7777.0,,9508.7,15876.4,14134.2,,7309.1,8529.0,4461.0,3928.2,1783.0,2403.0,,-1696.4,6261.0,1842.5,-2406.0,4654.0,2845.2,7728.8,1280.1,1236.5,-856.0,,875.7,7243.4,5501.2,,-1323.9,-104.0,True,True,True,,True,False,True,True,False,True,False,True,True,True,,True,False,False,,True,True
Arkansas,8386,6362.0,7037.9,7417.0,7165.0,,8879.0,10576.0,8032.6,3903.6,10230.0,9014.2,11803.0,5346.8,6327.9,5054.0,,6125.1,11118.4,5324.2,,7730.7,6106.0,-2024.0,-1348.1,-969.0,-1221.0,,493.0,2190.0,-353.4,-4482.4,1844.0,628.2,3417.0,-3039.2,-2058.1,-3332.0,,-2260.9,2732.4,-3061.8,,-655.3,-2280.0,True,True,True,,True,False,True,False,True,True,False,False,False,False,,False,False,False,,True,False
California,84044,127212.0,120628.0,106091.0,181248.0,,83666.9,135565.0,101488.4,62626.9,129112.0,103295.0,90549.2,74750.4,106090.8,126491.0,,89846.1,74676.8,125577.2,173300.2,117997.8,88045.0,43168.0,36584.0,22047.0,97204.0,,-377.1,51521.0,17444.4,-21417.1,45068.0,19251.0,6505.2,-9293.6,22046.8,42447.0,,5802.1,-9367.2,41533.2,89256.2,33953.8,4001.0,True,True,False,,True,False,True,True,False,True,True,True,True,True,,True,True,True,False,True,True
Colorado,4201,5026.0,4873.7,4449.0,4758.0,,4475.4,1931.0,6706.7,2244.3,4698.0,8043.0,4380.2,3964.2,4053.5,4135.0,,4194.8,4699.0,5681.0,4251.7,4045.5,4383.0,825.0,672.7,248.0,557.0,,274.4,-2270.0,2505.7,-1956.7,497.0,3842.0,179.2,-236.8,-147.5,-66.0,,-6.2,498.0,1480.0,50.7,-155.5,182.0,True,True,True,,True,False,False,False,True,False,True,True,True,True,,True,True,False,True,True,True
Connecticut,1610,1154.0,1342.0,954.0,1106.0,,1526.0,32.0,572.0,465.0,1042.0,1948.3,2220.8,421.8,743.3,691.0,,436.9,6.3,1356.4,213.2,950.6,686.0,-456.0,-268.0,-656.0,-504.0,,-84.0,-1578.0,-1038.0,-1145.0,-568.0,338.3,610.8,-1188.2,-866.7,-919.0,,-1173.1,-1603.7,-253.6,-1396.8,-659.4,-924.0,True,False,False,,True,False,False,False,False,True,False,False,False,False,,False,False,True,False,False,False
Delaware,963,1788.0,1736.8,1289.0,3356.0,,990.0,130.0,1275.4,882.7,1021.0,1277.0,1777.0,1394.0,1279.6,2316.0,,1024.9,1577.3,1605.7,1004.5,2208.0,684.0,825.0,773.8,326.0,2393.0,,27.0,-833.0,312.4,-80.3,58.0,314.0,814.0,431.0,316.6,1353.0,,61.9,614.3,642.7,41.5,1245.0,-279.0,True,True,False,,True,False,True,True,True,True,True,True,True,False,,True,True,True,True,False,True
District of Columbia,766,1012.0,992.2,974.0,1018.0,,991.4,231.0,1218.7,481.0,965.0,788.6,1420.6,715.7,791.7,1000.0,,,394.3,1198.3,,921.8,939.0,246.0,226.2,208.0,252.0,,225.4,-535.0,452.7,-285.0,199.0,22.6,654.6,-50.3,25.7,234.0,,,-371.7,432.3,,155.8,173.0,True,True,False,,True,False,False,False,True,True,False,True,True,True,,,False,False,,True,True
Florida,49366,86120.0,85766.3,70170.0,92448.0,,42346.4,75246.0,78624.6,43428.5,62206.0,72051.5,76504.1,51794.1,59296.8,60896.0,,53709.3,69645.5,76209.8,97732.8,64476.5,54247.0,36754.0,36400.3,20804.0,43082.0,,-7019.6,25880.0,29258.6,-5937.5,12840.0,22685.5,27138.1,2428.1,9930.8,11530.0,,4343.3,20279.5,26843.8,48366.8,15110.5,4881.0,True,True,False,,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,True
