,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,823,728.0,,,,,980.0,,818.1,,,-95.0,,,,,157.0,,-4.9,,,,,,,False,,True,,
01003,3641,2456.0,,,,,1542.0,,3525.8,,,-1185.0,,,,,-2099.0,,-115.2,,,,,,,False,,True,,
01005,396,264.0,,,,,128.0,,,,,-132.0,,,,,-268.0,,,,,,,,,False,,,,
01007,354,232.0,,,,,145.0,,,,,-122.0,,,,,-209.0,,,,,,,,,False,,,,
01009,1061,360.0,,,,,507.0,,,,,-701.0,,,,,-554.0,,,,,,,,,True,,,,
01011,192,112.0,,,,,87.0,,,,,-80.0,,,,,-105.0,,,,,,,,,False,,,,
01013,231,216.0,,,,,1012.0,,,,,-15.0,,,,,781.0,,,,,,,,,False,,,,
01015,2137,760.0,,,,,1315.0,,,,,-1377.0,,,,,-822.0,,,,,,,,,True,,,,
01017,390,616.0,,,,,286.0,,,,,226.0,,,,,-104.0,,,,,,,,,True,,,,
01019,301,152.0,,,,,77.0,,,,,-149.0,,,,,-224.0,,,,,,,,,False,,,,
01021,916,368.0,,,,,554.0,,,,,-548.0,,,,,-362.0,,,,,,,,,True,,,,
01023,127,56.0,,,,,282.0,,,,,-71.0,,,,,155.0,,,,,,,,,False,,,,
01025,713,136.0,,,,,390.0,,,,,-577.0,,,,,-323.0,,,,,,,,,True,,,,
01027,300,232.0,,,,,32.0,,,,,-68.0,,,,,-268.0,,,,,,,,,False,,,,
01029,188,88.0,,,,,15.0,,,,,-100.0,,,,,-173.0,,,,,,,,,False,,,,
01031,694,272.0,,,,,816.0,,,,,-422.0,,,,,122.0,,,,,,,,,True,,,,
01033,1044,400.0,,,,,1056.0,,,,,-644.0,,,,,12.0,,,,,,,,,True,,,,
01035,270,328.0,,,,,196.0,397.0,,,,58.0,,,,,-74.0,127.0,,,,,,,,False,False,,,
01037,81,24.0,,,,,11.0,,,,,-57.0,,,,,-70.0,,,,,,,,,False,,,,
01039,717,488.0,,,,,689.0,1917.1,,,,-229.0,,,,,-28.0,1200.1,,,,,,,,True,False,,,
01041,333,32.0,,,,,637.0,280.1,,,,-301.0,,,,,304.0,-52.9,,,,,,,,False,True,,,
01043,1139,536.0,,,,,1475.0,2524.5,,,,-603.0,,,,,336.0,1385.5,,,,,,,,True,False,,,
01045,783,416.0,,,,,626.0,1409.3,,,,-367.0,,,,,-157.0,626.3,,,,,,,,True,False,,,
01047,726,1080.0,,,,,651.0,2279.6,,,,354.0,,,,,-75.0,1553.6,,,,,,,,True,False,,,
01049,1422,1432.0,,,,,1172.0,4013.1,,,,10.0,,,,,-250.0,2591.1,,,,,,,,False,False,,,
01051,1259,1056.0,,,,,1194.0,2419.5,465.5,,,-203.0,,,,,-65.0,1160.5,-793.5,,,,,,,True,False,False,,
01053,1046,976.0,,,,,668.0,1570.8,,,,-70.0,,,,,-378.0,524.8,,,,,,,,False,False,,,
01055,2026,1440.0,,,,,2142.0,4477.4,2612.4,,,-586.0,,,,,116.0,2451.4,586.4,,,,,,,True,False,False,,
01057,256,24.0,,,,,57.0,,,,,-232.0,,,,,-199.0,,,,,,,,,True,,,,
01059,642,480.0,,,,,1350.0,675.0,,,,-162.0,,,,,708.0,33.0,,,,,,,,False,True,,,
01061,346,152.0,,,,,792.0,,,,,-194.0,,,,,446.0,,,,,,,,,False,,,,
01063,96,152.0,,,,,32.0,34.1,,,,56.0,,,,,-64.0,-61.9,,,,,,,,False,False,,,
01065,245,296.0,,,,,193.0,457.7,,,,51.0,,,,,-52.0,212.7,,,,,,,,False,False,,,
01067,234,0.0,,,,,79.0,430.9,,,,-234.0,,,,,-155.0,196.9,,,,,,,,True,True,,,
01069,1546,472.0,,,,,1678.0,2805.8,,,,-1074.0,,,,,132.0,1259.8,,,,,,,,True,False,,,
01071,1036,592.0,,,,,342.0,2478.3,,,,-444.0,,,,,-694.0,1442.3,,,,,,,,False,False,,,
01073,10905,10728.0,,,,,13962.0,31228.3,16023.8,,,-177.0,,,,,3057.0,20323.3,5118.8,,,,,,,False,False,False,,
01075,209,88.0,,,,,54.0,,,,,-121.0,,,,,-155.0,,,,,,,,,False,,,,
01077,938,1008.0,,,,,1801.0,4486.1,,,,70.0,,,,,863.0,3548.1,,,,,,,,False,False,,,
01079,371,136.0,,,,,117.0,885.0,,,,-235.0,,,,,-254.0,514.0,,,,,,,,False,False,,,
01081,2984,2520.0,,,,,1940.0,7034.3,7707.9,,,-464.0,,,,,-1044.0,4050.3,4723.9,,,,,,,False,False,False,,
01083,1199,1040.0,,,,,1159.0,4991.3,,,,-159.0,,,,,-40.0,3792.3,,,,,,,,True,False,,,
01085,150,248.0,,,,,92.0,42.3,,,,98.0,,,,,-58.0,-107.7,,,,,,,,True,False,,,
01087,235,200.0,,,,,42.0,586.3,,,,-35.0,,,,,-193.0,351.3,,,,,,,,False,False,,,
01089,4918,3704.0,,,,,4625.0,18173.0,10007.7,,,-1214.0,,,,,-293.0,13255.0,5089.7,,,,,,,True,False,False,,
01091,332,304.0,,,,,315.0,490.7,,,,-28.0,,,,,-17.0,158.7,,,,,,,,True,False,,,
01093,534,248.0,,,,,266.0,749.4,,,,-286.0,,,,,-268.0,215.4,,,,,,,,True,True,,,
01095,1853,2504.0,,,,,4195.0,4830.2,6017.4,,,651.0,,,,,2342.0,2977.2,4164.4,,,,,,,False,False,False,,
01097,8020,5144.0,,,,,4332.0,9547.2,8349.1,,,-2876.0,,,,,-3688.0,1527.2,329.1,,,,,,,False,True,True,,
01099,314,376.0,,,,,292.0,907.8,,,,62.0,,,,,-22.0,593.8,,,,,,,,True,False,,,
01101,3813,3560.0,,,,,3250.0,7248.1,2676.2,,,-253.0,,,,,-563.0,3435.1,-1136.8,,,,,,,False,False,False,,
01103,1777,1312.0,,,,,3332.0,4752.9,,,,-465.0,,,,,1555.0,2975.9,,,,,,,,False,False,,,
01105,339,480.0,,,,,29.0,213.0,,,,141.0,,,,,-310.0,-126.0,,,,,,,,False,True,,,
01107,321,296.0,,,,,98.0,825.5,,,,-25.0,,,,,-223.0,504.5,,,,,,,,False,False,,,
01109,520,256.0,,,,,743.0,994.2,,,,-264.0,,,,,223.0,474.2,,,,,,,,True,False,,,
01111,304,368.0,,,,,133.0,326.9,,,,64.0,,,,,-171.0,22.9,,,,,,,,False,True,,,
01113,1047,1040.0,,,,,419.0,2713.2,,,,-7.0,,,,,-628.0,1666.2,,,,,,,,False,False,,,
01115,1425,952.0,,,,,658.0,3600.6,,,,-473.0,,,,,-767.0,2175.6,,,,,,,,False,False,,,
01117,3214,2280.0,,,,,3711.0,7550.7,4410.2,,,-934.0,,,,,497.0,4336.7,1196.2,,,,,,,True,False,False,,
01119,124,80.0,,,,,317.0,105.9,,,,-44.0,,,,,193.0,-18.1,,,,,,,,False,True,,,
01121,1427,664.0,,,,,1615.0,3239.7,506.1,,,-763.0,,,,,188.0,1812.7,-920.9,,,,,,,True,False,False,,
01123,440,392.0,,,,,522.0,548.8,,,,-48.0,,,,,82.0,108.8,,,,,,,,False,False,,,
01125,3635,3096.0,,,,,5658.0,7329.5,1772.4,,,-539.0,,,,,2023.0,3694.5,-1862.6,,,,,,,False,False,False,,
01127,952,1072.0,,,,,2049.0,2139.6,1277.7,,,120.0,,,,,1097.0,1187.6,325.7,,,,,,,False,False,False,,
01129,401,56.0,,,,,220.0,183.5,,,,-345.0,,,,,-181.0,-217.5,,,,,,,,True,True,,,
01131,218,152.0,,,,,158.0,361.4,,,,-66.0,,,,,-60.0,143.4,,,,,,,,True,False,,,
01133,309,304.0,,,,,325.0,928.2,,,,-5.0,,,,,16.0,619.2,,,,,,,,False,False,,,
02013,2,0.0,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,
02016,88,0.0,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,
02020,2567,1032.0,,,,,,3625.2,1237.6,,,-1535.0,,,,,,1058.2,-1329.4,,,,,,,,True,True,,
02050,46,16.0,,,,,,,,,,-30.0,,,,,,,,,,,,,,,,,,
02060,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02068,4,0.0,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,,
02070,5,0.0,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,,
02090,491,240.0,,,,,,442.1,,,,-251.0,,,,,,-48.9,,,,,,,,,True,,,
02100,2,0.0,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,
02105,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02110,208,16.0,,,,,,,,,,-192.0,,,,,,,,,,,,,,,,,,
02122,408,240.0,,,,,,1237.2,,,,-168.0,,,,,,829.2,,,,,,,,,False,,,
02130,31,8.0,,,,,,,,,,-23.0,,,,,,,,,,,,,,,,,,
02150,48,8.0,,,,,,,,,,-40.0,,,,,,,,,,,,,,,,,,
02158,7,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
02164,26,0.0,,,,,,,,,,-26.0,,,,,,,,,,,,,,,,,,
02170,369,344.0,,,,,,1255.1,,,,-25.0,,,,,,886.1,,,,,,,,,False,,,
02180,29,24.0,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,,
02185,40,0.0,,,,,,,,,,-40.0,,,,,,,,,,,,,,,,,,
02188,61,8.0,,,,,,,,,,-53.0,,,,,,,,,,,,,,,,,,
02195,5,8.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
02198,21,0.0,,,,,,,,,,-21.0,,,,,,,,,,,,,,,,,,
02220,36,8.0,,,,,,,,,,-28.0,,,,,,,,,,,,,,,,,,
02230,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02240,16,56.0,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,
02261,97,24.0,,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,
02275,9,0.0,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,
02282,21,0.0,,,,,,,,,,-21.0,,,,,,,,,,,,,,,,,,
02290,69,8.0,,,,,,,,,,-61.0,,,,,,,,,,,,,,,,,,
04001,919,1384.0,,,,,1501.0,924.3,1696.7,,,465.0,,,,,582.0,5.3,777.7,,,,,,,False,True,False,,
04003,1081,1616.0,,,,,298.0,5334.3,2125.5,,,535.0,,,,,-783.0,4253.3,1044.5,,,,,,,False,False,False,,
04005,1213,2976.0,,,,,1355.0,3219.3,4734.2,,,1763.0,,,,,142.0,2006.3,3521.2,,,,,,,True,False,False,,
04007,788,688.0,,,,,961.0,2060.3,,,,-100.0,,,,,173.0,1272.3,,,,,,,,False,False,,,
04009,594,360.0,,,,,247.0,1274.8,,,,-234.0,,,,,-347.0,680.8,,,,,,,,False,False,,,
04011,46,0.0,,,,,65.0,,,,,-46.0,,,,,19.0,,,,,,,,,True,,,,
04012,144,336.0,,,,,265.0,788.3,,,,192.0,,,,,121.0,644.3,,,,,,,,True,False,,,
04013,73560,139640.0,,,,,189925.0,322945.0,202917.9,,,66080.0,,,,,116365.0,249385.0,129357.9,,,,,,,False,False,False,,
04015,2239,3168.0,,,,,1559.0,9693.2,2698.3,,,929.0,,,,,-680.0,7454.2,459.3,,,,,,,True,False,True,,
04017,1748,3608.0,,,,,2776.0,7086.4,4694.4,,,1860.0,,,,,1028.0,5338.4,2946.4,,,,,,,True,False,False,,
04019,11828,17816.0,,,,,19083.0,43291.9,26373.9,,,5988.0,,,,,7255.0,31463.9,14545.9,,,,,,,False,False,False,,
04021,5287,8664.0,,,,,5535.0,20243.8,13855.1,,,3377.0,,,,,248.0,14956.8,8568.1,,,,,,,True,False,False,,
04023,823,2224.0,,,,,3537.0,794.7,,,,1401.0,,,,,2714.0,-28.3,,,,,,,,False,True,,,
04025,1406,2024.0,,,,,3858.0,10034.7,3270.6,,,618.0,,,,,2452.0,8628.7,1864.6,,,,,,,False,False,False,,
04027,5153,11056.0,,,,,8560.0,24261.4,8000.3,,,5903.0,,,,,3407.0,19108.4,2847.3,,,,,,,True,False,True,,
05001,241,88.0,,,,,44.0,,,,,-153.0,,,,,-197.0,,,,,,,,,False,,,,
05003,310,96.0,,,,,176.0,,,,,-214.0,,,,,-134.0,,,,,,,,,True,,,,
05005,110,48.0,,,,,26.0,,,,,-62.0,,,,,-84.0,,,,,,,,,False,,,,
05007,2352,3104.0,,,,,4660.0,11915.2,1883.8,,,752.0,,,,,2308.0,9563.2,-468.2,,,,,,,False,False,True,,
05009,287,56.0,,,,,148.0,,,,,-231.0,,,,,-139.0,,,,,,,,,True,,,,
05011,234,112.0,,,,,104.0,,,,,-122.0,,,,,-130.0,,,,,,,,,False,,,,
05013,23,16.0,,,,,0.0,,,,,-7.0,,,,,-23.0,,,,,,,,,False,,,,
05015,272,208.0,,,,,126.0,1267.9,,,,-64.0,,,,,-146.0,995.9,,,,,,,,False,False,,,
05017,802,312.0,,,,,220.0,577.0,,,,-490.0,,,,,-582.0,-225.0,,,,,,,,False,True,,,
05019,173,24.0,,,,,86.0,,,,,-149.0,,,,,-87.0,,,,,,,,,True,,,,
05021,113,104.0,,,,,26.0,,,,,-9.0,,,,,-87.0,,,,,,,,,False,,,,
05023,146,216.0,,,,,60.0,15.1,,,,70.0,,,,,-86.0,-130.9,,,,,,,,False,False,,,
05025,107,32.0,,,,,12.0,,,,,-75.0,,,,,-95.0,,,,,,,,,False,,,,
05027,202,120.0,,,,,90.0,,,,,-82.0,,,,,-112.0,,,,,,,,,False,,,,
05029,132,200.0,,,,,175.0,,,,,68.0,,,,,43.0,,,,,,,,,True,,,,
05031,1357,288.0,,,,,1655.0,1345.8,493.6,,,-1069.0,,,,,298.0,-11.2,-863.4,,,,,,,True,True,True,,
05033,702,584.0,,,,,3136.0,2983.3,,,,-118.0,,,,,2434.0,2281.3,,,,,,,,False,False,,,
05035,869,560.0,,,,,1356.0,1639.3,,,,-309.0,,,,,487.0,770.3,,,,,,,,False,False,,,
05037,178,24.0,,,,,124.0,,,,,-154.0,,,,,-54.0,,,,,,,,,True,,,,
05039,107,24.0,,,,,0.0,,,,,-83.0,,,,,-107.0,,,,,,,,,False,,,,
05041,178,136.0,,,,,68.0,,,,,-42.0,,,,,-110.0,,,,,,,,,False,,,,
05043,231,160.0,,,,,138.0,,,,,-71.0,,,,,-93.0,,,,,,,,,False,,,,
05045,1085,1240.0,,,,,1337.0,6113.0,,,,155.0,,,,,252.0,5028.0,,,,,,,,False,False,,,
05047,134,80.0,,,,,178.0,,,,,-54.0,,,,,44.0,,,,,,,,,True,,,,
05049,52,24.0,,,,,3.0,,,,,-28.0,,,,,-49.0,,,,,,,,,False,,,,
05051,1123,504.0,,,,,2222.0,1831.0,,,,-619.0,,,,,1099.0,708.0,,,,,,,,False,False,,,
05053,138,88.0,,,,,26.0,,,,,-50.0,,,,,-112.0,,,,,,,,,False,,,,
05055,504,72.0,,,,,204.0,1055.4,,,,-432.0,,,,,-300.0,551.4,,,,,,,,True,False,,,
05057,269,104.0,,,,,54.0,,,,,-165.0,,,,,-215.0,,,,,,,,,False,,,,
05059,1130,1304.0,,,,,519.0,1324.3,,,,174.0,,,,,-611.0,194.3,,,,,,,,False,False,,,
05061,321,192.0,,,,,163.0,817.7,,,,-129.0,,,,,-158.0,496.7,,,,,,,,False,False,,,
05063,696,72.0,,,,,179.0,,,,,-624.0,,,,,-517.0,,,,,,,,,True,,,,
05065,80,24.0,,,,,6.0,,,,,-56.0,,,,,-74.0,,,,,,,,,False,,,,
05067,153,48.0,,,,,54.0,,,,,-105.0,,,,,-99.0,,,,,,,,,True,,,,
05069,1345,456.0,,,,,477.0,459.6,479.7,,,-889.0,,,,,-868.0,-885.4,-865.3,,,,,,,True,True,True,,
05071,484,496.0,,,,,1116.0,1654.3,,,,12.0,,,,,632.0,1170.3,,,,,,,,False,False,,,
05073,45,48.0,,,,,1.0,,,,,3.0,,,,,-44.0,,,,,,,,,False,,,,
05075,149,24.0,,,,,52.0,98.6,,,,-125.0,,,,,-97.0,-50.4,,,,,,,,True,True,,,
05077,203,1376.0,,,,,92.0,481.9,,,,1173.0,,,,,-111.0,278.9,,,,,,,,True,True,,,
05079,529,40.0,,,,,137.0,19.7,,,,-489.0,,,,,-392.0,-509.3,,,,,,,,True,False,,,
05081,236,16.0,,,,,42.0,,,,,-220.0,,,,,-194.0,,,,,,,,,True,,,,
