,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1820014.0,1775676,44338.0,2.5%
USACE-ERDC_SEIR,1926281.8,1775676,150605.8,8.5%
USC-SI_kJalpha,1615461.0,1775676,-160215.0,-9.0%
CovidAnalytics-DELPHI,2018182.0,1775676,242506.0,13.7%
LANL-GrowthRate,1387083.6,1775676,-388592.4,-21.9%
QJHong-Encounter,2269247.3,1775676,493571.3,27.8%
IowaStateLW-STEM,2287636.0,1775676,511960.0,28.8%
COVIDhub-baseline,2333040.0,1775676,557364.0,31.4%
UCLA-SuEIR,2470128.9,1775676,694452.9,39.1%
JHU_IDD-CovidSP,2657551.5,1775676,881875.5,49.7%
Covid19Sim-Simulator,3105246.1,1775676,1329570.1,74.9%
IHME-CurveFit,3610488.6,1775676,1834812.6,103.3%
Karlen-pypm,3876693.8,1775676,2101017.8,118.3%
