,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,339,352.0,903.0,353.0,193.0,,,,,,513.0,328.2,,295.5,443.2,,,372.7,341.9,,,,,,13.0,564.0,14.0,-146.0,,,,,,174.0,-10.8,,-43.5,104.2,,,33.7,2.9,,,,,,False,False,False,,,,,,False,True,,False,False,,,False,True,,,,,
01003,1212,1900.0,2823.4,2076.0,774.0,,,,,,2556.0,2803.4,,2303.1,1729.2,,,1442.9,2302.5,1706.0,,,,,688.0,1611.4,864.0,-438.0,,,,,,1344.0,1591.4,,1091.1,517.2,,,230.9,1090.5,494.0,,,,,False,False,True,,,,,,False,False,,False,True,,,True,False,True,,,,
01005,89,152.0,,162.0,131.0,,,,,,249.0,146.3,,68.1,168.5,,,201.9,189.7,,,,,,63.0,,73.0,42.0,,,,,,160.0,57.3,,-20.9,79.5,,,112.9,100.7,,,,,,,False,True,,,,,,False,True,,True,False,,,False,False,,,,,
01007,163,192.0,,184.0,264.0,,,,,,186.0,202.0,,118.6,177.8,,,210.5,154.1,,,,,,29.0,,21.0,101.0,,,,,,23.0,39.0,,-44.4,14.8,,,47.5,-8.9,,,,,,,True,False,,,,,,True,False,,False,True,,,False,True,,,,,
01009,300,540.0,493.3,520.0,446.0,,,,,,499.0,722.4,,738.7,525.8,,,492.7,903.5,,,,,,240.0,193.3,220.0,146.0,,,,,,199.0,422.4,,438.7,225.8,,,192.7,603.5,,,,,,True,True,True,,,,,,True,False,,False,True,,,True,False,,,,,
01011,101,112.0,,67.0,23.0,,,,,,132.0,35.2,,21.8,90.5,,,77.7,62.0,,,,,,11.0,,-34.0,-78.0,,,,,,31.0,-65.8,,-79.2,-10.5,,,-23.3,-39.0,,,,,,,False,False,,,,,,False,False,,False,True,,,False,False,,,,,
01013,87,132.0,,120.0,133.0,,,,,,261.0,48.3,,66.2,170.9,,,111.6,78.8,,,,,,45.0,,33.0,46.0,,,,,,174.0,-38.7,,-20.8,83.9,,,24.6,-8.2,,,,,,,True,False,,,,,,False,True,,True,False,,,True,True,,,,,
01015,878,1636.0,1429.2,1664.0,2259.0,,,,,,1073.0,1557.1,,2281.2,1801.0,,,2876.0,1558.3,,,,,,758.0,551.2,786.0,1381.0,,,,,,195.0,679.1,,1403.2,923.0,,,1998.0,680.3,,,,,,True,False,False,,,,,,True,True,,False,False,,,False,True,,,,,
01017,70,160.0,,154.0,122.0,,,,,,283.0,217.1,,62.3,159.4,,,105.6,164.9,,,,,,90.0,,84.0,52.0,,,,,,213.0,147.1,,-7.7,89.4,,,35.6,94.9,,,,,,,True,True,,,,,,False,False,,True,True,,,True,False,,,,,
01019,124,120.0,,139.0,109.0,,,,,,173.0,227.6,,81.6,153.1,,,156.2,129.8,,,,,,-4.0,,15.0,-15.0,,,,,,49.0,103.6,,-42.4,29.1,,,32.2,5.8,,,,,,,False,False,,,,,,False,False,,False,False,,,False,False,,,,,
