,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,102570,126540.0,,181311.7,108413.0,213622.8,99197.0,113672.6,100188.0,77672.1,,143319.2,89662.3,74172.0,23970.0,,78741.7,5843.0,111052.8,-3373.0,11102.6,-2382.0,-24897.9,,40749.2,-12907.7,-28398.0,,False,True,False,True,True,True,False,,False,True,False
Hawaii,6519,1330.0,,1632.5,94.0,54.8,,8005.9,294.1,1802.8,,1902.2,13161.2,2988.0,-5189.0,,-4886.5,-6425.0,-6464.2,,1486.9,-6224.9,-4716.2,,-4616.8,6642.2,-3531.0,,True,False,False,,True,False,True,,True,False,True
Idaho,13842,14810.0,,38616.1,11681.0,10730.3,16408.0,24706.0,36342.0,15916.4,,12679.2,9801.8,9992.0,968.0,,24774.1,-2161.0,-3111.7,2566.0,10864.0,22500.0,2074.4,,-1162.8,-4040.2,-3850.0,,False,False,False,False,False,False,False,,False,False,False
Illinois,61944,46685.0,,56968.2,1139.0,47224.2,42826.0,84787.8,78528.5,35910.7,,63226.3,85642.6,57234.0,-15259.0,,-4975.8,-60805.0,-14719.8,-19118.0,22843.8,16584.5,-26033.3,,1282.3,23698.6,-4710.0,,True,False,True,False,False,False,False,,True,False,True
Indiana,30914,29330.0,,30578.1,9171.0,21930.0,27555.0,42558.1,58058.0,21443.2,,57524.7,43473.3,40403.0,-1584.0,,-335.9,-21743.0,-8984.0,-3359.0,11644.1,27144.0,-9470.8,,26610.7,12559.3,9489.0,,True,False,False,False,False,False,False,,False,False,False
Iowa,21726,17865.0,,24205.8,3983.0,33649.2,13143.0,22689.5,31670.1,12385.0,,17925.2,14670.9,12602.0,-3861.0,,2479.8,-17743.0,11923.2,-8583.0,963.5,9944.1,-9341.0,,-3800.8,-7055.1,-9124.0,,True,False,False,False,True,False,False,,True,False,False
Kansas,16562,16580.0,,26862.5,3149.0,4115.2,16651.0,28215.0,44549.0,10603.1,,15145.6,14000.6,13997.0,18.0,,10300.5,-13413.0,-12446.8,89.0,11653.0,27987.0,-5958.9,,-1416.4,-2561.4,-2565.0,,False,False,False,False,False,False,False,,False,False,False
Kentucky,20813,22900.0,,30093.2,14685.0,17752.6,19267.0,35832.9,60215.2,13522.4,,40701.5,29045.9,21332.0,2087.0,,9280.2,-6128.0,-3060.4,-1546.0,15019.9,39402.2,-7290.6,,19888.5,8232.9,519.0,,False,False,False,True,False,False,False,,False,False,True
Louisiana,43210,75720.0,,98292.2,44313.0,60104.5,91854.0,58252.7,96024.3,88521.8,,91659.3,51583.2,50958.0,32510.0,,55082.2,1103.0,16894.5,48644.0,15042.7,52814.3,45311.8,,48449.3,8373.2,7748.0,,False,True,True,False,True,False,False,,False,True,True
Maine,702,725.0,,283.5,282.0,1925.9,339.0,2035.8,463.1,402.8,,796.9,1147.9,864.0,23.0,,-418.5,-420.0,1223.9,-363.0,1333.8,-238.9,-299.2,,94.9,445.9,162.0,,False,False,False,False,False,False,False,,False,False,False
Maryland,24240,29240.0,,27307.6,8073.0,33003.5,19883.0,24213.0,44048.5,19637.4,,53841.8,41834.0,37983.0,5000.0,,3067.6,-16167.0,8763.5,-4357.0,-27.0,19808.5,-4602.6,,29601.8,17594.0,13743.0,,True,False,False,True,True,False,True,,False,False,False
Massachusetts,10517,10150.0,,9083.3,267.0,54573.9,8982.0,27743.3,12200.7,6717.9,,19499.8,23325.0,11294.0,-367.0,,-1433.7,-10250.0,44056.9,-1535.0,17226.3,1683.7,-3799.1,,8982.8,12808.0,777.0,,False,False,False,False,False,False,False,,False,False,False
Michigan,25514,21420.0,,30998.7,5200.0,34931.0,31410.0,71731.2,72882.7,18493.4,,34799.8,27168.9,19484.0,-4094.0,,5484.7,-20314.0,9417.0,5896.0,46217.2,47368.7,-7020.6,,9285.8,1654.9,-6030.0,,False,False,False,False,False,False,False,,False,True,False
Minnesota,23966,24105.0,,23892.9,5040.0,11829.4,28566.0,26767.7,41501.5,20095.2,,39421.0,42343.2,28501.0,139.0,,-73.1,-18926.0,-12136.6,4600.0,2801.7,17535.5,-3870.8,,15455.0,18377.2,4535.0,,True,False,False,False,False,False,False,,False,False,False
Mississippi,31048,45675.0,,53790.4,34690.0,49177.4,38469.0,33829.1,71051.6,34038.2,,40592.1,47771.3,29950.0,14627.0,,22742.4,3642.0,18129.4,7421.0,2781.1,40003.6,2990.2,,9544.1,16723.3,-1098.0,,False,True,False,True,True,False,True,,True,False,True
Missouri,42672,41650.0,,60590.2,32639.0,18764.8,29146.0,46727.0,64619.3,36801.7,,44952.9,87410.3,46001.0,-1022.0,,17918.2,-10033.0,-23907.2,-13526.0,4055.0,21947.3,-5870.3,,2280.9,44738.3,3329.0,,False,False,False,False,False,False,False,,False,False,False
Montana,3992,3940.0,,9507.0,1767.0,11797.8,4713.0,5876.0,2484.1,3589.4,,3682.7,5581.3,3086.0,-52.0,,5515.0,-2225.0,7805.8,721.0,1884.0,-1507.9,-402.6,,-309.3,1589.3,-906.0,,False,False,False,False,False,False,False,,False,False,False
Nebraska,9358,9570.0,,9953.6,1519.0,2037.2,7948.0,11911.0,4311.4,6413.4,,12126.8,12911.9,9534.0,212.0,,595.6,-7839.0,-7320.8,-1410.0,2553.0,-5046.6,-2944.6,,2768.8,3553.9,176.0,,False,False,False,False,False,False,False,,False,False,True
Nevada,26645,36695.0,,50101.3,35275.0,51196.0,32209.0,29666.4,88034.7,26644.2,,30798.6,22060.5,22715.0,10050.0,,23456.3,8630.0,24551.0,5564.0,3021.4,61389.7,-0.8,,4153.6,-4584.5,-3930.0,,False,True,False,True,True,False,True,,True,True,True
New Hampshire,831,1135.0,,568.0,102.0,1954.4,815.0,2715.4,308.8,728.7,,1217.1,2052.4,1419.0,304.0,,-263.0,-729.0,1123.4,-16.0,1884.4,-522.2,-102.3,,386.1,1221.4,588.0,,True,False,False,True,False,False,True,,False,False,False
New Jersey,13901,10220.0,,8887.9,270.0,76738.6,9232.0,18801.4,3899.4,8698.8,,6780.6,12288.2,15098.0,-3681.0,,-5013.1,-13631.0,62837.6,-4669.0,4900.4,-10001.6,-5202.2,,-7120.4,-1612.8,1197.0,,False,False,False,False,False,False,False,,False,True,True
New Mexico,6390,10260.0,,11854.0,4071.0,12745.0,8790.0,18355.7,15013.9,7102.2,,11084.6,10401.1,8256.0,3870.0,,5464.0,-2319.0,6355.0,2400.0,11965.7,8623.9,712.2,,4694.6,4011.1,1866.0,,False,True,False,True,False,False,True,,False,False,True
New York,21439,24475.0,,21648.9,637.0,95885.6,12718.0,101659.0,28352.8,14014.9,,21219.1,24432.3,22891.0,3036.0,,209.9,-20802.0,74446.6,-8721.0,80220.0,6913.8,-7424.1,,-219.9,2993.3,1452.0,,True,False,False,False,False,False,False,,True,True,True
North Carolina,56250,66645.0,,70260.0,90646.0,59474.6,77585.0,84908.2,91536.8,40664.8,,64273.7,51805.4,44719.0,10395.0,,14010.0,34396.0,3224.6,21335.0,28658.2,35286.8,-15585.2,,8023.7,-4444.6,-11531.0,,False,False,True,False,False,False,False,,True,True,False
North Dakota,5748,4145.0,,5865.8,982.0,3126.9,3574.0,4580.4,3030.5,3662.7,,6223.4,6384.1,4345.0,-1603.0,,117.8,-4766.0,-2621.1,-2174.0,-1167.6,-2717.5,-2085.3,,475.4,636.1,-1403.0,,True,False,False,False,True,False,False,,True,True,True
Ohio,38136,46815.0,,63659.6,20675.0,26510.3,41815.0,96087.3,59147.9,27615.3,,41841.7,39221.5,37725.0,8679.0,,25523.6,-17461.0,-11625.7,3679.0,57951.3,21011.9,-10520.7,,3705.7,1085.5,-411.0,,False,False,False,True,False,False,False,,True,True,True
