,predicted_cases,actual_cases,error,perc_error
COVIDhub-baseline,2832788.0,2715090,117698.0,4.3%
Columbia_UNC-SurvCon,2894743.0,2715090,179653.0,6.6%
QJHong-Encounter,2284849.2,2715090,-430240.8,-15.8%
CovidAnalytics-DELPHI,2194776.0,2715090,-520314.0,-19.2%
USACE-ERDC_SEIR,2044542.0,2715090,-670548.0,-24.7%
OliverWyman-Navigator,2040356.0,2715090,-674734.0,-24.9%
UCLA-SuEIR,3394032.3,2715090,678942.3,25.0%
LNQ-ens1,1952982.8,2715090,-762107.2,-28.1%
UMich-RidgeTfReg,1926904.4,2715090,-788185.6,-29.0%
JHU_IDD-CovidSP,1846573.3,2715090,-868516.7,-32.0%
LANL-GrowthRate,1744589.1,2715090,-970500.9,-35.7%
IowaStateLW-STEM,3782923.0,2715090,1067833.0,39.3%
RobertWalraven-ESG,1630538.6,2715090,-1084551.4,-39.9%
USC-SI_kJalpha,3960434.9,2715090,1245344.9,45.9%
Covid19Sim-Simulator,4090758.7,2715090,1375668.7,50.7%
Geneva-DetGrowth,460803.6,2715090,-2254286.4,-83.0%
