,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,136398,164878.0,,189187.5,,205305.0,262195.4,133796.5,,181416.2,99457.0,28480.0,,52789.5,,68907.0,125797.4,-2601.5,,45018.2,-36941.0,,False,,False,False,True,,False,False
Alaska,10926,12537.0,,10810.1,,,16737.5,3997.7,,9270.0,6929.0,1611.0,,-115.9,,,5811.5,-6928.3,,-1656.0,-3997.0,,True,,,False,False,,False,False
Arizona,302282,313670.0,,297999.0,,289628.0,434867.2,195423.8,,249661.2,183283.0,11388.0,,-4283.0,,-12654.0,132585.2,-106858.2,,-52620.8,-118999.0,,True,,False,False,False,,False,False
Arkansas,98593,96985.0,,105272.2,,130410.0,155639.4,67176.1,,81345.2,50796.0,-1608.0,,6679.2,,31817.0,57046.4,-31416.9,,-17247.8,-47797.0,,False,,False,False,False,,False,False
California,1335574,1946371.0,,2223285.8,,1851816.0,3884281.8,3411328.3,,1771928.0,1358561.0,610797.0,,887711.8,,516242.0,2548707.8,2075754.3,,436354.0,22987.0,,False,,True,False,False,,True,True
Colorado,89364,119147.0,,106561.0,,126561.0,109592.1,34472.3,,126471.4,69349.0,29783.0,,17197.0,,37197.0,20228.1,-54891.7,,37107.4,-20015.0,,True,,False,True,False,,False,True
Connecticut,94594,69727.0,,78227.4,,90668.0,152450.0,42164.9,,91195.9,37567.0,-24867.0,,-16366.6,,-3926.0,57856.0,-52429.1,,-3398.1,-57027.0,,True,,True,False,False,,True,False
Delaware,28199,30359.0,,31889.7,,28942.0,51280.0,15649.3,,22475.3,19790.0,2160.0,,3690.7,,743.0,23081.0,-12549.7,,-5723.7,-8409.0,,False,,True,False,False,,False,False
District of Columbia,11086,9576.0,,9810.7,,10960.0,13223.0,6204.6,,12997.3,5972.0,-1510.0,,-1275.3,,-126.0,2137.0,-4881.4,,1911.3,-5114.0,,True,,True,False,False,,False,False
Florida,557349,499961.0,,543015.8,,561091.0,730142.8,351304.5,,441620.2,316442.0,-57388.0,,-14333.2,,3742.0,172793.8,-206044.5,,-115728.8,-240907.0,,True,,True,False,False,,False,False
Georgia,334020,325416.0,,358078.7,,367808.0,488671.5,298051.0,,229627.2,191426.0,-8604.0,,24058.7,,33788.0,154651.5,-35969.0,,-104392.8,-142594.0,,False,,False,False,False,,False,False
Hawaii,5759,6167.0,,6355.4,,,8609.4,5617.2,,3853.9,3598.0,408.0,,596.4,,,2850.4,-141.8,,-1905.1,-2161.0,,False,,,False,True,,False,False
Idaho,31696,47026.0,,53593.5,,55301.0,62926.9,25009.4,,27814.2,23553.0,15330.0,,21897.5,,23605.0,31230.9,-6686.6,,-3881.8,-8143.0,,False,,False,False,True,,True,True
Illinois,226381,278425.0,,227778.9,,283697.0,381948.7,100691.0,,184225.7,159422.0,52044.0,,1397.9,,57316.0,155567.7,-125690.0,,-42155.3,-66959.0,,True,,False,False,False,,True,False
Indiana,155636,239050.0,,226339.5,,244587.0,284471.9,84930.6,,92453.0,125555.0,83414.0,,70703.5,,88951.0,128835.9,-70705.4,,-63183.0,-30081.0,,True,,False,False,True,,True,True
Iowa,54246,54838.0,,58950.5,,80434.0,72722.5,21405.2,,36202.1,31071.0,592.0,,4704.5,,26188.0,18476.5,-32840.8,,-18043.9,-23175.0,,False,,False,False,False,,False,False
Kansas,75894,65380.0,,74751.2,,92083.0,147532.1,48164.3,,73375.1,33485.0,-10514.0,,-1142.8,,16189.0,71638.1,-27729.7,,-2518.9,-42409.0,,True,,False,False,False,,True,False
