,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,644,612.0,,711.0,,518.0,426.0,,,,,572.0,,394.6,,,637.0,309.0,498.0,429.5,,366.0,435.2,,,,699.0,551.0,647.5,,,,,,588.4,,,,661.4,853.6,-32.0,,67.0,,-126.0,-218.0,,,,,-72.0,,-249.4,,,-7.0,-335.0,-146.0,-214.5,,-278.0,-208.8,,,,55.0,-93.0,3.5,,,,,,-55.6,,,,17.4,209.6,,False,,False,False,,,,,False,,False,,,True,False,False,False,,False,False,,,,False,False,True,,,,,,False,,,,True,False
01003,1923,2856.0,,2858.6,,2169.0,3754.0,,,,,1982.1,,1640.2,,,2181.0,1880.3,2332.7,1404.5,,2417.5,2073.5,,,,3039.0,1997.0,2649.7,,,,,,1602.6,2182.0,,,3823.9,3040.1,933.0,,935.6,,246.0,1831.0,,,,,59.1,,-282.8,,,258.0,-42.7,409.7,-518.5,,494.5,150.5,,,,1116.0,74.0,726.7,,,,,,-320.4,259.0,,,1900.9,1117.1,,False,,True,False,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,False,False
01005,235,246.0,,219.8,,196.0,196.0,,,,,188.0,,168.9,,,205.0,109.2,210.8,,,287.0,200.3,,,,278.0,192.0,175.2,,,,,,,,,,303.7,248.9,11.0,,-15.2,,-39.0,-39.0,,,,,-47.0,,-66.1,,,-30.0,-125.8,-24.2,,,52.0,-34.7,,,,43.0,-43.0,-59.8,,,,,,,,,,68.7,13.9,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
01007,170,237.0,,220.7,,195.0,111.0,,,,,204.7,,158.3,,,260.0,104.8,193.2,,,148.0,159.5,,,,220.0,203.0,172.4,,,,,,294.9,,,,290.5,297.1,67.0,,50.7,,25.0,-59.0,,,,,34.7,,-11.7,,,90.0,-65.2,23.2,,,-22.0,-10.5,,,,50.0,33.0,2.4,,,,,,124.9,,,,120.5,127.1,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,True,True,True,,,,,,False,,,,False,False
01009,497,510.0,,501.4,,454.0,528.0,,,,,516.3,,359.5,,,787.0,339.5,428.3,170.5,,283.0,348.8,,,,497.0,458.0,413.5,,,,,,290.0,,,,626.0,655.9,13.0,,4.4,,-43.0,31.0,,,,,19.3,,-137.5,,,290.0,-157.5,-68.7,-326.5,,-214.0,-148.2,,,,0.0,-39.0,-83.5,,,,,,-207.0,,,,129.0,158.9,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,True,False,False,,,,,,False,,,,False,False
01011,113,138.0,,133.1,,88.0,126.0,,,,,92.8,,88.6,,,75.0,56.0,104.4,,,88.0,80.6,,,,169.0,91.0,57.3,,,,,,,,,,128.2,155.9,25.0,,20.1,,-25.0,13.0,,,,,-20.2,,-24.4,,,-38.0,-57.0,-8.6,,,-25.0,-32.4,,,,56.0,-22.0,-55.7,,,,,,,,,,15.2,42.9,,True,,False,True,,,,,True,,True,,,False,False,True,,,False,False,,,,False,True,False,,,,,,,,,,True,False
01013,167,141.0,,150.3,,135.0,76.0,,,,,162.4,,104.0,,,178.0,92.3,181.6,,,111.0,112.0,,,,133.0,127.0,154.3,,,,,,,,,,181.4,166.1,-26.0,,-16.7,,-32.0,-91.0,,,,,-4.6,,-63.0,,,11.0,-74.7,14.6,,,-56.0,-55.0,,,,-34.0,-40.0,-12.7,,,,,,,,,,14.4,-0.9,,True,,False,False,,,,,True,,False,,,True,False,True,,,False,False,,,,False,False,True,,,,,,,,,,True,True
01015,1133,1254.0,,1131.6,,1087.0,839.0,,,,,1104.4,,800.4,,,1413.0,1092.1,1105.8,469.5,,750.0,910.3,,,,1321.0,1010.0,2122.5,,,,,,984.3,,,,1460.2,1609.4,121.0,,-1.4,,-46.0,-294.0,,,,,-28.6,,-332.6,,,280.0,-40.9,-27.2,-663.5,,-383.0,-222.7,,,,188.0,-123.0,989.5,,,,,,-148.7,,,,327.2,476.4,,True,,True,False,,,,,True,,False,,,False,True,True,False,,False,False,,,,False,False,False,,,,,,False,,,,False,False
01017,284,648.0,,663.2,,439.0,512.0,,,,,316.1,,330.9,,,319.0,431.9,358.6,403.5,,484.0,386.4,,,,752.0,418.0,442.5,,,,,,539.3,,,,851.8,459.4,364.0,,379.2,,155.0,228.0,,,,,32.1,,46.9,,,35.0,147.9,74.6,119.5,,200.0,102.4,,,,468.0,134.0,158.5,,,,,,255.3,,,,567.8,175.4,,False,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,,,,False,True
01019,92,153.0,,144.7,,130.0,52.0,,,,,150.4,,143.1,,,302.0,72.7,145.5,,,118.0,128.8,,,,161.0,146.0,143.5,,,,,,,,,,150.6,183.8,61.0,,52.7,,38.0,-40.0,,,,,58.4,,51.1,,,210.0,-19.3,53.5,,,26.0,36.8,,,,69.0,54.0,51.5,,,,,,,,,,58.6,91.8,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,True,True,,,,,,,,,,True,False
01021,275,270.0,,290.3,,272.0,61.0,,,,,310.2,,227.7,,,505.0,76.8,297.7,278.0,,222.0,208.3,,,,230.0,262.0,526.1,,,,,,188.2,,,,360.1,383.5,-5.0,,15.3,,-3.0,-214.0,,,,,35.2,,-47.3,,,230.0,-198.2,22.7,3.0,,-53.0,-66.7,,,,-45.0,-13.0,251.1,,,,,,-86.8,,,,85.1,108.5,,False,,True,False,,,,,False,,False,,,False,False,False,True,,False,False,,,,False,False,False,,,,,,False,,,,False,False
