,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1734,1614.0,827.0,,,,,1327.0,572.2,988.4,1443.0,,,687.5,,,-120.0,-907.0,,,,,-407.0,-1161.8,-745.6,-291.0,,,-1046.5,,,False,,,,,False,False,False,False,,,False,,
01003,5096,7482.0,19137.0,,,,,4413.0,5631.4,4403.3,8056.0,,,4412.8,6284.0,,2386.0,14041.0,,,,,-683.0,535.4,-692.7,2960.0,,,-683.2,1188.0,,False,,,,,True,True,True,False,,,True,True,
01005,512,780.0,1585.0,,,,,534.0,1720.0,396.2,597.0,,,,,,268.0,1073.0,,,,,22.0,1208.0,-115.8,85.0,,,,,,False,,,,,True,False,True,True,,,,,
01007,530,744.0,390.0,,,,,540.0,346.1,416.1,717.0,,,,,,214.0,-140.0,,,,,10.0,-183.9,-113.9,187.0,,,,,,True,,,,,True,True,True,True,,,,,
01009,1230,1698.0,1083.0,,,,,1537.0,485.6,896.1,1127.5,,,1141.8,,,468.0,-147.0,,,,,307.0,-744.4,-333.9,-102.5,,,-88.2,,,True,,,,,True,False,True,True,,,True,,
01011,255,402.0,677.0,,,,,150.0,1692.0,207.8,562.0,,,,,,147.0,422.0,,,,,-105.0,1437.0,-47.2,307.0,,,,,,False,,,,,True,False,True,False,,,,,
01013,368,504.0,415.0,,,,,399.0,416.0,310.1,496.0,,,,,,136.0,47.0,,,,,31.0,48.0,-57.9,128.0,,,,,,True,,,,,True,True,True,True,,,,,
01015,2937,2964.0,1795.0,,,,,3257.0,749.3,2229.3,2323.0,,,1313.2,,,27.0,-1142.0,,,,,320.0,-2187.7,-707.7,-614.0,,,-1623.8,,,False,,,,,False,False,False,False,,,False,,
01017,932,1098.0,2312.0,,,,,756.0,1574.5,487.2,2094.5,,,703.9,,,166.0,1380.0,,,,,-176.0,642.5,-444.8,1162.5,,,-228.1,,,False,,,,,False,False,False,False,,,False,,
01019,308,402.0,84.0,,,,,626.0,157.7,328.2,242.5,,,,,,94.0,-224.0,,,,,318.0,-150.3,20.2,-65.5,,,,,,False,,,,,False,False,True,True,,,,,
