,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,40414,56283.0,61277.6,52033.1,51330.0,51170.0,,52909.4,45467.0,51140.1,,54059.3,,46703.5,54451.0,30231.7,54147.0,46060.3,55180.0,31036.0,40902.5,39709.8,41087.8,57772.2,57866.7,57294.0,50554.0,,51569.7,,63792.3,,48423.3,84875.5,66691.5,53710.0,68288.6,,15869.0,20863.6,11619.1,10916.0,10756.0,,12495.4,5053.0,10726.1,,13645.3,,6289.5,14037.0,-10182.3,13733.0,5646.3,14766.0,-9378.0,488.5,-704.2,673.8,17358.2,17452.7,16880.0,10140.0,,11155.7,,23378.3,,8009.3,44461.5,26277.5,13296.0,27874.6,,False,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,False,False,False,True,,True,,False,,True,False,False,True,False,
Alaska,3255,4491.0,2730.2,4349.2,3513.0,1708.0,,4371.3,12509.0,3486.6,,4044.3,,3490.1,,3332.5,4883.0,3419.1,2697.5,3099.0,2612.5,2969.6,2392.5,8435.9,4049.7,4464.0,5876.0,,2816.8,,2593.2,,4356.7,2596.6,7206.0,3667.0,5094.0,,1236.0,-524.8,1094.2,258.0,-1547.0,,1116.3,9254.0,231.6,,789.3,,235.1,,77.5,1628.0,164.1,-557.5,-156.0,-642.5,-285.4,-862.5,5180.9,794.7,1209.0,2621.0,,-438.2,,-661.8,,1101.7,-658.4,3951.0,412.0,1839.0,,True,True,True,False,,True,False,True,,True,,True,,True,False,True,True,True,True,True,True,False,True,True,False,,True,,True,,True,True,False,True,False,
Arizona,79966,145368.0,129308.6,141311.7,134520.0,202744.0,,148780.2,127453.0,143045.7,,114648.4,,136979.7,133807.0,82262.5,148037.0,127508.7,140853.5,102086.4,99282.5,127169.5,118963.6,90615.1,156445.2,152670.0,109378.0,,135377.1,,122190.6,,127351.8,254038.8,155649.9,136423.0,220838.9,,65402.0,49342.6,61345.7,54554.0,122778.0,,68814.2,47487.0,63079.7,,34682.4,,57013.7,53841.0,2296.5,68071.0,47542.7,60887.5,22120.4,19316.5,47203.5,38997.6,10649.1,76479.2,72704.0,29412.0,,55411.1,,42224.6,,47385.8,174072.8,75683.9,56457.0,140872.9,,True,True,True,False,,False,True,True,,True,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,False,True,False,
Arkansas,29567,38451.0,37982.1,37297.9,34984.0,25322.0,,41605.3,34816.0,36983.9,,35564.4,,34960.0,43196.0,16741.6,37821.0,30133.8,39084.0,33677.6,25193.5,26796.1,26859.8,32686.0,49570.3,42402.0,35372.0,,32737.5,,24744.1,,34789.5,76197.1,45141.8,30793.0,49472.3,,8884.0,8415.1,7730.9,5417.0,-4245.0,,12038.3,5249.0,7416.9,,5997.4,,5393.0,13629.0,-12825.4,8254.0,566.8,9517.0,4110.6,-4373.5,-2770.9,-2707.2,3119.0,20003.3,12835.0,5805.0,,3170.5,,-4822.9,,5222.5,46630.1,15574.8,1226.0,19905.3,,True,True,True,True,,False,True,True,,True,,True,False,False,True,True,False,True,True,True,True,True,False,False,True,,True,,True,,True,False,False,True,False,
California,312200,563616.0,640429.8,572928.2,521325.0,377154.0,,577874.3,284451.0,610862.9,,573209.5,,376576.3,593185.0,456266.2,657239.0,499494.8,445713.5,550461.7,267156.5,394821.6,429980.9,637171.9,619700.3,637673.0,369256.0,,480484.2,,681465.8,,549030.0,1013854.6,546743.2,415794.0,789258.5,,251416.0,328229.8,260728.2,209125.0,64954.0,,265674.3,-27749.0,298662.9,,261009.5,,64376.3,280985.0,144066.2,345039.0,187294.8,133513.5,238261.7,-45043.5,82621.6,117780.9,324971.9,307500.3,325473.0,57056.0,,168284.2,,369265.8,,236830.0,701654.6,234543.2,103594.0,477058.5,,False,False,True,True,,False,True,False,,False,,True,False,True,False,True,True,True,True,True,True,False,False,False,True,,True,,False,,True,False,True,True,False,
Colorado,28017,34449.0,24079.6,32462.6,31459.0,26450.0,,34945.8,31377.0,28909.9,,35429.3,,27179.6,32395.0,12354.9,36988.0,34189.8,36021.0,26726.0,25048.5,24949.7,25192.0,27473.5,38581.7,34344.0,39575.0,,31671.8,,12991.3,,41166.8,45332.3,33251.6,28723.0,42492.8,,6432.0,-3937.4,4445.6,3442.0,-1567.0,,6928.8,3360.0,892.9,,7412.3,,-837.4,4378.0,-15662.1,8971.0,6172.8,8004.0,-1291.0,-2968.5,-3067.3,-2825.0,-543.5,10564.7,6327.0,11558.0,,3654.8,,-15025.7,,13149.8,17315.3,5234.6,706.0,14475.8,,True,True,True,True,,False,True,True,,False,,True,True,False,False,True,False,True,True,True,True,True,False,True,False,,True,,False,,False,False,True,True,False,
Connecticut,29522,43179.0,38757.0,46720.4,42889.0,68253.0,,45166.2,91101.0,1079982.4,,36781.1,,43785.1,44896.0,22690.9,41497.0,38804.0,40215.0,43427.1,33914.0,32220.1,21151.3,36075.6,49911.0,44045.0,40588.0,,50652.6,,26223.3,,25012.0,63188.6,54545.1,31022.0,47502.2,,13657.0,9235.0,17198.4,13367.0,38731.0,,15644.2,61579.0,1050460.4,,7259.1,,14263.1,15374.0,-6831.1,11975.0,9282.0,10693.0,13905.1,4392.0,2698.1,-8370.7,6553.6,20389.0,14523.0,11066.0,,21130.6,,-3298.7,,-4510.0,33666.6,25023.1,1500.0,17980.2,,True,False,True,False,,False,False,False,,True,,False,False,True,True,True,True,False,True,True,True,True,False,False,True,,False,,True,,True,False,False,True,False,
Delaware,8757,13629.0,11059.3,13719.2,12596.0,13494.0,,13822.3,8320.0,15635.3,,14638.1,,12785.3,12742.0,7724.8,14062.0,9608.0,11102.0,12830.0,9299.0,11440.5,11474.4,10519.8,15607.9,14607.0,12204.0,,14729.6,,13319.3,,11949.9,19730.7,14849.8,12019.0,17210.2,,4872.0,2302.3,4962.2,3839.0,4737.0,,5065.3,-437.0,6878.3,,5881.1,,4028.3,3985.0,-1032.2,5305.0,851.0,2345.0,4073.0,542.0,2683.5,2717.4,1762.8,6850.9,5850.0,3447.0,,5972.6,,4562.3,,3192.9,10973.7,6092.8,3262.0,8453.2,,True,False,True,True,,False,True,False,,False,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,False,,True,,True,False,False,True,False,
District of Columbia,3719,4620.0,4995.0,4577.0,4757.0,3718.0,,5092.3,14414.0,4831.8,,3361.7,,4831.6,5047.0,4917.0,5066.0,4647.2,3743.5,5333.3,3231.5,3910.7,,,,5312.0,2316.0,,4632.9,,5080.3,,4759.2,8060.2,,4346.0,4002.2,,901.0,1276.0,858.0,1038.0,-1.0,,1373.3,10695.0,1112.8,,-357.3,,1112.6,1328.0,1198.0,1347.0,928.2,24.5,1614.3,-487.5,191.7,,,,1593.0,-1403.0,,913.9,,1361.3,,1040.2,4341.2,,627.0,283.2,,False,True,False,True,,False,False,False,,True,,False,False,False,False,False,True,False,True,True,,,,False,False,,False,,False,,False,False,,True,True,
Florida,182023,239184.0,225884.0,237902.3,226797.0,236196.0,,257671.8,1259820.0,219782.2,,193178.5,,208305.6,231777.0,142918.5,,229997.5,256364.0,208941.2,180979.5,198076.4,305999.9,198899.2,263437.2,271742.0,233559.0,,257362.3,,205998.1,,229020.4,391006.8,218192.5,220176.0,317589.8,,57161.0,43861.0,55879.3,44774.0,54173.0,,75648.8,1077797.0,37759.2,,11155.5,,26282.6,49754.0,-39104.5,,47974.5,74341.0,26918.2,-1043.5,16053.4,123976.9,16876.2,81414.2,89719.0,51536.0,,75339.3,,23975.1,,46997.4,208983.8,36169.5,38153.0,135566.8,,True,True,True,True,,False,False,True,,True,,True,True,True,,True,False,True,True,True,False,True,False,False,True,,False,,True,,True,False,True,True,False,
