,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,9256533.4,9876813,-620279.6,-6.3%
IowaStateLW-STEM,11871322.0,9876813,1994509.0,20.2%
IBF-TimeSeries,11882257.0,9876813,2005444.0,20.3%
COVIDhub-baseline,12098976.0,9876813,2222163.0,22.5%
UCF-AEM,12162261.0,9876813,2285448.0,23.1%
Covid19Sim-Simulator,12225821.3,9876813,2349008.3,23.8%
USC-SI_kJalpha,6183977.0,9876813,-3692836.0,-37.4%
JHUAPL-Bucky,14536009.4,9876813,4659196.4,47.2%
JCB-PRM,22734746.9,9876813,12857933.9,130.2%
Columbia_UNC-SurvCon,26806481.0,9876813,16929668.0,171.4%
