,mean_rank
UCLA-SuEIR,6.9
JHU_IDD-CovidSP,7.1
RobertWalraven-ESG,8.1
LANL-GrowthRate,9.9
TTU-squider,9.9
LNQ-ens1,10.2
OneQuietNight-ML,10.8
MOBS-GLEAM_COVID,11.0
Karlen-pypm,11.9
JHUAPL-Bucky,12.2
CU-select,12.4
CovidAnalytics-DELPHI,13.2
COVIDhub-ensemble,13.3
USC-SI_kJalpha,13.6
BPagano-RtDriven,13.7
MIT_ISOLAT-Mixtures,14.3
CEID-Walk,14.8
COVIDhub-baseline,15.4
UMich-RidgeTfReg,17.0
Covid19Sim-Simulator,17.3
Microsoft-DeepSTIA,17.5
IEM_MED-CovidProject,18.7
IowaStateLW-STEM,19.7
DDS-NBDS,19.9
JHU_CSSE-DECOM,20.1
UVA-Ensemble,21.8
Google_Harvard-CPF,22.4
UCSB-ACTS,22.7
