,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3140,88.3,19.4,343.5,0.0,6.4,59.6,10174.5
FAIR-NRAR,3137,110.6,25.3,505.0,0.0,8.5,71.8,20975.5
LANL-GrowthRate,3111,113.7,29.0,421.8,0.0,10.0,83.5,15542.0
OneQuietNight-ML,3135,118.1,31.0,382.7,0.0,11.0,86.0,8830.0
COVIDhub-ensemble,3141,129.9,27.0,548.2,0.0,9.0,81.0,15803.0
UChicagoCHATTOPADHYAY-UnIT,3093,136.2,31.1,629.2,0.0,11.7,89.8,27897.7
COVIDhub-trained_ensemble,3141,143.5,33.0,601.6,0.0,12.0,96.0,18990.0
JHU_IDD-CovidSP,3141,145.9,27.5,995.0,0.0,9.1,84.3,48054.0
UVA-Ensemble,3131,177.4,35.7,828.8,0.0,11.4,106.7,28491.0
Google_Harvard-CPF,3140,188.5,34.1,664.6,0.0,11.0,106.1,12928.3
COVIDhub-baseline,3141,215.6,40.0,1020.7,0.0,12.0,131.0,38283.0
CEID-Walk,3141,217.7,40.5,1056.9,0.0,12.0,132.9,41574.0
OliverWyman-Navigator,3003,224.2,43.0,933.5,0.0,13.0,139.0,28569.0
JHUAPL-Bucky,3141,227.0,40.5,1074.3,0.0,12.7,120.1,29761.7
CU-select,3096,230.1,31.0,1180.7,0.0,11.0,98.0,35720.0
IowaStateLW-STEM,3103,253.8,53.0,1592.2,0.0,17.0,156.0,68116.0
UpstateSU-GRU,2770,287.4,61.5,1475.0,0.0,19.9,179.6,55286.1
PandemicCentral-USCounty,2878,309.4,67.7,1190.8,0.0,21.2,201.6,32383.4
