,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,110398,156000.0,241746.0,,147469.8,185992.0,,147458.0,104403.3,90351.1,126090.0,,169474.3,99023.0,133770.8,45602.0,131348.0,,37071.8,75594.0,,37060.0,-5994.7,-20046.9,15692.0,,59076.3,-11375.0,23372.8,False,,True,False,,True,True,True,True,,False,True,True
Alaska,8604,13932.0,15879.0,,9539.5,2997.0,,,21804.2,6869.3,15159.0,,8460.2,7416.0,5594.0,5328.0,7275.0,,935.5,-5607.0,,,13200.2,-1734.7,6555.0,,-143.8,-1188.0,-3010.0,False,,True,False,,,False,True,False,,True,True,True
Arizona,256173,276654.0,398786.0,,239161.2,245661.0,,242500.0,322603.0,229422.7,347692.0,,235339.3,204239.0,172167.9,20481.0,142613.0,,-17011.8,-10512.0,,-13673.0,66430.0,-26750.3,91519.0,,-20833.7,-51934.0,-84005.1,False,,True,True,,True,False,False,False,,False,False,False
Arkansas,81120,104838.0,174241.0,,92950.1,62293.0,,101904.0,119497.5,54129.0,95224.0,,100364.4,58886.0,95265.4,23718.0,93121.0,,11830.1,-18827.0,,20784.0,38377.5,-26991.0,14104.0,,19244.4,-22234.0,14145.4,False,,True,True,,True,False,False,True,,True,True,True
California,1064982,1607682.0,1796909.0,,1835399.4,978377.0,,1358933.0,1210890.8,994659.0,1428124.0,,1543259.4,1103022.0,,542700.0,731927.0,,770417.4,-86605.0,,293951.0,145908.8,-70323.0,363142.0,,478277.4,38040.0,,False,,False,True,,True,True,True,True,,True,True,
Colorado,73811,93318.0,145759.0,,87244.8,20338.0,,74845.0,55569.4,46353.6,91667.0,,83184.6,54758.0,46875.5,19507.0,71948.0,,13433.8,-53473.0,,1034.0,-18241.6,-27457.4,17856.0,,9373.6,-19053.0,-26935.5,False,,True,False,,True,True,False,True,,True,True,False
Connecticut,77217,104262.0,408392.0,,80316.4,21054.0,,75078.0,161242.7,87273.6,44865.0,,120357.4,33403.0,39450.1,27045.0,331175.0,,3099.4,-56163.0,,-2139.0,84025.7,10056.6,-32352.0,,43140.4,-43814.0,-37766.9,False,,True,False,,True,False,True,False,,False,False,False
Delaware,23799,26400.0,33072.0,,26359.1,26646.0,,23977.0,23225.4,17952.1,22572.0,,10662.4,17695.0,16183.5,2601.0,9273.0,,2560.1,2847.0,,178.0,-573.6,-5846.9,-1227.0,,-13136.6,-6104.0,-7615.5,False,,True,False,,True,True,False,True,,False,False,False
District of Columbia,9287,10794.0,18646.0,,10601.5,3801.0,,8915.0,15691.2,9664.4,8088.0,,8065.7,6087.0,8197.6,1507.0,9359.0,,1314.5,-5486.0,,-372.0,6404.2,377.4,-1199.0,,-1221.3,-3200.0,-1089.4,False,,True,False,,True,False,True,True,,True,False,True
Florida,467104,541470.0,1291678.0,,523979.0,389275.0,,359695.0,541014.0,466778.5,564132.5,,482190.8,352094.0,,74366.0,824574.0,,56875.0,-77829.0,,-107409.0,73910.0,-325.5,97028.5,,15086.8,-115010.0,,False,,True,False,,False,True,True,False,,True,False,
Georgia,277686,338004.0,438055.0,,359436.0,178101.0,,312834.0,277522.0,192607.8,369337.5,,307382.3,216935.0,,60318.0,160369.0,,81750.0,-99585.0,,35148.0,-164.0,-85078.2,91651.5,,29696.3,-60751.0,,False,,False,False,,True,True,False,False,,True,False,
Hawaii,4834,5550.0,63047.0,,5207.3,1284.0,,,6001.5,17596.0,5960.0,,3425.2,3122.0,4681.4,716.0,58213.0,,373.3,-3550.0,,,1167.5,12762.0,1126.0,,-1408.8,-1712.0,-152.6,False,,True,False,,,False,False,False,,False,False,True
Idaho,25284,38472.0,56965.0,,34683.5,14584.0,,35119.0,17530.4,28065.6,26952.5,,27154.7,21858.0,17307.9,13188.0,31681.0,,9399.5,-10700.0,,9835.0,-7753.6,2781.6,1668.5,,1870.7,-3426.0,-7976.1,False,,True,True,,True,True,True,True,,True,True,True
Illinois,185171,247260.0,493129.0,,206270.9,39489.0,,203816.0,161588.5,154555.1,221189.5,,181648.2,132619.0,,62089.0,307958.0,,21099.9,-145682.0,,18645.0,-23582.5,-30615.9,36018.5,,-3522.8,-52552.0,,False,,True,False,,True,True,True,True,,True,True,
Indiana,124567,186414.0,269325.0,,178089.9,70858.0,,162790.0,118539.5,113633.9,132960.0,,197030.5,109042.0,104566.0,61847.0,144758.0,,53522.9,-53709.0,,38223.0,-6027.5,-10933.1,8393.0,,72463.5,-15525.0,-20001.0,False,,True,True,,True,True,True,True,,False,True,True
Iowa,45144,54612.0,54630.0,,51737.5,23160.0,,52829.0,31966.1,38836.3,43304.5,,20895.9,26386.0,30965.1,9468.0,9486.0,,6593.5,-21984.0,,7685.0,-13177.9,-6307.7,-1839.5,,-24248.1,-18758.0,-14178.9,False,,True,False,,True,False,True,True,,False,False,False
Kansas,58524,103950.0,280477.0,,79302.6,67251.0,,66164.0,190260.1,47753.7,148840.0,,109489.6,46952.0,51982.3,45426.0,221953.0,,20778.6,8727.0,,7640.0,131736.1,-10770.3,90316.0,,50965.6,-11572.0,-6541.7,False,,True,True,,True,False,True,False,,False,True,True
