,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,80706,148460.0,233392.0,,142031.1,87922.0,,155593.0,98974.8,83031.9,183488.0,138630.5,,,151633.3,110173.0,67754.0,152686.0,,61325.1,7216.0,,74887.0,18268.8,2325.9,102782.0,57924.5,,,70927.3,29467.0,False,,True,True,,False,True,True,False,True,,,False,True
Alaska,6447,10785.0,6389.0,,10444.3,42405.0,,,22453.3,6219.1,5382.7,9192.0,,,13568.7,6932.0,4338.0,-58.0,,3997.3,35958.0,,,16006.3,-227.9,-1064.3,2745.0,,,7121.7,485.0,True,,True,False,,,False,True,True,True,,,False,True
Arizona,187978,340975.0,608613.0,,322627.3,196457.0,,295818.0,492303.3,199181.9,365019.7,355189.5,,,271342.6,243450.0,152997.0,420635.0,,134649.3,8479.0,,107840.0,304325.3,11203.9,177041.7,167211.5,,,83364.6,55472.0,False,,True,True,,True,False,True,False,False,,,True,True
Arkansas,60816,101520.0,120352.0,,101109.2,61284.0,,123575.0,132077.1,49829.1,83095.9,100190.0,,,88997.7,74638.0,40704.0,59536.0,,40293.2,468.0,,62759.0,71261.1,-10986.9,22279.9,39374.0,,,28181.7,13822.0,False,,True,True,,False,False,True,True,True,,,True,True
California,775745,1433525.0,2802417.0,,1480301.7,643747.0,,1213089.0,952067.4,893221.1,1393709.5,1412221.0,,,1314868.6,1198910.0,657780.0,2026672.0,,704556.7,-131998.0,,437344.0,176322.4,117476.1,617964.5,636476.0,,,539123.6,423165.0,False,,False,True,,True,True,True,True,True,,,True,True
Colorado,54036,98875.0,237171.0,,81492.4,15762.0,,83201.0,59124.5,41071.9,49293.4,102812.0,,,121477.8,66626.0,44839.0,183135.0,,27456.4,-38274.0,,29165.0,5088.5,-12964.1,-4742.6,48776.0,,,67441.8,12590.0,False,,True,True,,True,True,True,True,False,,,False,True
Connecticut,61343,79370.0,144214.0,,74385.8,32831.0,,78218.0,130856.9,76648.1,69386.3,58616.0,,,77702.3,60328.0,18027.0,82871.0,,13042.8,-28512.0,,16875.0,69513.9,15305.1,8043.3,-2727.0,,,16359.3,-1015.0,False,,True,False,,True,False,True,True,True,,,True,True
Delaware,18197,28010.0,44913.0,,26054.5,11291.0,,23819.0,20467.4,17705.4,23739.2,30166.0,,,17802.5,19498.0,9813.0,26716.0,,7857.5,-6906.0,,5622.0,2270.4,-491.6,5542.2,11969.0,,,-394.5,1301.0,False,,True,True,,True,True,True,True,False,,,True,True
District of Columbia,7339,9740.0,11659.0,,9786.3,5648.0,,8824.0,11740.2,12432.7,9955.0,11103.0,,,8356.4,7340.0,2401.0,4320.0,,2447.3,-1691.0,,1485.0,4401.2,5093.7,2616.0,3764.0,,,1017.4,1.0,False,,False,True,,True,False,False,False,False,,,True,True
Florida,357240,549320.0,880082.0,,606899.0,3131176.0,,479736.0,739544.7,428322.2,653731.7,570329.0,,,439225.3,383721.0,192080.0,522842.0,,249659.0,2773936.0,,122496.0,382304.7,71082.2,296491.7,213089.0,,,81985.3,26481.0,False,,False,False,,True,False,True,False,False,,,True,True
