,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,59175,86124.0,119206.9,79360.4,82010.0,75220.0,,94258.6,69469.0,120697.9,97740.0,,81607.9,96452.0,78344.7,87032.0,68199.1,149599.9,47916.0,66156.7,84220.6,86005.2,92857.6,71435.0,,66599.1,,90305.1,,76491.5,148819.8,76280.9,88490.0,105732.6,,26949.0,60031.9,20185.4,22835.0,16045.0,,35083.6,10294.0,61522.9,38565.0,,22432.9,37277.0,19169.7,27857.0,9024.1,90424.9,-11259.0,6981.7,25045.6,26830.2,33682.6,12260.0,,7424.1,,31130.1,,17316.5,89644.8,17105.9,29315.0,46557.6,,False,True,True,True,,False,True,False,False,,True,False,True,False,True,False,True,True,True,True,False,True,,True,,False,,True,False,True,False,False,
Alaska,4752,6780.0,5689.8,6116.6,6559.0,2889.0,,6769.7,33693.0,6977.7,8693.1,,6297.5,,8966.2,8074.0,4989.9,4485.5,5682.0,6709.7,12052.9,8055.5,7317.4,7705.0,,5256.6,,3968.1,,5603.5,3673.5,10577.1,6207.0,7783.9,,2028.0,937.8,1364.6,1807.0,-1863.0,,2017.7,28941.0,2225.7,3941.1,,1545.5,,4214.2,3322.0,237.9,-266.5,930.0,1957.7,7300.9,3303.5,2565.4,2953.0,,504.6,,-783.9,,851.5,-1078.5,5825.1,1455.0,3031.9,,True,True,True,True,,True,False,False,False,,True,,False,False,True,True,True,True,False,False,False,False,,True,,True,,True,True,False,True,False,
Arizona,128422,238224.0,213242.3,231363.3,238085.0,379289.0,,254147.6,177323.0,391837.0,169865.0,,252005.9,223599.0,219645.5,248727.0,171969.2,264152.3,200187.0,186914.1,272535.3,241876.2,239753.5,179595.0,,243241.9,,176335.5,,173599.8,374334.0,235373.2,252911.0,210637.6,,109802.0,84820.3,102941.3,109663.0,250867.0,,125725.6,48901.0,263415.0,41443.0,,123583.9,95177.0,91223.5,120305.0,43547.2,135730.3,71765.0,58492.1,144113.3,113454.2,111331.5,51173.0,,114819.9,,47913.5,,45177.8,245912.0,106951.2,124489.0,82215.6,,True,True,True,False,,False,True,False,True,,False,True,True,False,True,False,True,True,False,False,False,True,,False,,True,,True,False,True,False,True,
Arkansas,42384,73728.0,66962.5,72883.2,67963.0,56856.0,,75892.2,46559.0,89250.1,83106.8,,69655.2,82722.0,50265.3,72763.0,46979.0,66462.5,59996.5,55833.5,84575.3,69590.6,79331.1,62320.0,,54433.6,,37047.7,,54041.1,103703.9,78550.7,67987.0,106389.0,,31344.0,24578.5,30499.2,25579.0,14472.0,,33508.2,4175.0,46866.1,40722.8,,27271.2,40338.0,7881.3,30379.0,4595.0,24078.5,17612.5,13449.5,42191.3,27206.6,36947.1,19936.0,,12049.6,,-5336.3,,11657.1,61319.9,36166.7,25603.0,64005.0,,True,True,True,True,,False,True,False,False,,True,False,True,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,False,True,False,
California,497079,1138404.0,1218445.3,1144603.9,1066088.0,1609112.0,,1097409.5,419653.0,1753071.8,997253.2,,1068946.1,1111639.0,781185.5,1149118.0,795584.3,969273.3,941704.5,885740.9,731763.7,1226935.8,1037100.1,817320.0,,909493.7,,996011.5,,995293.0,1342159.8,1333066.5,1103953.0,1517550.6,,641325.0,721366.3,647524.9,569009.0,1112033.0,,600330.5,-77426.0,1255992.8,500174.2,,571867.1,614560.0,284106.5,652039.0,298505.3,472194.3,444625.5,388661.9,234684.7,729856.8,540021.1,320241.0,,412414.7,,498932.5,,498214.0,845080.8,835987.5,606874.0,1020471.6,,False,False,True,False,,True,True,False,True,,True,True,True,False,True,True,True,True,True,False,True,True,,True,,True,,True,False,False,True,False,
Colorado,39500,58144.0,51348.2,63105.1,53413.0,48357.0,,60753.2,11176.0,53234.4,87180.4,,51066.8,58509.0,46024.4,69495.0,53253.2,38014.3,47892.5,52513.5,83098.7,35803.1,57591.3,53942.0,,49240.5,,20832.4,,40567.7,66145.6,49219.6,55800.0,77413.1,,18644.0,11848.2,23605.1,13913.0,8857.0,,21253.2,-28324.0,13734.4,47680.4,,11566.8,19009.0,6524.4,29995.0,13753.2,-1485.7,8392.5,13013.5,43598.7,-3696.9,18091.3,14442.0,,9740.5,,-18667.6,,1067.7,26645.6,9719.6,16300.0,37913.1,,True,False,True,True,,False,False,True,False,,True,False,True,False,True,True,True,True,False,True,True,True,,True,,False,,True,False,True,True,False,
Connecticut,43915,69712.0,59931.0,71850.6,70458.0,97487.0,,74283.3,122992.0,8483381.3,81357.1,,96876.3,73609.0,68987.9,78650.0,57847.1,55290.8,64916.0,56455.4,95929.7,51292.8,70390.8,61642.0,,45377.1,,38126.1,,41566.6,76577.6,74339.2,45249.0,85534.9,,25797.0,16016.0,27935.6,26543.0,53572.0,,30368.3,79077.0,8439466.3,37442.1,,52961.3,29694.0,25072.9,34735.0,13932.1,11375.8,21001.0,12540.4,52014.7,7377.8,26475.8,17727.0,,1462.1,,-5788.9,,-2348.4,32662.6,30424.2,1334.0,41619.9,,True,False,False,False,,False,False,False,False,,False,False,True,False,True,True,True,True,False,True,False,True,,True,,True,,True,False,False,True,False,
Delaware,13300,19588.0,21886.1,19110.8,19360.0,15236.0,,20201.2,8152.0,27595.2,31921.1,,21885.6,20741.0,16350.2,20968.0,13697.8,18918.9,19551.0,20142.2,12438.8,18468.9,23697.6,16908.0,,19566.9,,18933.9,,14529.6,27993.4,20770.4,18575.0,22140.3,,6288.0,8586.1,5810.8,6060.0,1936.0,,6901.2,-5148.0,14295.2,18621.1,,8585.6,7441.0,3050.2,7668.0,397.8,5618.9,6251.0,6842.2,-861.2,5168.9,10397.6,3608.0,,6266.9,,5633.9,,1229.6,14693.4,7470.4,5275.0,8840.3,,False,True,True,True,,False,True,False,False,,False,False,True,False,True,True,True,False,True,True,False,True,,True,,True,,True,False,False,True,False,
District of Columbia,5259,8320.0,7807.8,8429.8,8480.0,8182.0,,8248.8,24890.0,7199.4,6723.7,,12055.5,8134.0,20969.8,8129.0,8586.9,8725.2,9259.5,8645.2,,,,6205.0,,7072.8,,6947.7,,8550.7,9839.4,,8392.0,9145.8,,3061.0,2548.8,3170.8,3221.0,2923.0,,2989.8,19631.0,1940.4,1464.7,,6796.5,2875.0,15710.8,2870.0,3327.9,3466.2,4000.5,3386.2,,,,946.0,,1813.8,,1688.7,,3291.7,4580.4,,3133.0,3886.8,,True,False,False,True,,True,False,True,True,,False,True,False,True,False,False,False,False,,,,True,,True,,True,,False,False,,False,False,
Florida,261751,381956.0,415359.9,388090.4,407113.0,358931.0,,420550.1,2734633.0,680597.8,411243.4,,416345.3,384567.0,410182.4,,351459.6,515111.4,388153.0,342763.9,546011.5,389768.3,418698.9,344185.0,,413940.9,,257176.1,,300674.5,675514.7,427350.5,388460.0,482185.9,,120205.0,153608.9,126339.4,145362.0,97180.0,,158799.1,2472882.0,418846.8,149492.4,,154594.3,122816.0,148431.4,,89708.6,253360.4,126402.0,81012.9,284260.5,128017.3,156947.9,82434.0,,152189.9,,-4574.9,,38923.5,413763.7,165599.5,126709.0,220434.9,,False,False,False,True,,False,False,False,False,,False,False,False,,True,False,False,True,False,False,False,True,,False,,True,,True,False,False,False,False,
