,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,406,476.0,,536.0,,424.0,450.0,414.0,,,,,331.6,,160.0,,,456.0,202.6,,357.8,266.0,,437.0,427.0,,,,430.0,317.0,472.1,,,,,,376.0,420.1,,,,444.0,587.5,70.0,,130.0,,18.0,44.0,8.0,,,,,-74.4,,-246.0,,,50.0,-203.4,,-48.2,-140.0,,31.0,21.0,,,,24.0,-89.0,66.1,,,,,,-30.0,14.1,,,,38.0,181.5,,False,,True,True,True,,,,,False,,False,,,True,False,,True,False,,True,True,,,,True,False,True,,,,,,True,True,,,,True,False
01003,1129,1588.0,,1586.8,,1560.0,1602.0,1666.0,,,,,1022.8,,654.7,,,1569.0,2309.6,,1285.4,936.0,,1842.0,1544.5,,,,1681.0,1048.0,1933.5,,,,,,1032.9,1115.0,1644.0,,,1440.6,1774.5,459.0,,457.8,,431.0,473.0,537.0,,,,,-106.2,,-474.3,,,440.0,1180.6,,156.4,-193.0,,713.0,415.5,,,,552.0,-81.0,804.5,,,,,,-96.1,-14.0,515.0,,,311.6,645.5,,True,,True,False,False,,,,,True,,False,,,True,False,,True,True,,False,True,,,,False,True,False,,,,,,True,True,False,,,True,False
01005,109,252.0,,239.7,,199.0,194.0,233.0,,,,,122.7,,56.6,,,153.0,231.2,,156.4,,,273.0,173.1,,,,256.0,152.0,146.0,,,,,,,171.8,,,,206.5,197.8,143.0,,130.7,,90.0,85.0,124.0,,,,,13.7,,-52.4,,,44.0,122.2,,47.4,,,164.0,64.1,,,,147.0,43.0,37.0,,,,,,,62.8,,,,97.5,88.8,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,False,True,,,,False,True,True,,,,,,,True,,,,True,True
01007,109,122.0,,107.4,,104.0,135.0,85.0,,,,,115.8,,60.4,,,185.0,76.0,,106.8,,,97.0,124.7,,,,108.0,88.0,136.9,,,,,,136.7,99.0,,,,95.0,206.8,13.0,,-1.6,,-5.0,26.0,-24.0,,,,,6.8,,-48.6,,,76.0,-33.0,,-2.2,,,-12.0,15.7,,,,-1.0,-21.0,27.9,,,,,,27.7,-10.0,,,,-14.0,97.8,,True,,True,False,False,,,,,True,,False,,,False,False,,True,,,True,False,,,,True,False,False,,,,,,False,True,,,,False,False
01009,304,386.0,,384.7,,354.0,349.0,372.0,,,,,272.1,,81.4,,,530.0,230.4,,285.8,202.5,,336.5,367.6,,,,317.0,268.0,392.2,,,,,,378.3,248.1,,,,346.5,400.0,82.0,,80.7,,50.0,45.0,68.0,,,,,-31.9,,-222.6,,,226.0,-73.6,,-18.2,-101.5,,32.5,63.6,,,,13.0,-36.0,88.2,,,,,,74.3,-55.9,,,,42.5,96.0,,True,,True,True,True,,,,,True,,False,,,False,True,,True,False,,True,True,,,,True,True,False,,,,,,True,True,,,,True,False
01011,67,84.0,,81.8,,84.0,90.0,100.0,,,,,60.3,,26.5,,,58.0,121.0,,63.3,,,95.0,80.9,,,,96.0,53.0,71.2,,,,,,,83.2,,,,81.5,125.7,17.0,,14.8,,17.0,23.0,33.0,,,,,-6.7,,-40.5,,,-9.0,54.0,,-3.7,,,28.0,13.9,,,,29.0,-14.0,4.2,,,,,,,16.2,,,,14.5,58.7,,True,,False,False,False,,,,,True,,False,,,True,False,,True,,,False,True,,,,False,True,True,,,,,,,True,,,,True,False
01013,98,138.0,,145.5,,104.0,112.0,90.0,,,,,98.4,,35.2,,,133.0,62.6,,89.4,,,106.0,97.8,,,,117.0,81.0,116.5,,,,,,,126.2,,,,122.5,143.0,40.0,,47.5,,6.0,14.0,-8.0,,,,,0.4,,-62.8,,,35.0,-35.4,,-8.6,,,8.0,-0.2,,,,19.0,-17.0,18.5,,,,,,,28.2,,,,24.5,45.0,,False,,True,True,True,,,,,True,,False,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True,False
01015,711,844.0,,818.4,,750.0,884.0,704.0,,,,,604.9,,325.6,,,965.0,606.0,,632.2,276.0,,786.0,757.9,,,,715.0,576.0,1490.5,,,,,,623.8,703.2,,,,855.3,1053.5,133.0,,107.4,,39.0,173.0,-7.0,,,,,-106.1,,-385.4,,,254.0,-105.0,,-78.8,-435.0,,75.0,46.9,,,,4.0,-135.0,779.5,,,,,,-87.2,-7.8,,,,144.3,342.5,,True,,True,False,True,,,,,True,,False,,,False,True,,True,False,,True,True,,,,True,False,False,,,,,,True,True,,,,False,False
01017,144,280.0,,275.7,,247.0,238.0,346.0,,,,,196.1,,98.8,,,222.0,598.6,,208.1,200.0,,158.0,252.2,,,,323.0,192.0,184.3,,,,,,232.5,214.5,,,,263.8,322.4,136.0,,131.7,,103.0,94.0,202.0,,,,,52.1,,-45.2,,,78.0,454.6,,64.1,56.0,,14.0,108.2,,,,179.0,48.0,40.3,,,,,,88.5,70.5,,,,119.8,178.4,,True,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,True,False
01019,54,74.0,,71.0,,76.0,91.0,64.0,,,,,82.3,,48.7,,,195.0,55.1,,76.9,,,59.0,83.8,,,,74.0,57.0,145.2,,,,,,,66.5,,,,75.5,125.8,20.0,,17.0,,22.0,37.0,10.0,,,,,28.3,,-5.3,,,141.0,1.1,,22.9,,,5.0,29.8,,,,20.0,3.0,91.2,,,,,,,12.5,,,,21.5,71.8,,True,,False,False,True,,,,,False,,True,,,False,True,,False,,,True,False,,,,False,True,False,,,,,,,True,,,,False,False
