,mean_rank
LNQ-ens1,4.8
LANL-GrowthRate,6.3
USC-SI_kJalpha,8.8
JHU_IDD-CovidSP,10.5
MOBS-GLEAM_COVID,11.0
JHUAPL-Bucky,11.3
IEM_MED-CovidProject,11.3
UCLA-SuEIR,11.5
RobertWalraven-ESG,12.2
COVIDhub-ensemble,12.4
Karlen-pypm,12.5
BPagano-RtDriven,13.4
DDS-NBDS,13.9
CU-select,14.0
MIT_ISOLAT-Mixtures,15.6
CovidAnalytics-DELPHI,16.5
TTU-squider,16.5
CEID-Walk,16.9
JHU_UNC_GAS-StatMechPool,17.0
JHU_CSSE-DECOM,17.3
Google_Harvard-CPF,17.4
OneQuietNight-ML,17.5
COVIDhub-baseline,18.0
IowaStateLW-STEM,19.5
Covid19Sim-Simulator,20.1
OliverWyman-Navigator,21.5
UMich-RidgeTfReg,21.6
Microsoft-DeepSTIA,22.6
UVA-Ensemble,25.2
UCSB-ACTS,27.7
