,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2304,3520.0,,,,2194.0,,4345.2,,2271.1,,,1216.0,,,,-110.0,,2041.2,,-32.9,,,,,,True,,False,,True,,
01003,7329,8456.0,,,,5947.0,,8320.6,,6359.7,3792.0,,1127.0,,,,-1382.0,,991.6,,-969.3,-3537.0,,,,,False,,True,,True,False,
01005,710,488.0,,,,772.0,,385.6,,,,,-222.0,,,,62.0,,-324.4,,,,,,,,True,,False,,,,
01007,792,1472.0,,,,885.0,,3906.5,,,,,680.0,,,,93.0,,3114.5,,,,,,,,True,,False,,,,
01009,1768,3576.0,,,,2904.0,,3520.7,,2423.8,,,1808.0,,,,1136.0,,1752.7,,655.8,,,,,,True,,True,,True,,
01011,395,216.0,,,,306.0,,75.6,,,,,-179.0,,,,-89.0,,-319.4,,,,,,,,True,,False,,,,
01013,507,696.0,,,,596.0,,692.6,,,,,189.0,,,,89.0,,185.6,,,,,,,,True,,True,,,,
01015,4035,6672.0,,,,5100.0,,2069.4,,4286.1,,,2637.0,,,,1065.0,,-1965.6,,251.1,,,,,,True,,True,,True,,
01017,1202,952.0,,,,1154.0,,238.2,,,,,-250.0,,,,-48.0,,-963.8,,,,,,,,True,,False,,,,
01019,465,728.0,,,,1167.0,,569.9,,,,,263.0,,,,702.0,,104.9,,,,,,,,False,,True,,,,
01021,1042,1192.0,,,,1850.0,,530.2,,503.6,,,150.0,,,,808.0,,-511.8,,-538.4,,,,,,False,,False,,False,,
