,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,848,1228.0,,1402.7,,1230.0,1289.0,,,,,1551.9,1426.4,,,1029.0,2521.8,1052.3,,1247.5,1111.7,,,,973.0,1079.6,,,,,,1021.4,,,,1593.8,1497.7,380.0,,554.7,,382.0,441.0,,,,,703.9,578.4,,,181.0,1673.8,204.3,,399.5,263.7,,,,125.0,231.6,,,,,,173.4,,,,745.8,649.7,,False,,False,False,,,,,False,False,,,True,False,True,,False,True,,,,True,True,,,,,,True,,,,False,False
01003,2875,3896.0,,3918.0,,3360.0,3140.0,,,,,4570.3,4431.1,,,4026.0,2405.7,3123.0,,2831.0,3340.5,,,,3201.0,3604.8,,,,,,1673.3,2650.0,,,5168.1,3469.1,1021.0,,1043.0,,485.0,265.0,,,,,1695.3,1556.1,,,1151.0,-469.3,248.0,,-44.0,465.5,,,,326.0,729.8,,,,,,-1201.7,-225.0,,,2293.1,594.1,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,True,True,,,,,,False,True,,,False,True
01005,317,300.0,,267.6,,283.0,102.0,,,,,495.5,407.8,,,379.0,234.8,312.8,,299.0,299.1,,,,259.0,166.5,,,,,,,,,,409.7,337.9,-17.0,,-49.4,,-34.0,-215.0,,,,,178.5,90.8,,,62.0,-82.2,-4.2,,-18.0,-17.9,,,,-58.0,-150.5,,,,,,,,,,92.7,20.9,,False,,False,False,,,,,False,False,,,False,False,True,,False,False,,,,False,False,,,,,,,,,,False,False
01007,249,424.0,,411.2,,377.0,332.0,,,,,593.7,516.9,,,390.0,510.7,313.9,,338.0,368.9,,,,356.0,275.7,,,,,,218.6,,,,511.3,460.0,175.0,,162.2,,128.0,83.0,,,,,344.7,267.9,,,141.0,261.7,64.9,,89.0,119.9,,,,107.0,26.7,,,,,,-30.4,,,,262.3,211.0,,True,,True,True,,,,,False,False,,,True,False,True,,True,True,,,,True,True,,,,,,True,,,,False,False
01009,667,980.0,,927.0,,901.0,1522.0,,,,,1401.8,1237.5,,,1311.0,699.2,771.3,,723.0,822.5,,,,801.0,584.3,,,,,,968.2,,,,977.6,899.4,313.0,,260.0,,234.0,855.0,,,,,734.8,570.5,,,644.0,32.2,104.3,,56.0,155.5,,,,134.0,-82.7,,,,,,301.2,,,,310.6,232.4,,True,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,True,True,,,,,,True,,,,True,True
01011,159,148.0,,136.7,,130.0,82.0,,,,,271.5,194.9,,,113.0,47.7,179.0,,117.0,128.1,,,,136.0,150.0,,,,,,,,,,146.2,176.4,-11.0,,-22.3,,-29.0,-77.0,,,,,112.5,35.9,,,-46.0,-111.3,20.0,,-42.0,-30.9,,,,-23.0,-9.0,,,,,,,,,,-12.8,17.4,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,True,,,,,,,,,,False,False
01013,214,236.0,,260.7,,242.0,160.0,,,,,435.1,315.3,,,330.0,162.5,270.8,,261.0,236.6,,,,250.0,222.0,,,,,,,,,,254.3,255.6,22.0,,46.7,,28.0,-54.0,,,,,221.1,101.3,,,116.0,-51.5,56.8,,47.0,22.6,,,,36.0,8.0,,,,,,,,,,40.3,41.6,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,True,,,,,,,,,,False,False
01015,1551,2500.0,,2326.4,,2470.0,3877.0,,,,,2952.2,2986.0,,,2471.0,2815.9,1729.3,,2202.0,2134.2,,,,1919.0,2885.2,,,,,,1157.4,,,,3205.2,2424.7,949.0,,775.4,,919.0,2326.0,,,,,1401.2,1435.0,,,920.0,1264.9,178.3,,651.0,583.2,,,,368.0,1334.2,,,,,,-393.6,,,,1654.2,873.7,,True,,True,False,,,,,False,False,,,True,False,True,,True,True,,,,True,False,,,,,,True,,,,False,True
01017,500,792.0,,809.2,,651.0,898.0,,,,,761.3,869.0,,,519.0,793.0,490.9,,480.0,648.4,,,,599.0,502.3,,,,,,515.9,,,,1105.8,612.3,292.0,,309.2,,151.0,398.0,,,,,261.3,369.0,,,19.0,293.0,-9.1,,-20.0,148.4,,,,99.0,2.3,,,,,,15.9,,,,605.8,112.3,,False,,True,False,,,,,True,False,,,True,False,True,,True,True,,,,True,True,,,,,,True,,,,False,True
01019,143,308.0,,289.6,,298.0,329.0,,,,,411.1,376.7,,,537.0,425.1,223.2,,235.0,250.0,,,,293.0,241.3,,,,,,,,,,315.1,273.6,165.0,,146.6,,155.0,186.0,,,,,268.1,233.7,,,394.0,282.1,80.2,,92.0,107.0,,,,150.0,98.3,,,,,,,,,,172.1,130.6,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,True,True,,,,,,,,,,False,True
