,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1155,2895.0,7351.0,,,,,1612.0,1034.5,938.8,,1750.0,,,1387.4,,,1740.0,6196.0,,,,,457.0,-120.5,-216.2,,595.0,,,232.4,,,False,,,,,True,True,True,,True,,,True,,
01003,3849,6235.0,2925.0,,,,,5207.0,5091.8,4357.0,,6865.0,,,3239.4,3949.0,,2386.0,-924.0,,,,,1358.0,1242.8,508.0,,3016.0,,,-609.6,100.0,,True,,,,,True,True,True,,False,,,True,True,
01005,392,600.0,671.0,,,,,581.0,927.6,378.1,,708.0,,,,,,208.0,279.0,,,,,189.0,535.6,-13.9,,316.0,,,,,,False,,,,,True,False,True,,False,,,,,
01007,355,875.0,927.0,,,,,589.0,258.2,399.1,,796.5,,,,,,520.0,572.0,,,,,234.0,-96.8,44.1,,441.5,,,,,,False,,,,,True,True,True,,True,,,,,
01009,912,1590.0,4243.0,,,,,1838.0,735.4,856.1,,1228.0,,,1076.6,,,678.0,3331.0,,,,,926.0,-176.6,-55.9,,316.0,,,164.6,,,False,,,,,False,True,True,,True,,,True,,
01011,197,290.0,390.0,,,,,171.0,478.3,217.1,,278.0,,,,,,93.0,193.0,,,,,-26.0,281.3,20.1,,81.0,,,,,,False,,,,,True,False,True,,True,,,,,
01013,273,475.0,507.0,,,,,443.0,512.5,292.8,,416.0,,,,,,202.0,234.0,,,,,170.0,239.5,19.8,,143.0,,,,,,False,,,,,True,False,True,,True,,,,,
01015,2176,3805.0,11148.0,,,,,3574.0,984.4,1877.2,,2690.0,,,2057.0,,,1629.0,8972.0,,,,,1398.0,-1191.6,-298.8,,514.0,,,-119.0,,,False,,,,,True,True,True,,True,,,True,,
01017,698,1170.0,2047.0,,,,,811.0,1960.4,384.7,,1587.0,,,827.3,,,472.0,1349.0,,,,,113.0,1262.4,-313.3,,889.0,,,129.3,,,False,,,,,True,False,True,,False,,,True,,
01019,220,440.0,724.0,,,,,789.0,107.4,292.9,,298.0,,,,,,220.0,504.0,,,,,569.0,-112.6,72.9,,78.0,,,,,,False,,,,,False,True,True,,True,,,,,
