,mean_rank
LNQ-ens1,8.5
IEM_MED-CovidProject,10.1
Microsoft-DeepSTIA,10.5
COVIDhub-trained_ensemble,10.6
RobertWalraven-ESG,11.8
COVIDhub-ensemble,12.2
BPagano-RtDriven,12.3
Karlen-pypm,12.3
Geneva-DetGrowth,12.3
OneQuietNight-ML,14.4
JHU_IDD-CovidSP,14.5
JHU_CSSE-DECOM,14.9
UChicagoCHATTOPADHYAY-UnIT,14.9
LANL-GrowthRate,14.9
CU-select,15.4
Google_Harvard-CPF,15.5
USC-SI_kJalpha,15.6
JHUAPL-Bucky,16.2
JHU_UNC_GAS-StatMechPool,16.8
MIT_ISOLAT-Mixtures,17.0
UCLA-SuEIR,17.8
CovidAnalytics-DELPHI,18.7
CEID-Walk,18.8
COVIDhub-baseline,19.3
Covid19Sim-Simulator,19.5
MOBS-GLEAM_COVID,19.9
DDS-NBDS,20.5
OliverWyman-Navigator,20.6
IowaStateLW-STEM,22.0
UMich-RidgeTfReg,22.8
TTU-squider,25.2
