,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2003,2107.0,,,,2044.0,,3037.4,,,1974.7,,,104.0,,,,41.0,,1034.4,,,-28.3,,,,,,True,,False,,,True,,
01003,6343,6902.0,,,,5841.0,,4798.2,,,3223.2,3409.0,,559.0,,,,-502.0,,-1544.8,,,-3119.8,-2934.0,,,,,True,,False,,,False,False,
01005,642,476.0,,,,731.0,,579.0,,,,,,-166.0,,,,89.0,,-63.0,,,,,,,,,True,,True,,,,,
01007,654,966.0,,,,789.0,,1160.0,,,,,,312.0,,,,135.0,,506.0,,,,,,,,,True,,False,,,,,
01009,1513,1785.0,,,,2429.0,,1721.9,,,1799.8,,,272.0,,,,916.0,,208.9,,,286.8,,,,,,False,,True,,,False,,
01011,322,511.0,,,,261.0,,200.3,,,,,,189.0,,,,-61.0,,-121.7,,,,,,,,,True,,True,,,,,
01013,452,371.0,,,,516.0,,303.6,,,,,,-81.0,,,,64.0,,-148.4,,,,,,,,,True,,False,,,,,
01015,3431,4228.0,,,,4872.0,,3057.7,,,2190.0,,,797.0,,,,1441.0,,-373.3,,,-1241.0,,,,,,False,,True,,,False,,
01017,1115,609.0,,,,1079.0,,279.3,,,549.0,,,-506.0,,,,-36.0,,-835.7,,,-566.0,,,,,,True,,False,,,False,,
01019,375,630.0,,,,1003.0,,540.9,,,,,,255.0,,,,628.0,,165.9,,,,,,,,,False,,True,,,,,
01021,906,952.0,,,,1678.0,,616.4,,,496.5,,,46.0,,,,772.0,,-289.6,,,-409.5,,,,,,False,,False,,,False,,
01023,58,91.0,,,,499.0,,179.6,,,,,,33.0,,,,441.0,,121.6,,,,,,,,,False,,False,,,,,
01025,1101,763.0,,,,800.0,,1256.6,,,477.2,,,-338.0,,,,-301.0,,155.6,,,-623.8,,,,,,True,,True,,,False,,
01027,289,357.0,,,,474.0,,225.4,,,,,,68.0,,,,185.0,,-63.6,,,,,,,,,False,,True,,,,,
01029,344,350.0,,,,596.0,,369.2,,,,,,6.0,,,,252.0,,25.2,,,,,,,,,False,,False,,,,,
