,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,24274,32280.0,30989.4,30157.4,31252.0,28723.0,30147.0,,34929.2,25293.0,39487.4,,38699.8,,30432.1,37826.0,39965.2,36558.0,26630.6,34191.0,22875.9,40899.5,31581.2,29864.3,35576.5,31724.2,31459.0,25489.0,,27618.2,32280.0,36319.4,,32223.0,25700.9,28284.8,38346.0,29881.9,,8006.0,6715.4,5883.4,6978.0,4449.0,5873.0,,10655.2,1019.0,15213.4,,14425.8,,6158.1,13552.0,15691.2,12284.0,2356.6,9917.0,-1398.1,16625.5,7307.2,5590.3,11302.5,7450.2,7185.0,1215.0,,3344.2,8006.0,12045.4,,7949.0,1426.9,4010.8,14072.0,5607.9,,True,True,True,True,True,,False,True,False,,False,,True,False,False,False,True,False,True,False,True,True,False,True,True,True,,True,False,False,,True,True,True,False,True,
Alaska,2189,2132.0,2318.7,2085.3,1867.0,2397.0,1164.0,,2201.4,3693.0,1846.7,,2434.2,,1613.5,,3696.7,2071.0,2070.5,1638.0,1909.5,1375.0,1569.8,1047.9,4484.0,1904.1,2267.0,2601.0,,1619.4,1809.0,1509.0,,2099.7,1988.4,1847.2,2093.0,1525.3,,-57.0,129.7,-103.7,-322.0,208.0,-1025.0,,12.4,1504.0,-342.3,,245.2,,-575.5,,1507.7,-118.0,-118.5,-551.0,-279.5,-814.0,-619.2,-1141.1,2295.0,-284.9,78.0,412.0,,-569.6,-380.0,-680.0,,-89.3,-200.6,-341.8,-96.0,-663.7,,False,False,False,False,False,,True,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Arizona,41944,76044.0,73318.4,74092.5,69343.0,64295.0,79175.0,,82137.3,77489.0,83854.0,,76697.3,,62540.8,82058.0,57946.3,67888.0,59829.1,66852.0,64025.5,45341.0,49192.3,38565.2,57849.1,65173.0,75679.0,55823.0,,56729.2,68284.0,74014.5,,71964.0,44181.6,84632.9,67153.0,74778.3,,34100.0,31374.4,32148.5,27399.0,22351.0,37231.0,,40193.3,35545.0,41910.0,,34753.3,,20596.8,40114.0,16002.3,25944.0,17885.1,24908.0,22081.5,3397.0,7248.3,-3378.8,15905.1,23229.0,33735.0,13879.0,,14785.2,26340.0,32070.5,,30020.0,2237.6,42688.9,25209.0,32834.3,,True,True,True,True,False,,False,False,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,False,True,True,
Arkansas,18175,22784.0,19895.8,23272.7,20117.0,21375.0,18092.0,,22758.6,21731.0,23677.1,,20605.9,,17050.3,23890.0,11956.3,22490.0,17581.5,19166.0,18314.9,14134.0,15183.7,14985.5,14589.9,21836.8,22512.0,20963.0,,15798.7,28682.0,16117.7,,20878.4,16889.7,30067.0,19601.0,23253.5,,4609.0,1720.8,5097.7,1942.0,3200.0,-83.0,,4583.6,3556.0,5502.1,,2430.9,,-1124.7,5715.0,-6218.7,4315.0,-593.5,991.0,139.9,-4041.0,-2991.3,-3189.5,-3585.1,3661.8,4337.0,2788.0,,-2376.3,10507.0,-2057.3,,2703.4,-1285.3,11892.0,1426.0,5078.5,,True,False,True,True,True,,True,True,False,,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,False,True,False,
California,169279,285842.0,306616.5,290829.4,222833.0,218602.0,267153.0,,264041.1,139010.0,315033.2,,218459.2,,197779.9,227299.0,232652.4,248720.0,261544.3,122476.5,159874.1,153263.5,192921.7,94237.0,315555.0,246479.1,273526.0,174841.0,,191055.0,283371.0,414982.7,,290913.9,243060.2,197738.2,223947.0,256685.2,,116563.0,137337.5,121550.4,53554.0,49323.0,97874.0,,94762.1,-30269.0,145754.2,,49180.2,,28500.9,58020.0,63373.4,79441.0,92265.3,-46802.5,-9404.9,-16015.5,23642.7,-75042.0,146276.0,77200.1,104247.0,5562.0,,21776.0,114092.0,245703.7,,121634.9,73781.2,28459.2,54668.0,87406.2,,False,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,False,True,True,True,True,
Colorado,17964,20106.0,12447.3,22479.3,16161.0,19697.0,21188.0,,19257.8,19410.0,17254.3,,22169.2,,15685.8,18551.0,9205.6,19528.0,20400.8,17310.5,16575.1,14256.5,14693.9,12220.2,13777.2,17432.7,19018.0,22047.0,,12612.3,5020.0,7926.1,,19389.5,19130.4,10772.2,17155.0,14066.8,,2142.0,-5516.7,4515.3,-1803.0,1733.0,3224.0,,1293.8,1446.0,-709.7,,4205.2,,-2278.2,587.0,-8758.4,1564.0,2436.8,-653.5,-1388.9,-3707.5,-3270.1,-5743.8,-4186.8,-531.3,1054.0,4083.0,,-5351.7,-12944.0,-10037.9,,1425.5,1166.4,-7191.8,-809.0,-3897.2,,False,False,True,True,False,,True,True,True,,False,,False,True,False,True,False,True,True,False,False,False,False,True,True,False,,False,False,False,,True,True,False,True,False,
Connecticut,17314,24416.0,21642.3,24408.5,23942.0,23708.0,24059.0,,24891.1,27235.0,808716.7,,24662.3,,18444.8,25314.0,14112.8,25280.0,19421.9,24404.0,25703.8,18522.5,18839.5,11362.6,23903.4,23318.0,23306.0,23551.0,,19556.8,24416.0,18185.5,,29542.8,19064.7,29614.1,17889.0,24212.4,,7102.0,4328.3,7094.5,6628.0,6394.0,6745.0,,7577.1,9921.0,791402.7,,7348.3,,1130.8,8000.0,-3201.2,7966.0,2107.9,7090.0,8389.8,1208.5,1525.5,-5951.4,6589.4,6004.0,5992.0,6237.0,,2242.8,7102.0,871.5,,12228.8,1750.7,12300.1,575.0,6898.4,,True,True,True,True,True,,False,False,False,,False,,True,False,True,False,True,True,False,True,True,True,True,True,True,True,,True,False,True,,False,True,False,True,True,
Delaware,5121,7272.0,7109.8,7127.6,6653.0,6270.0,6369.0,,7578.6,5623.0,7959.0,,6821.7,,6027.9,7111.0,4807.3,6764.0,5324.4,6645.0,5392.7,5565.0,5818.4,8769.9,6795.6,7215.6,7725.0,5440.0,,5629.7,7425.0,8048.5,,7249.5,5995.8,6666.5,6555.0,7309.3,,2151.0,1988.8,2006.6,1532.0,1149.0,1248.0,,2457.6,502.0,2838.0,,1700.7,,906.9,1990.0,-313.7,1643.0,203.4,1524.0,271.7,444.0,697.4,3648.9,1674.6,2094.6,2604.0,319.0,,508.7,2304.0,2927.5,,2128.5,874.8,1545.5,1434.0,2188.3,,True,True,True,True,True,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,False,True,True,False,True,,True,False,False,,True,True,True,True,False,
District of Columbia,2134,3170.0,2835.2,3147.7,2874.0,2490.0,4747.0,,2991.8,4215.0,2923.2,,1970.3,,2766.1,2950.0,2723.1,3153.0,2274.6,2724.0,2974.8,2404.0,2569.7,,,,3062.0,2111.0,,2766.8,3170.0,3260.0,,3290.2,2810.5,,2792.0,2942.5,,1036.0,701.2,1013.7,740.0,356.0,2613.0,,857.8,2081.0,789.2,,-163.7,,632.1,816.0,589.1,1019.0,140.6,590.0,840.8,270.0,435.7,,,,928.0,-23.0,,632.8,1036.0,1126.0,,1156.2,676.5,,658.0,808.5,,True,True,True,True,False,,True,False,True,,True,,True,True,True,True,True,True,True,True,True,,,,True,True,,True,False,False,,False,True,,True,True,
Florida,108348,147350.0,133161.3,145565.5,134187.0,140126.0,166750.0,,144686.5,171464.0,192217.6,,131774.0,,131903.1,125752.0,110748.9,143742.0,131002.7,115777.5,118750.9,113010.0,115551.2,143883.0,126375.6,133577.9,156266.0,134820.0,,119240.6,142175.0,116303.0,,135119.8,117334.7,151350.1,134270.0,115529.5,,39002.0,24813.3,37217.5,25839.0,31778.0,58402.0,,36338.5,63116.0,83869.6,,23426.0,,23555.1,17404.0,2400.9,35394.0,22654.7,7429.5,10402.9,4662.0,7203.2,35535.0,18027.6,25229.9,47918.0,26472.0,,10892.6,33827.0,7955.0,,26771.8,8986.7,43002.1,25922.0,7181.5,,True,True,True,True,False,,True,False,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,True,True,False,True,True,
