,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01001,146,260.0,,273.6,,175.0,177.0,220.0,,,,,119.8,,,156.7,,,182.0,235.8,,154.0,136.5,,127.0,167.3,,,,237.0,201.0,155.8,,,,,,225.2,225.7,,,,268.1,114.0,,127.6,,29.0,31.0,74.0,,,,,-26.2,,,10.7,,,36.0,89.8,,8.0,-9.5,,-19.0,21.3,,,,91.0,55.0,9.8,,,,,,79.2,79.7,,,,122.1,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01003,383,746.0,,763.9,,524.0,550.0,685.0,,,,,374.9,,,548.5,,,586.0,850.9,,477.8,341.0,,523.5,505.8,,,,720.0,585.0,411.7,,,,,,605.6,655.9,416.0,,,782.9,363.0,,380.9,,141.0,167.0,302.0,,,,,-8.1,,,165.5,,,203.0,467.9,,94.8,-42.0,,140.5,122.8,,,,337.0,202.0,28.7,,,,,,222.6,272.9,33.0,,,399.9,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,False
01005,38,71.0,,68.9,,61.0,53.0,81.0,,,,,42.8,,,48.4,,,71.0,312.8,,66.8,,,46.0,53.0,,,,84.0,51.0,27.6,,,,,,,51.4,,,,68.8,33.0,,30.9,,23.0,15.0,43.0,,,,,4.8,,,10.4,,,33.0,274.8,,28.8,,,8.0,15.0,,,,46.0,13.0,-10.4,,,,,,,13.4,,,,30.8,,True,,True,True,False,,,,,True,,,True,,,False,False,,True,,,True,True,,,,False,True,True,,,,,,,True,,,,True
01007,59,50.0,,46.0,,43.0,37.0,42.0,,,,,39.4,,,22.5,,,72.0,46.8,,45.5,,,19.0,34.3,,,,45.0,43.0,26.6,,,,,,56.7,46.8,,,,68.9,-9.0,,-13.0,,-16.0,-22.0,-17.0,,,,,-19.6,,,-36.5,,,13.0,-12.2,,-13.5,,,-40.0,-24.7,,,,-14.0,-16.0,-32.4,,,,,,-2.3,-12.2,,,,9.9,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,True,False,,,,False
01009,51,253.0,,256.5,,190.0,160.0,210.0,,,,,102.9,,,170.5,,,200.0,196.9,,158.7,73.0,,91.0,160.3,,,,205.0,181.0,196.7,,,,,,243.9,186.7,,,,209.8,202.0,,205.5,,139.0,109.0,159.0,,,,,51.9,,,119.5,,,149.0,145.9,,107.7,22.0,,40.0,109.3,,,,154.0,130.0,145.7,,,,,,192.9,135.7,,,,158.8,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01011,19,46.0,,46.0,,39.0,37.0,49.0,,,,,22.3,,,38.4,,,28.0,86.6,,31.6,,,38.0,39.1,,,,44.0,33.0,28.4,,,,,,,41.7,,,,57.5,27.0,,27.0,,20.0,18.0,30.0,,,,,3.3,,,19.4,,,9.0,67.6,,12.6,,,19.0,20.1,,,,25.0,14.0,9.4,,,,,,,22.7,,,,38.5,,False,,True,True,False,,,,,True,,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01013,35,63.0,,66.5,,49.0,40.0,51.0,,,,,33.6,,,51.4,,,59.0,85.9,,44.0,,,28.0,38.0,,,,62.0,48.0,31.0,,,,,,,46.1,,,,59.0,28.0,,31.5,,14.0,5.0,16.0,,,,,-1.4,,,16.4,,,24.0,50.9,,9.0,,,-7.0,3.0,,,,27.0,13.0,-4.0,,,,,,,11.1,,,,24.0,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01015,261,450.0,,455.8,,335.0,314.0,435.0,,,,,222.5,,,249.8,,,352.0,334.7,,316.0,164.5,,292.0,323.4,,,,390.0,334.0,394.5,,,,,,390.7,323.3,,,,475.4,189.0,,194.8,,74.0,53.0,174.0,,,,,-38.5,,,-11.2,,,91.0,73.7,,55.0,-96.5,,31.0,62.4,,,,129.0,73.0,133.5,,,,,,129.7,62.3,,,,214.4,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01017,59,85.0,,88.0,,73.0,60.0,90.0,,,,,66.7,,,60.1,,,95.0,134.1,,80.6,63.5,,21.0,58.9,,,,93.0,63.0,31.4,,,,,,84.7,74.5,,,,104.5,26.0,,29.0,,14.0,1.0,31.0,,,,,7.7,,,1.1,,,36.0,75.1,,21.6,4.5,,-38.0,-0.1,,,,34.0,4.0,-27.6,,,,,,25.7,15.5,,,,45.5,,False,,True,True,False,,,,,True,,,True,,,False,False,,True,True,,False,True,,,,False,True,False,,,,,,True,True,,,,False
01019,13,41.0,,40.8,,37.0,30.0,31.0,,,,,29.6,,,33.0,,,78.0,39.9,,40.0,,,12.0,21.6,,,,33.0,31.0,42.0,,,,,,,37.2,,,,42.1,28.0,,27.8,,24.0,17.0,18.0,,,,,16.6,,,20.0,,,65.0,26.9,,27.0,,,-1.0,8.6,,,,20.0,18.0,29.0,,,,,,,24.2,,,,29.1,,True,,True,True,True,,,,,True,,,True,,,False,True,,True,,,True,True,,,,True,True,False,,,,,,,True,,,,False
