,mean_rank
LNQ-ens1,7.4
IEM_MED-CovidProject,8.0
Karlen-pypm,9.4
LANL-GrowthRate,9.9
RobertWalraven-ESG,10.2
UChicagoCHATTOPADHYAY-UnIT,11.3
JHU_IDD-CovidSP,11.9
USC-SI_kJalpha,12.8
COVIDhub-ensemble,13.1
JHU_UNC_GAS-StatMechPool,13.7
Microsoft-DeepSTIA,14.2
UVA-Ensemble,14.3
CU-select,15.2
JHUAPL-Bucky,15.4
BPagano-RtDriven,16.3
OneQuietNight-ML,16.7
COVIDhub-trained_ensemble,17.7
UCLA-SuEIR,17.8
MOBS-GLEAM_COVID,17.8
Google_Harvard-CPF,18.3
MIT_ISOLAT-Mixtures,18.7
DDS-NBDS,20.0
JHU_CSSE-DECOM,20.3
CovidAnalytics-DELPHI,20.4
CEID-Walk,20.6
SigSci-TS,20.8
OliverWyman-Navigator,21.4
TTU-squider,21.9
COVIDhub-baseline,22.2
IowaStateLW-STEM,22.4
Covid19Sim-Simulator,22.7
UMich-RidgeTfReg,25.2
