,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Alabama,8545,15729.0,14445.6,15225.3,14020.0,12698.0,15017.0,,14155.8,10010.0,13494.3,,10075.8,12563.4,,12065.8,14627.0,19509.6,15011.0,11761.5,12925.0,12752.3,10038.0,11619.2,11811.4,21858.8,11882.4,14041.0,11759.0,,12739.3,,16753.1,,15794.3,13044.3,14500.0,15304.0,,7184.0,5900.6,6680.3,5475.0,4153.0,6472.0,,5610.8,1465.0,4949.3,,1530.8,4018.4,,3520.8,6082.0,10964.6,6466.0,3216.5,4380.0,4207.3,1493.0,3074.2,3266.4,13313.8,3337.4,5496.0,3214.0,,4194.3,,8208.1,,7249.3,4499.3,5955.0,6759.0,,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,,False,,False,True,True,True,
Alaska,1146,1043.0,695.4,1002.8,909.0,1013.0,472.0,,1003.5,468.0,418.6,,1100.7,735.2,,1102.2,,1063.1,1268.0,881.4,570.5,856.9,563.0,766.7,540.8,2158.7,965.8,964.0,1114.0,,644.5,1138.0,661.0,,1051.0,947.2,841.9,986.0,,-103.0,-450.6,-143.2,-237.0,-133.0,-674.0,,-142.5,-678.0,-727.4,,-45.3,-410.8,,-43.8,,-82.9,122.0,-264.6,-575.5,-289.1,-583.0,-379.3,-605.2,1012.7,-180.2,-182.0,-32.0,,-501.5,-8.0,-485.0,,-95.0,-198.8,-304.1,-160.0,,False,False,False,False,False,,False,False,False,,True,False,,True,,True,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,,True,False,False,False,
Arizona,16230,25714.0,25883.0,25379.4,21952.0,17439.0,28877.0,,26226.4,30114.0,24670.8,,17659.2,27626.2,,17410.9,26679.0,26787.0,20774.0,26102.0,12357.0,20615.7,11910.0,17327.7,18775.8,21059.7,19632.0,25959.0,14245.0,,21096.6,21952.0,33165.5,,24789.7,17361.4,25335.0,22567.0,,9484.0,9653.0,9149.4,5722.0,1209.0,12647.0,,9996.4,13884.0,8440.8,,1429.2,11396.2,,1180.9,10449.0,10557.0,4544.0,9872.0,-3873.0,4385.7,-4320.0,1097.7,2545.8,4829.7,3402.0,9729.0,-1985.0,,4866.6,5722.0,16935.5,,8559.7,1131.4,9105.0,6337.0,,False,True,True,True,False,,False,False,True,,True,False,,True,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,True,False,,True,True,True,True,
Arkansas,6498,11677.0,7837.7,11434.0,9932.0,8728.0,9749.0,,10786.3,10116.0,9811.1,,11606.1,10271.2,,10150.2,11353.0,7134.4,10880.0,8054.3,9323.0,8659.0,7737.5,9403.7,11533.8,8222.5,9872.5,11082.0,9299.0,,8614.7,,7155.4,,11672.5,9469.2,12320.7,11286.0,,5179.0,1339.7,4936.0,3434.0,2230.0,3251.0,,4288.3,3618.0,3313.1,,5108.1,3773.2,,3652.2,4855.0,636.4,4382.0,1556.3,2825.0,2161.0,1239.5,2905.7,5035.8,1724.5,3374.5,4584.0,2801.0,,2116.7,,657.4,,5174.5,2971.2,5822.7,4788.0,,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,False,True,
California,71987,97292.0,89407.0,100973.2,80046.0,66753.0,92497.0,,98931.0,50610.0,132183.7,,61227.2,83783.5,,68327.1,101372.0,78865.5,76881.0,109683.3,39024.0,66145.2,54826.0,74561.0,62674.0,121150.8,82007.0,99500.0,38705.0,,79656.1,,184546.4,,108760.3,82441.4,40176.8,87823.0,,25305.0,17420.0,28986.2,8059.0,-5234.0,20510.0,,26944.0,-21377.0,60196.7,,-10759.8,11796.5,,-3659.9,29385.0,6878.5,4894.0,37696.3,-32963.0,-5841.8,-17161.0,2574.0,-9313.0,49163.8,10020.0,27513.0,-33282.0,,7669.1,,112559.4,,36773.3,10454.4,-31810.2,15836.0,,True,False,True,True,True,,False,True,False,,True,True,,True,False,True,True,False,False,True,True,True,True,False,True,False,False,,True,,False,,False,True,False,True,
Colorado,8727,9237.0,3988.4,9608.3,8263.0,7329.0,9074.0,,8998.0,9086.0,7001.4,,8462.3,9693.8,,8391.6,7966.0,5065.0,8693.0,8450.2,8579.0,7446.1,7394.0,8455.6,6438.0,9715.8,8153.7,8893.0,6986.0,,7845.0,8986.0,3305.3,,10083.6,8243.1,7153.0,9004.0,,510.0,-4738.6,881.3,-464.0,-1398.0,347.0,,271.0,359.0,-1725.6,,-264.7,966.8,,-335.4,-761.0,-3662.0,-34.0,-276.8,-148.0,-1280.9,-1333.0,-271.4,-2289.0,988.8,-573.3,166.0,-1741.0,,-882.0,259.0,-5421.7,,1356.6,-483.9,-1574.0,277.0,,False,False,True,False,True,,True,True,False,,True,False,,True,False,False,True,True,True,False,False,True,False,False,False,True,False,,False,True,False,,False,True,False,True,
Connecticut,7965,9349.0,7424.2,9306.6,8753.0,7220.0,8753.0,,9272.4,9720.0,1335144.4,,6396.4,7015.8,,7312.6,9186.0,7858.1,8070.0,7536.3,9762.5,10750.1,5306.0,7872.2,9364.4,7581.9,8441.2,9327.0,6726.0,,9042.6,7848.0,10197.8,,10097.0,6908.3,11920.8,6562.0,,1384.0,-540.8,1341.6,788.0,-745.0,788.0,,1307.4,1755.0,1327179.4,,-1568.6,-949.2,,-652.4,1221.0,-106.9,105.0,-428.7,1797.5,2785.1,-2659.0,-92.8,1399.4,-383.1,476.2,1362.0,-1239.0,,1077.6,-117.0,2232.8,,2132.0,-1056.7,3955.8,-1403.0,,True,True,True,True,True,,True,False,False,,False,True,,True,True,True,True,True,False,False,False,True,False,True,True,True,True,,True,True,False,,False,True,False,False,
Delaware,2840,2281.0,2378.3,2298.8,2334.0,1919.0,1975.0,,2684.1,2473.0,3859.8,,1279.8,1867.3,,2156.1,2742.0,2540.7,2254.0,2265.8,1687.0,2216.6,2101.0,2514.6,2945.8,3268.5,2668.3,2568.0,1703.0,,2334.1,1755.0,3703.6,,2643.7,2003.6,2519.0,2224.0,,-559.0,-461.7,-541.2,-506.0,-921.0,-865.0,,-155.9,-367.0,1019.8,,-1560.2,-972.7,,-683.9,-98.0,-299.3,-586.0,-574.2,-1153.0,-623.4,-739.0,-325.4,105.8,428.5,-171.7,-272.0,-1137.0,,-505.9,-1085.0,863.6,,-196.3,-836.4,-321.0,-616.0,,True,True,True,False,False,,True,True,False,,False,False,,False,True,True,False,False,False,False,False,True,True,True,True,True,False,,True,False,False,,True,False,True,False,
District of Columbia,919,1215.0,974.7,1255.8,1181.0,704.0,1240.0,,1236.7,1196.0,1146.4,,935.3,1103.5,,1163.1,1284.0,1085.9,1127.0,968.9,810.0,1121.1,1188.5,1070.4,,,,1318.0,637.0,,1181.0,1493.0,1569.0,,1209.5,918.3,,1437.0,,296.0,55.7,336.8,262.0,-215.0,321.0,,317.7,277.0,227.4,,16.3,184.5,,244.1,365.0,166.9,208.0,49.9,-109.0,202.1,269.5,151.4,,,,399.0,-282.0,,262.0,574.0,650.0,,290.5,-0.7,,518.0,,True,False,True,True,False,,False,True,True,,True,True,,True,False,True,True,True,True,True,True,True,,,,False,True,,True,False,False,,True,True,,False,
Florida,50578,57770.0,48008.3,57501.6,54220.0,47038.0,65499.0,,60235.4,68270.0,53748.0,,49805.7,50390.2,,54393.4,62912.0,62075.5,54510.0,55089.4,53588.0,52365.0,40282.0,48478.8,71350.9,49806.4,53060.8,63814.0,41305.0,,54047.2,,55350.8,,53854.1,47074.7,61980.8,55327.0,,7192.0,-2569.7,6923.6,3642.0,-3540.0,14921.0,,9657.4,17692.0,3170.0,,-772.3,-187.8,,3815.4,12334.0,11497.5,3932.0,4511.4,3010.0,1787.0,-10296.0,-2099.2,20772.9,-771.6,2482.8,13236.0,-9273.0,,3469.2,,4772.8,,3276.1,-3503.3,11402.8,4749.0,,True,True,True,True,False,,False,False,True,,True,True,,True,False,False,True,True,True,True,False,True,False,True,True,False,False,,True,,True,,True,True,False,True,
