,predicted_cases,actual_cases,error,perc_error
JHU_IDD-CovidSP,5877475.2,5373209,504266.2,9.4%
USC-SI_kJalpha,6326749.0,5373209,953540.0,17.7%
IowaStateLW-STEM,7546705.0,5373209,2173496.0,40.5%
QJHong-Encounter,7920176.0,5373209,2546967.0,47.4%
Karlen-pypm,8038958.5,5373209,2665749.5,49.6%
Columbia_UNC-SurvCon,8365046.0,5373209,2991837.0,55.7%
COVIDhub-baseline,8530500.0,5373209,3157291.0,58.8%
CovidAnalytics-DELPHI,8552481.0,5373209,3179272.0,59.2%
JHUAPL-Bucky,8787221.2,5373209,3414012.2,63.5%
UCF-AEM,9009982.0,5373209,3636773.0,67.7%
IBF-TimeSeries,9018899.0,5373209,3645690.0,67.8%
UCLA-SuEIR,9073937.7,5373209,3700728.7,68.9%
Covid19Sim-Simulator,9096396.9,5373209,3723187.9,69.3%
LANL-GrowthRate,9128148.5,5373209,3754939.5,69.9%
CU-select,14524165.0,5373209,9150956.0,170.3%
