,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,7013219.8,7090655,-77435.2,-1.1%
IowaStateLW-STEM,7256032.0,7090655,165377.0,2.3%
Columbia_UNC-SurvCon,6506513.0,7090655,-584142.0,-8.2%
LANL-GrowthRate,7750273.5,7090655,659618.5,9.3%
JHU_IDD-CovidSP,6372286.2,7090655,-718368.8,-10.1%
CovidAnalytics-DELPHI,6124488.0,7090655,-966167.0,-13.6%
COVIDhub-baseline,8604348.0,7090655,1513693.0,21.3%
JHUAPL-Bucky,8843449.6,7090655,1752794.6,24.7%
Covid19Sim-Simulator,8844317.4,7090655,1753662.4,24.7%
USC-SI_kJalpha,5308133.0,7090655,-1782522.0,-25.1%
UCF-AEM,8962098.0,7090655,1871443.0,26.4%
IBF-TimeSeries,9323184.0,7090655,2232529.0,31.5%
CU-select,15390165.0,7090655,8299510.0,117.0%
Wadhwani_AI-BayesOpt,,7090655,,
