,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,159952,216504.0,,226252.0,,221004.0,423542.3,178357.9,,265991.5,113143.0,56552.0,,66300.0,,61052.0,263590.3,18405.9,,106039.5,-46809.0,,False,,False,False,True,,False,True
Alaska,12717,25528.0,,22907.8,,,48815.5,17361.0,,7626.1,8694.0,12811.0,,10190.8,,,36098.5,4644.0,,-5090.9,-4023.0,,True,,,False,True,,True,True
Arizona,347092,365136.0,,413354.3,,348519.0,640983.7,474425.1,,227896.2,197266.0,18044.0,,66262.3,,1427.0,293891.7,127333.1,,-119195.8,-149826.0,,False,,True,False,False,,False,False
Arkansas,112448,126896.0,,128228.8,,151545.0,233399.4,79593.8,,111658.2,68148.0,14448.0,,15780.8,,39097.0,120951.4,-32854.2,,-789.8,-44300.0,,False,,False,False,False,,True,False
California,1610347,2347048.0,,3006030.0,,1996467.0,5520819.7,5076813.3,,2397219.5,1524593.0,736701.0,,1395683.0,,386120.0,3910472.7,3466466.3,,786872.5,-85754.0,,False,,True,False,False,,False,True
Colorado,106385,167712.0,,163764.3,,164701.0,327552.5,51504.5,,98235.5,63372.0,61327.0,,57379.3,,58316.0,221167.5,-54880.5,,-8149.5,-43013.0,,True,,True,False,True,,True,True
Connecticut,104555,128168.0,,132490.4,,116295.0,250793.0,91757.6,,91634.2,36560.0,23613.0,,27935.4,,11740.0,146238.0,-12797.4,,-12920.8,-67995.0,,False,,True,False,True,,True,False
Delaware,32536,42080.0,,47640.2,,44194.0,95299.8,37510.0,,57481.2,18778.0,9544.0,,15104.2,,11658.0,62763.8,4974.0,,24945.2,-13758.0,,False,,False,False,True,,False,False
District of Columbia,12454,13592.0,,13215.9,,13153.0,26268.2,9668.0,,15625.4,6337.0,1138.0,,761.9,,699.0,13814.2,-2786.0,,3171.4,-6117.0,,True,,True,False,False,,False,False
Florida,628772,609536.0,,641897.8,,524590.0,874509.3,456161.2,,568490.1,295776.0,-19236.0,,13125.8,,-104182.0,245737.3,-172610.8,,-60281.9,-332996.0,,True,,False,False,False,,False,False
