,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,1286,954.1,309.1,332.0,-331.9,-976.9,-954.0,False,False
Alaska,18,9.0,,,-9.0,,,,
Arizona,2730,1354.0,767.1,590.0,-1376.0,-1962.9,-2140.0,False,False
Arkansas,357,193.3,164.1,181.0,-163.7,-192.9,-176.0,False,False
California,7702,8222.7,2035.4,3444.0,520.7,-5666.6,-4258.0,False,False
Colorado,1752,3865.7,1052.3,1495.0,2113.7,-699.7,-257.0,True,True
Connecticut,4396,11374.1,3366.5,3655.0,6978.1,-1029.5,-741.0,True,True
Delaware,523,748.4,156.6,474.0,225.4,-366.4,-49.0,False,True
District of Columbia,578,1150.3,255.2,452.0,572.3,-322.8,-126.0,True,True
Florida,4895,4644.0,1921.0,2131.0,-251.0,-2974.0,-2764.0,False,False
Georgia,3169,3631.3,2258.9,1897.0,462.3,-910.1,-1272.0,False,False
Hawaii,24,61.4,22.7,,37.4,-1.3,,True,
Idaho,119,198.3,66.0,102.0,79.3,-53.0,-17.0,True,True
Illinois,7483,9557.1,2292.2,4848.0,2074.1,-5190.8,-2635.0,False,False
Indiana,2820,3789.1,1017.9,1455.0,969.1,-1802.1,-1365.0,False,False
Iowa,789,627.9,329.5,509.0,-161.1,-459.5,-280.0,False,False
Kansas,308,453.0,354.3,812.0,145.0,46.3,504.0,True,False
Kentucky,667,943.1,516.6,330.0,276.1,-150.4,-337.0,True,False
Louisiana,3509,6863.1,2032.5,2969.0,3354.1,-1476.5,-540.0,True,True
Maine,117,239.7,66.5,70.0,122.7,-50.5,-47.0,True,True
Maryland,3368,6233.9,1196.5,2158.0,2865.9,-2171.5,-1210.0,True,True
Massachusetts,8419,17044.6,5633.2,6581.0,8625.6,-2785.8,-1838.0,True,True
Michigan,6364,14271.0,3818.1,5133.0,8097.0,-2355.9,-1041.0,True,True
Minnesota,1578,1908.3,728.4,508.0,330.3,-849.6,-1070.0,False,False
Mississippi,1346,1033.3,380.0,363.0,-312.7,-966.0,-983.0,False,False
Missouri,1136,1279.0,637.5,648.0,234.0,-407.5,-397.0,False,False
Montana,37,61.4,26.8,20.0,24.4,-10.2,-17.0,True,True
Nebraska,301,388.0,381.2,727.0,87.0,80.2,426.0,True,False
Nevada,646,775.1,259.4,520.0,129.1,-386.6,-126.0,False,True
New Hampshire,396,320.9,71.6,119.0,-75.1,-324.4,-277.0,False,False
New Jersey,15699,24624.9,7051.0,12982.0,10317.9,-7256.0,-1325.0,True,True
New Mexico,569,620.7,210.0,191.0,51.7,-359.0,-378.0,False,False
New York,32497,65986.3,24087.6,31512.0,34130.3,-7768.4,-344.0,True,True
North Carolina,1648,1794.3,375.4,531.0,146.3,-1272.6,-1117.0,False,False
North Dakota,90,111.9,258.6,52.0,21.9,168.6,-38.0,False,False
Ohio,3132,3775.3,835.5,1746.0,643.3,-2296.5,-1386.0,False,False
Oklahoma,451,847.1,,299.0,396.1,,-152.0,,True
Oregon,257,305.4,124.8,148.0,48.4,-132.2,-109.0,False,False
Pennsylvania,7015,8218.9,2318.2,3960.0,1203.9,-4696.8,-3055.0,False,False
Rhode Island,991,1127.1,594.2,902.0,136.1,-396.8,-89.0,False,True
South Carolina,1135,814.3,350.7,367.0,-320.7,-784.3,-768.0,False,False
South Dakota,116,58.4,44.7,226.0,-57.6,-71.3,110.0,False,False
Tennessee,838,572.3,247.5,1234.0,-265.7,-590.5,396.0,False,False
Texas,4830,2560.0,1447.2,3055.0,-2135.0,-3247.8,-1640.0,False,True
Utah,243,207.0,421.6,231.0,-36.0,178.6,-12.0,False,True
Vermont,56,140.9,54.2,53.0,84.9,-1.8,-3.0,True,True
Virginia,2025,2488.4,633.8,1496.0,463.4,-1391.2,-529.0,False,False
Washington,1448,2088.9,859.8,1254.0,690.9,-538.2,-144.0,True,True
West Virginia,100,223.7,38.4,292.0,123.7,-61.6,192.0,True,False
Wisconsin,879,888.6,331.1,459.0,47.6,-509.9,-382.0,False,False
Wyoming,24,66.3,64.2,13.0,42.3,40.2,-11.0,True,True
US,141070,220122.1,72860.2,,81589.1,-65672.8,,True,
