,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1286,1171.7,939.5,808.6,722.0,1012.0,1035.9,1277.9,1380.8,-114.3,-346.5,-477.4,-564.0,-274.0,-250.1,-8.1,94.8,False,False,False,False,False,True,True
Alaska,18,10.0,11.6,10.4,,14.9,11.3,9.7,11.3,-8.0,-6.4,-7.6,,-3.1,-6.7,-8.3,-6.7,True,True,,True,True,False,True
Arizona,2730,1633.9,1147.7,2183.7,1471.0,1909.1,1743.3,1983.9,2266.6,-1096.1,-1582.3,-546.3,-1259.0,-820.9,-986.7,-746.1,-463.4,False,True,False,True,True,True,True
Arkansas,357,249.6,248.8,442.1,366.0,263.1,244.6,284.4,280.2,-107.4,-108.2,85.1,9.0,-93.9,-112.4,-72.6,-76.8,False,True,True,True,False,True,True
California,7702,7045.1,5726.5,10926.7,6980.0,6116.8,7476.7,8540.6,7522.1,-656.9,-1975.5,3224.7,-722.0,-1585.2,-225.3,838.6,-179.9,False,False,False,False,True,False,True
Colorado,1752,2219.9,1636.1,3114.1,1926.0,2132.8,2240.6,1784.9,2590.7,467.9,-115.9,1362.1,174.0,380.8,488.6,32.9,838.7,True,False,True,True,False,True,False
Connecticut,4396,5665.1,4419.5,4247.1,4351.0,4386.3,4930.9,4100.7,4844.6,1269.1,23.5,-148.9,-45.0,-9.7,534.9,-295.3,448.6,True,True,True,True,True,True,True
Delaware,583,640.3,425.6,411.8,457.0,449.6,491.8,430.6,621.6,188.3,-26.4,-40.2,5.0,-2.4,39.8,-21.4,169.6,True,True,True,True,True,True,True
District of Columbia,578,699.1,527.3,643.8,698.0,581.6,778.8,544.2,646.1,121.1,-50.7,65.8,120.0,3.6,200.8,-33.8,68.1,True,True,True,True,False,True,True
Florida,4895,3918.4,2919.6,3505.5,3290.0,3461.1,4319.6,3191.7,4374.1,-976.6,-1975.4,-1389.5,-1605.0,-1433.9,-575.4,-1703.3,-520.9,False,False,False,False,True,False,True
Georgia,3169,3602.7,2465.0,2707.6,2599.0,2744.1,2734.2,2549.2,4008.3,433.7,-704.0,-461.4,-570.0,-424.9,-434.8,-619.8,839.3,False,False,False,True,False,False,False
Hawaii,24,17.0,17.8,17.5,,18.8,18.7,17.8,19.8,-7.0,-6.2,-6.5,,-5.2,-5.3,-6.2,-4.2,True,True,,True,True,True,True
Idaho,119,102.6,104.2,97.2,85.0,120.2,93.1,86.1,96.3,-16.4,-14.8,-21.8,-34.0,1.2,-25.9,-32.9,-22.7,True,False,False,True,False,False,False
Illinois,7483,9051.7,6656.4,6353.2,7745.0,6906.1,8234.8,6555.0,7920.8,1568.7,-826.6,-1129.8,262.0,-576.9,751.8,-928.0,437.8,True,True,True,True,True,True,True
Indiana,2748,3217.4,2453.4,2339.5,2839.0,2942.4,2669.2,2509.4,3480.4,448.4,-315.6,-429.5,70.0,173.4,-99.8,-259.6,711.4,True,True,True,True,True,True,False
Iowa,789,1076.7,704.6,1006.6,716.0,944.0,818.3,607.3,1348.5,287.7,-84.4,217.6,-73.0,155.0,29.3,-181.7,559.5,True,True,True,True,True,True,False
Kansas,308,283.6,278.9,226.7,314.0,241.4,296.1,230.2,298.8,-24.4,-29.1,-81.3,6.0,-66.6,-11.9,-77.8,-9.2,False,False,True,False,True,False,True
