,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,1286,1060.9,2007.1,451.0,539.7,-225.1,721.1,-835.0,-746.3,False,False,False
Alaska,18,9.0,5.0,,12.6,-9.0,-13.0,,-5.4,False,,True
Arizona,2730,1306.6,997.8,639.0,705.1,-1423.4,-1732.2,-2091.0,-2024.9,False,False,False
Arkansas,357,347.4,167.0,250.0,144.5,-9.6,-190.0,-107.0,-212.5,False,False,False
California,7702,7546.9,4582.0,4455.0,3981.8,-155.1,-3120.0,-3247.0,-3720.2,False,False,False
Colorado,1752,2514.0,1331.4,1328.0,1539.8,762.0,-420.6,-424.0,-212.2,True,True,True
Connecticut,4396,7994.9,4036.0,3412.0,4006.3,3598.9,-360.0,-984.0,-389.7,True,True,True
Delaware,523,795.9,532.8,339.0,379.1,272.9,9.8,-184.0,-143.9,True,True,True
District of Columbia,578,1043.6,555.3,497.0,418.9,465.6,-22.7,-81.0,-159.1,True,True,True
Florida,4895,4679.6,3773.4,2365.0,2224.1,-215.4,-1121.6,-2530.0,-2670.9,False,False,False
Georgia,3169,4093.7,4742.6,2406.0,2216.1,924.7,1573.6,-763.0,-952.9,False,True,False
Hawaii,24,49.6,24.2,,24.6,25.6,0.2,,0.6,True,,True
Idaho,119,150.9,83.1,72.0,103.5,31.9,-35.9,-47.0,-15.5,False,False,True
Illinois,7483,10055.1,6309.2,5212.0,4982.6,2572.1,-1173.8,-2271.0,-2500.4,True,True,True
Indiana,2820,4595.4,6031.3,1853.0,2188.9,1775.4,3211.3,-967.0,-631.1,False,True,True
Iowa,789,900.6,1394.1,1200.0,620.4,111.6,605.1,411.0,-168.6,False,False,False
Kansas,308,393.7,261.2,1231.0,478.4,85.7,-46.8,923.0,170.4,True,False,False
Kentucky,667,741.6,527.8,343.0,549.7,74.6,-139.2,-324.0,-117.3,False,False,False
Louisiana,3509,5084.6,2821.4,2664.0,2984.7,1575.6,-687.6,-845.0,-524.3,True,True,True
Maine,117,133.0,84.1,61.0,91.0,16.0,-32.9,-56.0,-26.0,False,False,False
Maryland,3368,5309.0,2187.5,2163.0,2371.0,1941.0,-1180.5,-1205.0,-997.0,True,True,True
Massachusetts,8419,16001.1,7690.4,7528.0,7405.6,7582.1,-728.6,-891.0,-1013.4,True,True,True
Michigan,6364,12065.6,7057.9,5074.0,5995.4,5906.6,898.9,-1085.0,-163.6,True,True,True
Minnesota,1578,2003.1,2148.6,1381.0,655.8,425.1,570.6,-197.0,-922.2,False,True,False
Mississippi,1346,1128.1,483.0,353.0,614.8,-217.9,-863.0,-993.0,-731.2,False,False,False
Missouri,1136,1445.0,1160.4,971.0,623.8,412.0,127.4,-62.0,-409.2,True,True,True
Montana,37,37.7,13.2,16.0,23.0,0.7,-23.8,-21.0,-14.0,False,False,False
Nebraska,301,316.9,371.1,1748.0,275.6,15.9,70.1,1447.0,-25.4,False,False,False
Nevada,646,822.6,477.4,493.0,445.3,176.6,-168.6,-153.0,-200.7,True,True,False
New Hampshire,396,368.3,167.2,164.0,160.3,-27.7,-228.8,-232.0,-235.7,False,False,False
New Jersey,15699,28857.9,15997.6,11823.0,12727.1,14743.9,1883.6,-2291.0,-1386.9,True,True,True
New Mexico,569,715.6,426.3,390.0,286.5,146.6,-142.7,-179.0,-282.5,True,False,False
New York,32478,51188.6,32128.2,25777.0,31188.0,19497.6,437.2,-5914.0,-503.0,True,True,True
North Carolina,1648,1628.3,1160.6,761.0,882.9,-19.7,-487.4,-887.0,-765.1,False,False,False
North Dakota,90,111.9,37.7,251.0,53.3,21.9,-52.3,161.0,-36.7,False,False,False
Ohio,3132,4415.6,2538.2,1630.0,1878.1,1283.6,-593.8,-1502.0,-1253.9,True,False,True
Oklahoma,451,704.9,492.3,551.0,432.7,253.9,41.3,100.0,-18.3,True,True,True
Oregon,257,293.6,193.0,153.0,187.1,36.6,-64.0,-104.0,-69.9,False,False,False
Pennsylvania,7015,12534.9,8492.4,4588.0,4684.3,5519.9,1477.4,-2427.0,-2330.7,True,True,True
Rhode Island,990,1340.6,485.4,863.0,786.9,350.6,-504.6,-127.0,-203.1,False,True,True
South Carolina,1135,1371.6,1094.4,290.0,420.0,236.6,-40.6,-845.0,-715.0,True,False,False
South Dakota,116,129.6,242.5,1049.0,38.6,13.6,126.5,933.0,-77.4,False,False,False
Tennessee,838,524.9,555.7,1013.0,533.9,-313.1,-282.3,175.0,-304.1,True,True,True
Texas,3939,3342.6,3436.9,5028.0,1695.9,-596.4,-502.1,1089.0,-2243.1,True,False,False
Utah,243,147.7,85.8,185.0,101.6,-95.3,-157.2,-58.0,-141.4,False,True,False
Vermont,56,129.0,53.6,59.0,73.1,73.0,-2.4,3.0,17.1,True,True,True
Virginia,2025,2950.9,1197.1,1241.0,1470.4,925.9,-827.9,-784.0,-554.6,True,True,True
Washington,1444,1756.9,1159.3,1287.0,1323.5,312.9,-284.7,-157.0,-120.5,True,True,True
West Virginia,100,200.0,116.6,54.0,77.7,100.0,16.6,-46.0,-22.3,True,True,True
Wisconsin,843,1066.4,709.4,676.0,705.8,223.4,-133.6,-167.0,-137.2,True,True,True
Wyoming,24,7.0,6.0,7.0,12.4,-17.0,-18.0,-17.0,-11.6,False,False,True
US,140119,206664.3,132633.0,106345.0,113950.5,69225.3,-4806.0,-31094.0,-23488.5,True,True,True
