,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1286,1046.0,838.0,658.0,990.1,961.5,1428.9,-240.0,-448.0,-628.0,-295.9,-324.5,142.9,False,False,False,False,True
Alaska,18,10.0,11.3,,11.3,11.7,12.2,-8.0,-6.7,,-6.7,-6.3,-5.8,True,,True,True,True
Arizona,2730,1751.7,1663.8,1437.0,1734.9,1618.6,2824.0,-978.3,-1066.2,-1293.0,-995.1,-1111.4,94.0,False,False,False,False,True
Arkansas,357,257.4,218.6,461.0,272.8,249.5,213.0,-99.6,-138.4,104.0,-84.2,-107.5,-144.0,False,False,True,False,False
California,7702,7792.6,5360.0,6358.0,6330.0,7241.8,7736.1,89.6,-2343.0,-1345.0,-1373.0,-461.2,33.1,False,False,False,False,True
Colorado,1752,2251.3,1664.7,1984.0,2280.4,1839.9,2887.4,499.3,-87.3,232.0,528.4,87.9,1135.4,True,True,False,True,False
Connecticut,4396,5932.3,4499.6,4195.0,4938.4,4036.6,4852.2,1536.3,103.6,-201.0,542.4,-359.4,456.2,True,True,True,True,True
Delaware,523,608.9,429.7,434.0,469.8,406.7,695.7,85.9,-93.3,-89.0,-53.2,-116.3,172.7,False,False,True,False,False
District of Columbia,578,817.0,532.2,664.0,840.5,563.5,687.8,239.0,-45.8,86.0,262.5,-14.5,109.8,True,True,False,True,True
Florida,4895,4311.3,2764.9,2978.0,3829.3,2743.1,4711.9,-583.7,-2130.1,-1917.0,-1065.7,-2151.9,-183.1,False,False,False,False,True
Georgia,3169,3532.0,2311.9,2436.0,2396.3,2103.8,3785.4,363.0,-857.1,-733.0,-772.7,-1065.2,616.4,False,False,False,False,False
Hawaii,24,17.0,18.1,,19.2,18.9,23.3,-7.0,-5.9,,-4.8,-5.1,-0.7,True,,True,True,True
Idaho,119,126.1,100.5,86.0,96.1,90.3,98.3,7.1,-18.5,-33.0,-22.9,-28.7,-20.7,False,False,False,False,False
Illinois,7483,10191.0,6998.3,7601.0,8513.1,6951.7,11194.5,2708.0,-484.7,118.0,1030.1,-531.3,3711.5,True,True,True,True,False
Indiana,2820,3743.9,2516.2,2781.0,2635.3,2710.9,4683.9,923.9,-303.8,-39.0,-184.7,-109.1,1863.9,True,True,True,True,False
Iowa,789,1281.0,615.3,659.0,814.7,542.6,1695.0,492.0,-173.7,-130.0,25.7,-246.4,906.0,True,True,True,True,False
Kansas,308,283.6,302.8,351.0,340.5,223.9,290.6,-24.4,-5.2,43.0,32.5,-84.1,-17.4,True,False,False,False,True
Kentucky,667,838.9,487.5,479.0,662.7,741.4,691.9,171.9,-179.5,-188.0,-4.3,74.4,24.9,False,False,True,True,True
Louisiana,3509,4262.4,3085.1,3618.0,3212.6,2908.3,3614.5,753.4,-423.9,109.0,-296.4,-600.7,105.5,True,True,True,True,True
Maine,117,140.9,116.5,198.0,98.5,147.2,105.1,23.9,-0.5,81.0,-18.5,30.2,-11.9,True,False,True,False,True
Maryland,3368,4516.3,3421.3,3471.0,3830.9,3792.3,4331.4,1148.3,53.3,103.0,462.9,424.3,963.4,True,True,True,True,True
Massachusetts,8419,10889.9,7704.1,8404.0,8942.1,7000.7,9008.1,2470.9,-714.9,-15.0,523.1,-1418.3,589.1,True,True,True,True,True
Michigan,6364,7875.9,5900.4,6102.0,6299.6,5845.0,6444.3,1749.9,-225.6,-24.0,173.6,-281.0,318.3,True,True,True,True,True
Minnesota,1578,2033.0,1710.4,3829.0,1742.4,1317.7,2371.5,455.0,132.4,2251.0,164.4,-260.3,793.5,True,False,True,True,False
Mississippi,1346,1442.1,1158.0,903.0,986.6,929.5,2115.5,96.1,-188.0,-443.0,-359.4,-416.5,769.5,False,False,False,False,False
Missouri,1136,1361.7,812.0,1035.0,1348.8,892.9,1875.1,307.7,-242.0,-19.0,294.8,-161.1,821.1,True,True,True,True,False
Montana,37,16.0,17.0,16.0,20.6,17.5,19.6,-21.0,-20.0,-21.0,-16.4,-19.5,-17.4,True,False,True,True,True
Nebraska,301,335.6,332.1,391.0,339.9,166.1,482.3,34.6,31.1,90.0,38.9,-134.9,181.3,True,False,False,False,False
Nevada,646,615.7,453.7,584.0,540.0,537.6,643.8,-30.3,-192.3,-62.0,-106.0,-108.4,-2.2,False,False,False,False,True
New Hampshire,396,499.7,235.0,314.0,425.8,352.9,709.2,103.7,-161.0,-82.0,29.8,-43.1,313.2,False,True,True,True,False
New Jersey,15699,17227.3,12508.2,13152.0,13877.5,11639.5,14513.7,3317.3,-1401.8,-758.0,-32.5,-2270.5,603.7,True,True,True,True,True
New Mexico,569,725.6,398.2,445.0,588.2,522.0,876.2,156.6,-170.8,-124.0,19.2,-47.0,307.2,False,True,True,True,False
New York,32478,36283.1,31991.3,32398.0,31979.1,29342.5,32366.5,4520.1,228.3,635.0,216.1,-2420.5,603.5,True,True,True,True,True
North Carolina,1648,1554.0,1296.9,1332.0,1626.3,1822.6,1601.8,-94.0,-351.1,-316.0,-21.7,174.6,-46.2,False,False,True,False,True
North Dakota,90,131.6,98.2,579.0,96.5,116.0,166.4,41.6,8.2,489.0,6.5,26.0,76.4,True,False,True,True,False
Ohio,3132,4671.9,2874.2,2556.0,3065.1,3384.6,5487.1,1539.9,-257.8,-576.0,-66.9,252.6,2355.1,True,True,True,True,False
Oklahoma,451,491.7,378.4,591.0,385.9,496.4,444.0,40.7,-72.6,140.0,-65.1,45.4,-7.0,False,False,False,False,True
Oregon,257,234.4,180.0,159.0,211.7,238.9,198.2,-22.6,-77.0,-98.0,-45.3,-18.1,-58.8,False,False,False,True,False
Pennsylvania,7015,10172.4,6141.4,5818.0,7764.7,5668.6,8721.8,3157.4,-873.6,-1197.0,749.7,-1346.4,1706.8,True,True,True,True,True
Rhode Island,990,1464.4,711.2,844.0,927.7,620.6,1313.7,474.4,-278.8,-146.0,-62.3,-369.4,323.7,True,True,True,True,True
South Carolina,1135,827.9,553.4,594.0,800.7,683.0,1064.5,-307.1,-581.6,-541.0,-334.3,-452.0,-70.5,False,False,False,False,True
South Dakota,116,97.1,106.5,198.0,77.7,63.4,184.3,-18.9,-9.5,82.0,-38.3,-52.6,68.3,True,False,False,False,False
Tennessee,838,634.6,585.2,610.0,438.3,517.9,586.3,-203.4,-252.8,-228.0,-399.7,-320.1,-251.7,False,False,False,False,False
Texas,4576,2981.6,2559.1,3651.0,2671.5,2853.2,4295.7,-1509.4,-1931.9,-840.0,-1819.5,-1637.8,-195.3,False,True,False,False,True
Utah,243,230.6,222.1,121.0,202.6,176.8,311.8,-12.4,-20.9,-122.0,-40.4,-66.2,68.8,False,False,False,False,False
Vermont,56,54.0,56.3,55.0,69.0,56.3,64.2,-2.0,0.3,-1.0,13.0,0.3,8.2,True,True,False,True,False
Virginia,2025,2436.0,1780.0,1695.0,1922.7,2144.4,2283.8,411.0,-245.0,-330.0,-102.3,119.4,258.8,True,True,True,True,True
Washington,1444,1532.4,1228.4,1237.0,1248.9,1255.1,1348.1,88.4,-215.6,-207.0,-195.1,-188.9,-95.9,False,False,False,False,False
West Virginia,100,111.3,88.2,75.0,128.9,122.9,108.0,11.3,-11.8,-25.0,28.9,22.9,8.0,False,False,False,False,True
Wisconsin,843,957.9,766.6,982.0,812.1,1064.7,834.4,114.9,-76.4,139.0,-30.9,221.7,-8.6,True,False,True,False,True
Wyoming,24,43.4,19.8,13.0,14.2,47.3,25.6,19.4,-4.2,-11.0,-9.8,23.3,1.6,True,True,True,False,True
US,140756,161818.6,121005.7,129512.0,127852.7,119800.9,157209.8,23970.6,-16842.3,-8336.0,-9995.3,-18047.1,19361.8,True,True,True,True,True
