,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51,69.5,36.1,144.7,0.3,8.3,79.8,989.3
UT-Mobility,51,87.2,35.0,158.5,1.0,18.5,104.5,1083.5
YYG-ParamSearch,51,89.5,34.7,186.2,0.1,10.7,72.7,1189.7
IHME-CurveFit,51,89.9,36.7,150.8,0.8,15.4,77.1,894.0
UMass-MechBayes,51,103.9,17.0,288.3,0.0,4.5,73.0,1852.0
OliverWyman-Navigator,51,104.9,37.6,176.1,0.3,7.5,127.7,1107.7
USC-SI_kJalpha,51,108.0,25.7,251.9,0.1,9.8,87.0,1668.1
LANL-GrowthRate,51,109.3,30.9,235.6,0.6,10.0,114.2,1497.4
UCLA-SuEIR,51,123.9,26.2,232.1,1.5,11.8,135.9,1313.5
CovidAnalytics-DELPHI,51,125.0,25.0,231.7,0.0,9.0,96.0,1152.0
Auquan-SEIR,51,129.4,48.0,258.9,0.0,12.0,77.5,1199.0
SWC-TerminusCM,48,137.6,46.0,280.9,0.0,10.5,95.0,1488.0
Covid19Sim-Simulator,51,144.1,31.2,368.6,0.6,7.8,109.6,2369.2
MOBS-GLEAM_COVID,50,147.3,56.4,281.3,0.6,21.8,105.4,1577.6
IowaStateLW-STEM,49,158.6,45.0,318.0,0.0,15.0,116.0,1691.0
JHU_IDD-CovidSP,51,166.1,107.9,208.9,2.5,31.8,198.3,1136.7
PSI-DRAFT,51,175.2,36.5,418.1,0.0,11.2,130.0,2402.5
UA-EpiCovDA,51,178.0,34.0,527.1,0.0,9.5,91.0,3448.0
USACE-ERDC_SEIR,51,198.5,57.8,379.8,1.3,12.8,214.5,2106.8
Baseline,51,209.4,25.9,736.0,0.0,10.9,92.5,5093.1
COVIDhub-baseline,51,222.9,23.0,768.2,2.0,7.6,119.6,5318.7
MITCovAlliance-SIR,51,236.5,54.7,433.5,3.1,22.1,179.2,2271.6
NotreDame-mobility,51,254.0,32.7,940.8,0.4,9.9,130.4,6574.3
CU-select,51,439.9,119.0,1103.9,0.0,12.0,433.0,7288.0
