,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1286,1093.6,1075.0,1098.2,1217.1,1952.0,1201.7,1466.4,1509.0,1253.5,,1200.9,998.0,1364.6,1041.4,1048.8,,1102.8,1419.3,1023.0,967.0,1180.7,1133.0,1106.7,1263.0,1155.7,,-192.4,-211.0,-187.8,-68.9,666.0,-84.3,180.4,223.0,-32.5,,-85.1,-288.0,78.6,-244.6,-237.2,,-183.2,133.3,-263.0,-319.0,-105.3,-153.0,-179.3,-23.0,-130.3,,False,True,True,False,True,True,False,True,,True,False,True,False,False,,True,True,False,False,True,True,True,True,True,
Alaska,18,12.0,16.0,13.0,14.6,12.0,17.1,75.5,16.0,16.4,,13.5,,33.5,14.6,13.0,,16.7,13.9,12.0,18.0,13.0,15.0,20.6,12.0,14.9,,-6.0,-2.0,-5.0,-3.4,-6.0,-0.9,57.5,-2.0,-1.6,,-4.5,,15.5,-3.4,-5.0,,-1.3,-4.1,-6.0,0.0,-5.0,-3.0,2.6,-6.0,-3.1,,True,True,True,False,True,False,True,True,,True,,False,True,True,,True,True,False,True,True,True,True,False,True,
Arizona,2730,1958.4,2109.0,1973.4,2690.1,6407.0,2957.0,,3338.0,,,2556.6,2236.0,2621.7,2813.4,2002.7,,2428.5,1893.8,1663.0,2789.0,2229.3,3764.0,2857.3,2103.0,2155.1,2424.0,-771.6,-621.0,-756.6,-39.9,3677.0,227.0,,608.0,,,-173.4,-494.0,-108.3,83.4,-727.3,,-301.5,-836.2,-1067.0,59.0,-500.7,1034.0,127.3,-627.0,-574.9,-306.0,True,True,True,False,True,,True,,,True,True,True,True,True,,True,False,False,True,True,False,True,True,True,True
Arkansas,357,402.4,376.0,411.9,472.1,1194.0,349.2,704.5,396.0,607.5,,465.7,366.0,456.5,361.9,453.5,,290.4,545.7,326.0,284.0,353.0,445.0,379.0,479.0,378.7,,45.4,19.0,54.9,115.1,837.0,-7.8,347.5,39.0,250.5,,108.7,9.0,99.5,4.9,96.5,,-66.6,188.7,-31.0,-73.0,-4.0,88.0,22.0,122.0,21.7,,True,False,False,False,True,False,True,False,,False,True,False,True,False,,False,False,True,False,True,False,True,False,True,
California,7702,7119.6,7084.0,7164.8,7653.7,7841.0,7126.1,13012.3,8453.0,7927.4,,7528.4,7039.0,9948.4,7348.4,6944.2,,6351.9,7276.3,6680.0,7813.0,6907.3,7542.0,7583.1,7421.0,7232.3,7526.0,-582.4,-618.0,-537.2,-48.3,139.0,-575.9,5310.3,751.0,225.4,,-173.6,-663.0,2246.4,-353.6,-757.8,,-1350.1,-425.7,-1022.0,111.0,-794.7,-160.0,-118.9,-281.0,-469.7,-176.0,False,True,True,True,True,False,False,True,,True,False,False,True,False,,False,True,False,True,False,True,True,True,True,True
Colorado,1752,1836.0,1799.0,1855.1,1807.6,1820.0,1809.5,1828.0,1759.0,1941.3,,1734.0,1754.0,1989.2,1839.9,1836.2,,1770.2,1807.8,1811.0,1768.0,1791.0,1794.0,1859.1,1784.0,1852.6,,84.0,47.0,103.1,55.6,68.0,57.5,76.0,7.0,189.3,,-18.0,2.0,237.2,87.9,84.2,,18.2,55.8,59.0,16.0,39.0,42.0,107.1,32.0,100.6,,True,False,True,True,True,True,True,False,,True,True,False,False,False,,True,True,True,True,True,True,False,True,False,
Connecticut,4396,4487.6,4494.0,4557.6,4421.7,4408.0,4487.3,4351.1,4376.0,,,4422.6,4416.0,4627.2,4451.5,4530.2,,4352.6,4398.0,4441.0,4366.0,4504.8,4377.0,4474.5,4438.0,4450.5,,91.6,98.0,161.6,25.7,12.0,91.3,-44.9,-20.0,,,26.6,20.0,231.2,55.5,134.2,,-43.4,2.0,45.0,-30.0,108.8,-19.0,78.5,42.0,54.5,,False,False,True,True,True,True,True,,,True,True,False,True,False,,True,True,True,True,False,True,True,True,True,
Delaware,523,485.1,488.0,494.4,487.4,482.0,498.2,481.1,461.0,570.1,,480.3,471.0,604.4,505.4,496.0,,458.6,500.1,469.0,475.0,486.3,484.0,465.1,517.0,489.7,,-37.9,-35.0,-28.6,-35.6,-41.0,-24.8,-41.9,-62.0,47.1,,-42.7,-52.0,81.4,-17.6,-27.0,,-64.4,-22.9,-54.0,-48.0,-36.7,-39.0,-57.9,-6.0,-33.3,,True,True,True,False,True,False,False,False,,False,False,False,True,True,,False,True,False,False,True,False,False,True,True,
District of Columbia,578,602.4,582.0,611.0,591.8,585.0,582.4,626.9,561.0,771.5,,598.8,629.0,613.3,557.4,,,557.7,563.9,556.0,564.0,603.4,564.0,588.5,580.0,583.9,,24.4,4.0,33.0,13.8,7.0,4.4,48.9,-17.0,193.5,,20.8,51.0,35.3,-20.6,,,-20.3,-14.1,-22.0,-14.0,25.4,-14.0,10.5,2.0,5.9,,True,False,True,True,True,False,True,False,,True,False,False,True,,,True,True,True,True,False,True,True,True,True,
Florida,4895,4048.1,4140.0,4020.3,4877.6,9497.0,5108.1,,4407.0,4438.9,,4923.7,4367.0,5017.9,4692.2,3763.5,,4692.1,4848.1,3750.0,5523.0,3975.9,6854.0,4525.1,4455.5,4386.6,4325.0,-846.9,-755.0,-874.7,-17.4,4602.0,213.1,,-488.0,-456.1,,28.7,-528.0,122.9,-202.8,-1131.5,,-202.9,-46.9,-1145.0,628.0,-919.1,1959.0,-369.9,-439.5,-508.4,-570.0,True,False,True,False,True,,True,True,,True,True,True,True,False,,True,True,False,True,False,False,True,True,True,True
Georgia,3169,3383.6,3402.0,3421.3,3535.0,3620.0,3176.1,3800.8,3329.0,4174.7,3793.3,3715.1,3093.0,3560.4,3939.0,3297.5,,2964.6,4207.4,3312.0,3126.0,3251.2,3634.0,3035.8,3366.5,3519.0,4012.0,214.6,233.0,252.3,366.0,451.0,7.1,631.8,160.0,1005.7,624.3,546.1,-76.0,391.4,770.0,128.5,,-204.4,1038.4,143.0,-43.0,82.2,465.0,-133.2,197.5,350.0,843.0,False,False,False,False,True,False,True,False,False,False,True,False,False,True,,True,False,True,True,True,False,True,True,False,False
Hawaii,24,17.0,20.0,18.5,33.1,148.0,20.0,79.8,18.0,,,18.7,,25.4,22.2,17.6,,20.7,17.0,17.0,24.0,17.8,25.0,23.6,18.0,17.7,,-7.0,-4.0,-5.5,9.1,124.0,-4.0,55.8,-6.0,,,-5.3,,1.4,-1.8,-6.4,,-3.3,-7.0,-7.0,0.0,-6.2,1.0,-0.4,-6.0,-6.3,,True,True,False,False,True,False,True,,,True,,True,True,True,,True,False,False,True,True,True,True,True,True,
Idaho,119,96.7,108.0,98.5,107.2,98.0,111.9,173.2,112.0,101.2,,104.6,97.0,154.1,127.4,91.7,,133.1,102.3,89.0,106.0,94.2,111.0,111.2,94.0,97.4,,-22.3,-11.0,-20.5,-11.8,-21.0,-7.1,54.2,-7.0,-17.8,,-14.4,-22.0,35.1,8.4,-27.3,,14.1,-16.7,-30.0,-13.0,-24.8,-8.0,-7.8,-25.0,-21.6,,True,True,True,True,True,False,True,True,,True,True,False,True,False,,True,True,False,True,False,True,True,False,True,
Illinois,7483,7954.6,7639.0,7969.0,7916.1,6992.0,7155.5,7856.4,7046.0,8072.0,,7500.7,7871.0,8536.6,7578.4,7880.3,10115.0,7421.7,7712.3,11089.0,7445.0,7328.5,7342.0,7054.0,7833.0,7621.1,7981.0,471.6,156.0,486.0,433.1,-491.0,-327.5,373.4,-437.0,589.0,,17.7,388.0,1053.6,95.4,397.3,2632.0,-61.3,229.3,3606.0,-38.0,-154.5,-141.0,-429.0,350.0,138.1,498.0,True,False,True,False,True,True,True,False,,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False
