,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1286,1170.4,1227.0,1183.0,1213.5,1439.0,,1180.8,1356.6,1367.0,,,1258.4,1103.0,1277.6,1172.6,1375.5,1188.8,,1150.0,1258.6,1139.0,,1017.4,,1143.0,1163.0,1199.0,,1277.7,1280.5,1208.0,1179.2,1221.0,-115.6,-59.0,-103.0,-72.5,153.0,,-105.2,70.6,81.0,,,-27.6,-183.0,-8.4,-113.4,89.5,-97.2,,-136.0,-27.4,-147.0,,-268.6,,-143.0,-123.0,-87.0,,-8.3,-5.5,-78.0,-106.8,-65.0,True,True,True,False,,True,True,True,,,True,False,True,True,True,True,,False,True,False,,False,,False,False,True,,True,True,True,True,True
Alaska,18,19.7,20.0,20.0,20.1,16.0,,18.2,62.8,18.0,16.5,,13.3,,22.8,21.0,13.4,21.3,,22.6,22.4,16.0,,19.8,,19.0,16.8,22.0,,23.2,27.7,25.0,19.2,,1.7,2.0,2.0,2.1,-2.0,,0.2,44.8,0.0,-1.5,,-4.7,,4.8,3.0,-4.6,3.3,,4.6,4.4,-2.0,,1.8,,1.0,-1.2,4.0,,5.2,9.7,7.0,1.2,,False,False,False,False,,True,False,True,True,,False,,False,False,False,False,,False,False,False,,False,,True,True,False,,False,False,False,True,
Arizona,2730,2254.0,2662.0,2290.9,2375.5,2954.0,,2735.2,3585.8,3006.0,1886.9,,2430.4,2798.0,2367.5,2289.3,1796.3,2308.0,,2299.2,2380.5,2116.5,,2154.9,,2099.0,2301.1,2411.0,,2547.9,2510.6,2339.5,2356.9,2397.3,-476.0,-68.0,-439.1,-354.5,224.0,,5.2,855.8,276.0,-843.1,,-299.6,68.0,-362.5,-440.7,-933.7,-422.0,,-430.8,-349.5,-613.5,,-575.1,,-631.0,-428.9,-319.0,,-182.1,-219.4,-390.5,-373.1,-332.7,True,True,True,True,,True,False,True,False,,True,True,True,True,False,True,,True,True,False,,False,,False,True,True,,True,True,True,True,True
Arkansas,357,329.7,372.0,340.0,360.0,381.0,,360.7,470.6,397.0,275.3,,364.9,401.0,393.5,352.2,309.0,370.9,,358.2,359.4,346.0,,353.7,,307.0,328.7,348.0,,374.6,369.4,359.0,351.3,,-27.3,15.0,-17.0,3.0,24.0,,3.7,113.6,40.0,-81.7,,7.9,44.0,36.5,-4.8,-48.0,13.9,,1.2,2.4,-11.0,,-3.3,,-50.0,-28.3,-9.0,,17.6,12.4,2.0,-5.7,,True,True,True,True,,True,False,False,False,,True,False,False,True,False,True,,True,True,True,,True,,False,False,True,,True,True,True,True,
California,7702,7192.0,7389.0,7204.1,7419.9,8133.0,,7383.0,9406.3,8399.0,6696.3,,7530.4,7603.0,8206.9,7843.4,8999.8,7191.1,,7044.7,7171.3,6999.5,,7214.4,,6982.0,7191.2,7374.0,,7861.7,7859.7,7331.0,7191.7,7256.7,-510.0,-313.0,-497.9,-282.1,431.0,,-319.0,1704.3,697.0,-1005.7,,-171.6,-99.0,504.9,141.4,1297.8,-510.9,,-657.3,-530.7,-702.5,,-487.6,,-720.0,-510.8,-328.0,,159.7,157.7,-371.0,-510.3,-445.3,True,True,True,True,,True,False,False,False,,True,True,True,True,False,False,,False,False,False,,True,,False,False,True,,True,True,True,False,True
Colorado,1752,1747.4,1814.0,1757.0,1775.7,1752.0,,1795.1,1790.1,1808.0,1724.7,,1728.3,1771.0,1866.8,1770.8,1789.5,1798.8,,1778.7,1761.2,1761.5,,1783.5,,1713.0,1767.8,1750.0,,1804.3,1792.7,1738.0,1778.3,,-4.6,62.0,5.0,23.7,0.0,,43.1,38.1,56.0,-27.3,,-23.7,19.0,114.8,18.8,37.5,46.8,,26.7,9.2,9.5,,31.5,,-39.0,15.8,-2.0,,52.3,40.7,-14.0,26.3,,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,True,,False,False,False,False,
Connecticut,4396,4370.3,4481.0,4400.7,4392.3,4405.0,,4412.2,4363.7,4383.0,4368.0,,4402.8,4617.0,4421.7,4377.3,4506.9,4435.9,,4378.3,4384.3,4423.0,,4481.8,,4345.0,4402.2,4360.0,,4387.6,4399.2,4382.0,4396.4,,-25.7,85.0,4.7,-3.7,9.0,,16.2,-32.3,-13.0,-28.0,,6.8,221.0,25.7,-18.7,110.9,39.9,,-17.7,-11.7,27.0,,85.8,,-51.0,6.2,-36.0,,-8.4,3.2,-14.0,0.4,,False,True,True,True,,True,False,True,False,,True,False,True,True,False,False,,True,True,False,,False,,False,True,False,,True,True,True,True,
Delaware,523,521.3,608.0,524.5,541.9,576.0,,542.8,531.9,556.0,,,537.4,554.0,579.6,549.4,517.0,552.5,,516.8,528.6,547.0,,526.5,,527.0,554.0,548.0,,533.5,625.3,531.0,533.1,,-1.7,85.0,1.5,18.9,53.0,,19.8,8.9,33.0,,,14.4,31.0,56.6,26.4,-6.0,29.5,,-6.2,5.6,24.0,,3.5,,4.0,31.0,25.0,,10.5,102.3,8.0,10.1,,False,True,False,False,,False,False,False,,,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,
District of Columbia,578,575.7,593.0,575.1,576.3,571.0,,571.2,590.9,573.0,553.5,,583.1,605.0,591.2,577.1,549.7,,,572.9,574.7,567.0,,577.8,,575.0,581.9,573.0,,577.2,576.4,579.0,578.4,,-2.3,15.0,-2.9,-1.7,-7.0,,-6.8,12.9,-5.0,-24.5,,5.1,27.0,13.2,-0.9,-28.3,,,-5.1,-3.3,-11.0,,-0.2,,-3.0,3.9,-5.0,,-0.8,-1.6,1.0,0.4,,False,False,True,False,,False,False,False,False,,False,False,False,True,False,,,False,False,False,,True,,False,False,False,,True,True,True,True,
Florida,4895,4310.4,4630.0,4325.9,4621.9,6181.0,,5772.1,6411.3,6414.0,,,4654.6,4251.0,4701.9,4478.8,4916.9,4242.0,,4203.2,4705.3,4033.5,,4196.7,,4512.0,4439.3,4950.0,,5464.7,5512.6,4593.0,4386.6,4366.3,-584.6,-265.0,-569.1,-273.1,1286.0,,877.1,1516.3,1519.0,,,-240.4,-644.0,-193.1,-416.2,21.9,-653.0,,-691.8,-189.7,-861.5,,-698.3,,-383.0,-455.7,55.0,,569.7,617.6,-302.0,-508.4,-528.7,True,True,True,False,,False,False,False,,,True,False,True,True,True,False,,False,True,False,,False,,True,True,True,,True,False,True,True,True
